Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
105,"Johnson, Tom",SEA,ARZ,DL,1.3,0.7,0.1,0.,0.,0.,0.,0.,1.8
106,"McKinley, Takkarist",ATL,@TBB,DL,1.,0.4,0.4,0.1,0.,0.1,0.,0.,1.8
107,"Poe, Dontari",CAR,@NOR,DL,1.2,0.8,0.1,0.1,0.,0.,0.,0.,1.7
108,"Horton, Wes",CAR,@NOR,DL,0.8,0.6,0.4,0.,0.,0.2,0.1,0.,1.7
109,"Covington, Christian",HOU,JAC,DL,1.2,0.9,0.1,0.,0.,0.,0.,0.,1.7
110,"Charlton, Taco",DAL,@NYG,DL,1.2,0.4,0.2,0.1,0.,0.1,0.,0.,1.7
111,"Armstead, Arik",SFO,@LAR,DL,1.1,0.5,0.2,0.1,0.,0.,0.,0.,1.7
112,"Urban, Brent",BAL,CLE,DL,1.2,0.6,0.1,0.1,0.,0.,0.,0.,1.7
113,"Crawford, Tyrone",DAL,@NYG,DL,1.1,0.7,0.2,0.1,0.,0.,0.,0.,1.7
114,"Mebane, Brandon",LAC,@DEN,DL,1.2,0.8,0.,0.,0.,0.,0.,0.,1.7
115,"Hurst, Maurice",OAK,@KCC,DL,1.1,0.8,0.,0.1,0.,0.,0.,0.,1.6
116,"Williams, Xavier",KCC,OAK,DL,1.1,0.5,0.1,0.1,0.,0.1,0.,0.,1.6
117,"Reader, D.J.",HOU,JAC,DL,1.,1.1,0.1,0.,0.,0.,0.,0.,1.6
118,"Peters, Corey",ARZ,@SEA,DL,1.2,0.5,0.1,0.,0.,0.,0.,0.,1.6
119,"Jones, DaQuan",TEN,IND,DL,1.1,0.5,0.2,0.,0.,0.,0.,0.,1.6
120,"Lowry, Dean",GBP,DET,DL,0.9,0.8,0.1,0.1,0.,0.,0.,0.,1.6
121,"Kerr, Zach",DEN,LAC,DL,0.9,1.,0.1,0.1,0.,0.,0.,0.,1.6
122,"Glasgow, Ryan",CIN,@PIT,DL,1.1,0.7,0.,0.1,0.,0.,0.,0.,1.6
123,"Hood, Evander",WAS,PHI,DL,1.,0.9,0.,0.,0.,0.,0.,0.,1.6
124,"Hendrickson, Trey",NOR,CAR,DL,1.,0.6,0.1,0.1,0.,0.,0.,0.,1.6
125,"Hargrave, Javon",PIT,CIN,DL,1.1,0.5,0.1,0.,0.,0.1,0.,0.,1.6
126,"Harris, Charles",MIA,@BUF,DL,1.1,0.5,0.1,0.1,0.,0.,0.,0.,1.6
127,"Westbrooks, Ethan",LAR,SFO,DL,1.,0.5,0.2,0.1,0.,0.,0.,0.,1.5
128,"Jones, Nazair",SEA,ARZ,DL,0.8,0.6,0.1,0.2,0.,0.,0.,0.,1.5
129,"Jordan, Dion",SEA,ARZ,DL,0.8,0.7,0.2,0.,0.,0.,0.,0.,1.5
130,"Vanderdoes, Eddie",OAK,@KCC,DL,1.1,0.6,0.,0.,0.,0.,0.,0.,1.5
131,"Ogunjobi, Larry",CLE,@BAL,DL,1.,0.7,0.,0.,0.,0.,0.,0.,1.5
132,"Coley, Trevon",CLE,@BAL,DL,0.8,0.9,0.1,0.1,0.,0.,0.,0.,1.4
133,"Mitchell, Earl",SFO,@LAR,DL,0.8,0.7,0.1,0.2,0.,0.,0.,0.,1.4
134,"Weatherly, Stephen",MIN,CHI,DL,0.8,1.,0.,0.1,0.,0.,0.,0.,1.4
135,"Shelton, Danny",NEP,NYJ,DL,1.,0.7,0.,0.,0.,0.,0.,0.,1.4
136,"Marsh, Cassius",SFO,@LAR,DL,0.9,0.4,0.1,0.1,0.,0.1,0.,0.,1.4
137,"Pennel, Mike",NYJ,@NEP,DL,0.9,0.9,0.,0.,0.,0.,0.,0.,1.4
138,"Williams, Sylvester",DET,@GBP,DL,0.9,0.6,0.1,0.,0.,0.,0.,0.,1.3
139,"Jernigan, Timmy",PHI,@WAS,DL,0.8,0.9,0.1,0.,0.,0.,0.,0.,1.3
140,"Wynn, Kerry",NYG,DAL,DL,0.9,0.5,0.1,0.,0.,0.,0.,0.,1.3
141,"Ioannidis, Matt",WAS,PHI,DL,0.8,0.7,0.2,0.,0.,0.,0.,0.,1.3
142,"Autry, Denico",IND,@TEN,DL,0.7,0.7,0.1,0.2,0.,0.,0.,0.,1.3
143,"Crawford, Jack",ATL,@TBB,DL,0.9,0.7,0.,0.,0.,0.,0.,0.,1.3
144,"Ridgeway, Hassan",IND,@TEN,DL,0.6,0.9,0.2,0.,0.,0.,0.,0.,1.3
145,"Robertson-Harris, Roy",CHI,@MIN,DL,0.9,0.6,0.1,0.1,0.,0.,0.,0.,1.3
146,"Bennett, Michael",JAC,@HOU,DL,0.9,0.2,0.1,0.1,0.,0.,0.,0.,1.3
147,"Murphy, Trent",BUF,MIA,DL,0.9,0.5,0.1,0.,0.,0.,0.,0.,1.3
148,"Lotulelei, Star",BUF,MIA,DL,0.5,1.2,0.1,0.,0.,0.,0.,0.,1.2
149,"Anderson, Henry",NYJ,@NEP,DL,0.8,0.6,0.1,0.,0.,0.,0.,0.,1.2
150,"Johnson, Austin",TEN,IND,DL,0.8,0.4,0.,0.1,0.,0.,0.,0.,1.2
151,"Mayowa, Benson",ARZ,@SEA,DL,0.8,0.5,0.,0.,0.,0.,0.,0.,1.2
152,"Heath, Joel",HOU,JAC,DL,0.9,0.4,0.1,0.,0.,0.,0.,0.,1.1
153,"Willis, Jordan",CIN,@PIT,DL,0.8,0.5,0.,0.,0.,0.,0.,0.,1.1
154,"Jenkins, Jarvis",KCC,OAK,DL,0.8,0.3,0.1,0.,0.,0.,0.,0.,1.
155,"Nkemdiche, Robert",ARZ,@SEA,DL,0.7,0.4,0.,0.1,0.,0.1,0.,0.,1.
156,"Rucker, Frostee",OAK,@KCC,DL,0.7,0.3,0.1,0.,0.,0.,0.,0.,1.
157,"Collins, Maliek",DAL,@NYG,DL,0.5,0.5,0.1,0.,0.,0.,0.,0.,1.
158,"Cox, Bryan",CAR,@NOR,DL,0.6,0.6,0.,0.,0.,0.,0.,0.,0.9
159,"Vea, Vita",TBB,ATL,DL,0.6,0.4,0.,0.,0.,0.,0.,0.,0.9
160,"Hester, Treyvon",OAK,@KCC,DL,0.4,0.6,0.,0.,0.,0.,0.,0.,0.8
161,"Ngata, Haloti",PHI,@WAS,DL,0.5,0.2,0.1,0.1,0.,0.,0.,0.,0.7
162,"Walker, Vance",DEN,LAC,DL,0.1,0.2,0.,0.,0.,0.,0.,0.,0.2
163,"Adams, Montravius",GBP,DET,DL,0.,0.1,0.,0.,0.,0.,0.,0.,0.1
