Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
23,"Montgomery, Ty",GBP,RB,178.8,821.8,4.9,3.5,0.,0.,0.,0.9,0.5,3.1,1.6,0.5,0.2,36.6,288.7,4.2,1.2,0.6,0.,52.9,1.9,35.5,161.5
24,"Mixon, Joe",CIN,RB,299.2,924.8,8.5,7.6,0.,0.,0.4,0.,0.4,7.6,1.,0.4,0.,19.6,163.2,0.,0.4,0.2,0.,68.7,2.1,49.,155.6
25,"Abdullah, Ameer",DET,RB,181.5,749.9,4.2,3.3,0.8,0.,0.,0.,0.,3.,1.5,0.5,0.2,51.6,421.,2.1,1.7,0.8,0.,592.,1.6,31.7,151.6
26,"Gore, Frank",IND,RB,235.,900.3,3.7,3.4,0.1,0.,0.1,0.,0.,10.9,1.8,0.6,0.2,32.2,252.8,2.5,1.,0.5,0.,0.,2.,43.7,148.3
27,"Powell, Bilal",NYJ,RB,147.5,730.3,3.4,1.5,1.2,0.,0.7,0.,0.,4.4,1.5,0.5,0.2,52.6,387.3,2.5,1.5,0.8,0.,0.,1.1,12.1,145.
28,"Forte, Matt",NYJ,RB,200.3,792.9,4.8,3.3,0.7,0.,0.9,0.,0.,3.2,1.6,0.5,0.2,39.2,305.3,1.3,1.2,0.6,0.,0.,1.1,20.4,144.4
29,"Martin, Doug",TBB,RB,240.,962.4,5.,4.5,0.4,0.,0.,0.,0.,10.3,2.9,0.6,0.2,26.2,223.4,0.1,0.9,0.4,0.,0.,2.8,52.7,143.7
30,"Hill, Jeremy",CIN,RB,204.2,757.3,8.9,7.7,0.4,0.,0.4,0.,0.5,3.,1.5,0.5,0.2,19.1,145.2,0.4,0.6,0.3,0.,0.,2.1,46.8,141.9
31,"Stewart, Jonathan",CAR,RB,236.,894.5,8.3,8.3,0.,0.,0.,0.,0.,11.1,1.8,0.6,0.2,11.3,53.3,0.,0.2,0.1,0.,0.,1.5,23.3,141.9
32,"West, Terrance",BAL,RB,186.9,737.9,4.5,3.3,1.1,0.,0.,0.,0.,3.9,1.5,0.5,0.2,43.6,290.9,1.5,1.2,0.6,0.,0.,0.2,22.4,138.3
33,"Henry, Derrick",TEN,RB,170.5,735.,7.6,6.1,1.5,0.,0.,0.,0.,2.9,1.5,0.5,0.2,21.4,191.4,0.,0.8,0.4,26.6,67.4,0.5,35.9,137.1
34,"Woodhead, Danny",BAL,RB,157.8,676.8,0.6,0.3,0.1,0.1,0.,0.,0.,1.2,0.6,0.2,0.1,62.3,597.9,0.6,0.8,0.4,0.,0.,0.8,7.3,132.5
35,"Mack, Marlon",IND,RB,144.4,649.8,8.7,8.7,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,21.7,144.4,0.,0.2,0.1,0.,315.3,0.,4.7,131.3
36,"Perkins, Paul",NYG,RB,202.,798.,1.7,1.7,0.,0.,0.,0.,0.,3.2,1.6,0.5,0.2,43.,331.1,1.1,1.3,0.7,0.,8.6,0.6,11.3,128.7
37,"Coleman, Tevin",ATL,RB,136.6,621.1,5.1,3.2,0.5,0.,0.5,0.,0.9,2.5,1.2,0.4,0.2,15.,117.,4.5,1.2,0.6,0.,0.,1.4,33.5,128.7
38,"Kelley, Rob",WAS,RB,176.9,739.5,5.2,3.5,0.7,1.,0.,0.,0.,4.,1.5,0.5,0.2,26.2,211.,0.4,0.8,0.4,0.,0.,0.4,28.3,128.3
39,"Peterson, Adrian",NOR,RB,102.9,355.,1.2,1.1,0.1,0.,0.,0.,0.,1.3,0.7,0.2,0.1,46.8,420.6,6.6,1.7,0.8,0.,69.4,0.,14.5,124.2
40,"Murray, Latavius",MIN,RB,167.4,600.2,6.1,5.6,0.,0.5,0.,0.,0.,2.4,1.2,0.4,0.2,33.2,275.,0.,1.1,0.6,0.,5.8,1.8,23.1,120.8
41,"Rodgers, Jacquizz",TBB,RB,193.1,749.7,4.5,4.2,0.2,0.,0.,0.,0.,9.1,1.5,0.5,0.2,24.1,190.3,0.2,0.8,0.4,0.,0.,0.8,18.,120.5
42,"Johnson, Duke",CLE,RB,105.3,448.9,0.6,0.6,0.,0.,0.,0.,0.,1.8,0.9,0.3,0.1,68.9,655.7,0.8,2.6,1.3,80.8,40.,0.4,32.1,118.
43,"White, James",NEP,RB,57.8,227.,1.,1.,0.,0.,0.,0.,0.,0.9,0.4,0.1,0.1,54.6,554.3,5.7,2.2,1.1,0.,69.1,0.2,13.8,117.5
44,"Sproles, Darren",PHI,RB,99.6,423.,3.1,2.1,0.,1.,0.,0.,0.,1.7,0.8,0.3,0.1,54.2,414.8,1.9,1.7,0.8,253.4,34.5,0.2,25.2,113.6
45,"Bernard, Giovani",CIN,RB,139.7,600.1,2.2,1.2,1.,0.,0.,0.,0.,2.4,1.2,0.4,0.2,45.3,408.2,0.2,1.6,0.8,0.,2.9,1.,44.1,113.1
46,"McFadden, Darren",DAL,RB,168.5,788.,3.1,2.5,0.2,0.,0.,0.,0.4,6.3,1.7,0.6,0.2,24.3,185.,0.,0.8,0.4,0.,32.9,1.9,39.,112.2
47,"Riddick, Theo",DET,RB,121.,434.1,0.9,0.3,0.3,0.3,0.,0.,0.,1.7,0.9,0.3,0.1,63.3,435.6,3.2,1.7,0.9,0.,59.3,0.4,16.2,110.6
48,"Thompson, Chris",WAS,RB,71.9,357.,3.,1.9,0.,1.1,0.,0.,0.,1.4,0.7,0.2,0.1,49.5,343.5,2.5,1.4,0.7,0.,319.9,0.8,10.8,101.3
49,"Sims, Charles",TBB,RB,99.4,429.4,0.4,0.2,0.,0.,0.,0.3,0.,1.7,0.9,0.3,0.1,43.1,416.3,2.6,1.7,0.8,0.,0.,2.,36.5,99.1
50,"Lewis, Dion",NEP,RB,127.1,500.2,1.,1.,0.,0.,0.,0.,0.,2.,1.,0.3,0.1,41.5,292.4,2.1,1.2,0.6,0.,196.,0.8,13.6,96.2
51,"Burkhead, Rex",NEP,RB,116.7,699.9,1.1,1.1,0.,0.,0.,0.,0.,1.5,0.7,0.2,0.1,24.4,198.7,0.,0.8,0.4,0.,146.7,0.8,10.5,94.6
52,"Ivory, Chris",JAC,RB,153.1,619.8,2.1,2.1,0.,0.,0.,0.,0.,2.5,1.2,0.4,0.2,24.1,202.5,0.5,0.8,0.4,0.,22.6,2.7,10.9,92.6
53,"Williams, Jamaal",GBP,RB,129.9,555.1,2.2,2.2,0.,0.,0.,0.,0.,1.3,0.6,0.2,0.1,25.3,219.2,0.,0.9,0.4,0.,0.,0.5,33.5,89.4
54,"West, Charcandrick",KCC,RB,118.2,405.6,2.6,2.1,0.,0.,0.5,0.,0.,1.6,0.8,0.3,0.1,26.5,200.1,2.3,0.8,0.4,0.,14.9,1.,13.8,88.
55,"Booker, Devontae",DEN,RB,138.6,503.8,3.,2.7,0.3,0.,0.,0.,0.,2.,1.,0.3,0.1,25.5,190.5,0.3,0.8,0.4,0.,16.,1.9,15.2,85.7
56,"Allen, Javorius",BAL,RB,111.,399.9,0.9,0.9,0.,0.,0.,0.,0.,1.6,0.8,0.3,0.1,47.6,306.1,1.5,1.2,0.6,0.,47.2,0.6,26.4,83.8
57,"Rawls, Thomas",SEA,RB,109.,464.6,3.7,3.,0.2,0.,0.,0.6,0.,1.8,0.9,0.3,0.1,9.7,75.3,0.2,0.3,0.2,0.,0.,0.5,17.,76.3
58,"Washington, DeAndre",OAK,RB,90.4,484.8,1.7,0.,0.2,1.5,0.,0.,0.,1.9,1.,0.3,0.1,21.5,186.2,0.,0.7,0.4,21.3,53.9,0.8,12.2,75.4
59,"Williams, Damien",MIA,RB,46.3,168.8,2.7,1.7,1.,0.,0.,0.,0.,0.7,0.3,0.1,0.,24.7,242.,3.1,1.,0.5,0.,77.1,1.2,15.1,73.1
60,"Vereen, Shane",NYG,RB,88.,380.9,0.6,0.6,0.,0.,0.,0.,0.,1.5,0.8,0.3,0.1,29.4,216.7,1.6,0.9,0.4,0.,136.3,1.4,22.8,70.1
61,"Asiata, Matt",FA,RB,85.5,266.4,4.6,4.6,0.,0.,0.,0.,0.,1.1,0.5,0.2,0.1,23.2,173.1,0.,0.7,0.3,0.,11.2,1.,23.4,69.6
62,"Zenner, Zach",DET,RB,85.4,331.1,2.9,2.9,0.,0.,0.,0.,0.,1.3,0.7,0.2,0.1,19.6,206.,0.2,0.8,0.4,0.,99.8,1.4,11.5,69.3
63,"McKinnon, Jerick",MIN,RB,114.,350.9,1.3,1.1,0.1,0.,0.,0.,0.,1.4,0.7,0.2,0.1,31.7,211.2,0.8,0.8,0.4,0.,0.,0.,8.5,68.4
64,"Perine, Samaje",WAS,RB,105.5,633.1,0.,0.,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,5.6,60.1,0.,0.2,0.1,0.,45.8,0.6,27.9,68.1
65,"Artis-Payne, Cameron",CAR,RB,94.,407.4,2.3,0.4,1.9,0.,0.,0.,0.,1.6,0.8,0.3,0.1,12.7,121.6,0.,0.5,0.2,0.,0.,0.,4.7,66.5
66,"Richard, Jalen",OAK,RB,69.8,356.6,0.2,0.,0.,0.,0.,0.,0.2,1.4,0.7,0.2,0.1,27.5,173.1,2.,0.7,0.3,299.6,423.6,0.,5.4,66.1
67,"Oliver, Branden",LAC,RB,86.7,345.1,0.9,0.9,0.,0.,0.,0.,0.,1.4,0.7,0.2,0.1,25.6,240.7,0.1,1.,0.5,12.4,25.2,0.,17.4,64.4
68,"Blue, Alfred",HOU,RB,125.9,517.2,1.,0.4,0.,0.6,0.,0.,0.,2.1,1.,0.3,0.1,12.7,55.7,0.4,0.2,0.1,9.3,29.4,1.,16.1,63.9
69,"Turbin, Robert",IND,RB,47.,167.,4.5,4.5,0.,0.,0.,0.,0.,0.7,0.3,0.1,0.,20.3,134.,1.,0.5,0.3,0.,0.,0.2,17.3,62.6
70,"Langford, Jeremy",FA,RB,75.2,259.7,3.4,3.4,0.,0.,0.,0.,0.,1.,0.5,0.2,0.1,18.6,146.9,0.,0.6,0.3,0.,0.,2.2,8.9,56.4
71,"Tolbert, Mike",BUF,RB,59.4,299.7,2.2,1.8,0.,0.,0.,0.3,0.,1.2,0.6,0.2,0.1,8.9,62.1,1.2,0.2,0.1,0.,15.6,0.,8.1,56.2
72,"Williams, Kerwynn",ARZ,RB,57.,342.2,2.8,0.4,0.,0.,0.8,1.5,0.,1.4,0.7,0.2,0.1,9.,64.8,0.,0.3,0.1,0.,87.9,0.7,6.8,56.1
73,"Cadet, Travaris",FA,RB,6.4,12.6,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,42.3,340.3,3.3,1.4,0.7,0.,175.1,1.,11.5,53.
74,"Prosise, C.J.",SEA,RB,42.9,176.7,0.7,0.,0.,0.,0.,0.,0.7,0.7,0.4,0.1,0.,22.2,267.5,0.3,1.1,0.5,0.,13.4,0.4,7.5,49.9
75,"Yeldon, T.J.",JAC,RB,80.2,300.2,0.1,0.1,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,28.3,173.4,0.6,0.7,0.3,0.,2.9,0.8,3.1,49.8
76,"Draughn, Shaun",FA,RB,41.,112.1,2.1,2.1,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,20.1,171.3,1.4,0.7,0.3,0.,0.,0.8,4.7,47.5
77,"Kamara, Alvin",NOR,RB,46.2,156.8,3.1,3.1,0.,0.,0.,0.,0.,0.6,0.3,0.1,0.,20.4,125.,0.,0.5,0.2,4.8,0.,0.,18.2,47.1
78,"Smallwood, Wendell",PHI,RB,88.6,327.8,0.6,0.6,0.,0.,0.,0.,0.,1.3,0.7,0.2,0.1,13.5,87.4,0.,0.3,0.2,19.2,244.4,0.2,10.7,45.
79,"Ripkowski, Aaron",GBP,RB,39.4,151.5,3.4,3.4,0.,0.,0.,0.,0.,0.6,0.3,0.1,0.,13.1,84.9,0.3,0.3,0.2,0.,0.,1.,7.2,44.
80,"Breida, Matt",SFO,RB,72.7,192.5,1.8,1.8,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.,17.8,128.5,0.6,0.5,0.3,1.1,2.2,1.5,16.1,43.7
81,"Charles, Jamaal",DEN,RB,65.6,254.9,2.1,1.8,0.,0.3,0.,0.,0.,1.,0.5,0.2,0.1,6.8,47.1,0.,0.2,0.1,0.,0.,0.,4.6,43.
82,"Washington, Dwayne",DET,RB,83.,229.7,1.3,1.3,0.,0.,0.,0.,0.,0.9,0.5,0.2,0.1,12.,79.6,0.,0.3,0.2,0.,59.6,0.,5.6,38.6
83,"Cunningham, Benny",CHI,RB,46.2,184.9,0.8,0.8,0.,0.,0.,0.,0.,0.7,0.4,0.1,0.,22.2,162.6,0.,0.7,0.3,0.,495.3,1.,6.4,37.9
84,"Whittaker, Fozzy",CAR,RB,51.6,237.6,0.4,0.,0.4,0.,0.,0.,0.,1.,0.5,0.2,0.1,13.9,116.,0.,0.5,0.2,0.,282.4,0.5,2.8,36.9
85,"Barber, Peyton",TBB,RB,54.4,238.4,1.4,0.3,0.,0.,0.,1.1,0.,1.,0.5,0.2,0.1,5.1,32.,0.,0.1,0.1,10.5,26.9,0.2,3.7,34.8
86,"Morris, Alfred",DAL,RB,67.1,230.3,1.4,1.4,0.,0.,0.,0.,0.,0.9,0.5,0.2,0.1,5.4,25.6,0.,0.1,0.1,0.,24.6,0.,4.7,33.8
87,"Darkwa, Orleans",NYG,RB,56.2,187.5,1.3,1.3,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.,7.5,61.4,0.,0.2,0.1,14.8,52.,0.,12.4,32.7
88,"Lacy, Eddie",SEA,RB,51.8,222.2,0.8,0.6,0.2,0.,0.,0.,0.,0.7,0.4,0.1,0.,6.8,48.9,0.1,0.2,0.1,0.,2.8,0.3,3.1,32.2
89,"Collins, Alex",FA,RB,34.6,147.4,1.2,1.2,0.,0.,0.,0.,0.,0.6,0.3,0.1,0.,12.4,107.9,0.,0.4,0.2,0.,0.,1.1,1.5,30.7
90,"Jones, Matt",IND,RB,46.2,204.2,1.3,0.6,0.6,0.,0.,0.,0.,0.8,0.4,0.1,0.1,3.8,33.4,0.,0.1,0.1,0.,200.2,0.6,1.3,30.1
91,"Kuhn, John",NOR,RB,15.5,34.9,2.6,2.6,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,14.2,65.1,0.2,0.3,0.1,0.,0.,0.,3.,26.6
92,"Drake, Kenyan",MIA,RB,32.3,149.6,1.2,0.5,0.,0.,0.,0.7,0.,0.6,0.3,0.1,0.,7.4,37.4,0.,0.1,0.1,0.,512.2,0.2,4.6,25.7
93,"Brown, Malcolm",LAR,RB,37.,118.6,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,15.4,121.7,0.,0.5,0.2,0.,311.7,0.3,9.,23.4
94,"Mason, Tre",FA,RB,42.1,129.2,0.8,0.8,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,10.4,50.2,0.,0.2,0.1,0.,165.7,0.8,9.6,21.3
95,"Foreman, D'Onta",HOU,RB,53.5,157.,0.,0.,0.,0.,0.,0.,0.,0.6,0.3,0.1,0.,8.,37.1,0.,0.1,0.1,6.1,77.9,0.1,10.3,19.3
96,"Harris, DuJuan",FA,RB,31.2,129.3,0.,0.,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,3.9,43.3,0.,0.2,0.1,0.,16.6,0.,1.7,17.2
97,"Ward, Terron",ATL,RB,26.2,104.4,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,7.1,65.7,0.,0.3,0.1,0.,0.,0.,8.9,17.
98,"Cobb, David",FA,RB,46.2,124.3,0.7,0.7,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,7.6,16.6
99,"Juszczyk, Kyle",SFO,RB,1.8,4.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,16.9,130.9,0.4,0.5,0.3,0.,0.,0.,2.,15.9
100,"Williams, Andre",FA,RB,39.1,149.7,0.,0.,0.,0.,0.,0.,0.,0.6,0.3,0.1,0.,0.9,6.3,0.,0.,0.,0.,0.,0.,7.3,15.6
101,"Conner, James",PIT,RB,22.5,74.6,0.4,0.4,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,5.1,48.7,0.,0.2,0.1,0.,121.4,0.,7.9,14.9
102,"Bibbs, Kapri",FA,RB,26.4,115.3,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.8,16.2,0.2,0.1,0.,0.,16.,0.,0.2,14.4
103,"Dunbar, Lance",LAR,RB,9.5,38.6,0.3,0.3,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,10.4,79.3,0.,0.3,0.2,0.,129.2,0.,2.5,13.9
104,"Ellington, Andre",ARZ,RB,24.6,65.6,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,9.4,64.6,0.,0.3,0.1,0.,101.9,0.,1.9,13.
105,"Barner, Kenjon",FA,RB,12.3,60.4,0.9,0.9,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,4.,11.6,0.,0.,0.,-1.6,106.9,0.,1.5,12.9
106,"Grant, Corey",JAC,RB,25.7,85.2,0.2,0.,0.,0.,0.,0.,0.2,0.3,0.2,0.1,0.,3.5,18.5,0.,0.1,0.,0.,294.6,0.,2.,11.4
107,"Banyard, Joe",BUF,RB,8.8,35.6,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,5.9,55.7,0.,0.2,0.1,7.8,34.4,0.,0.5,9.1
108,"Ekeler, Austin",LAC,RB,23.5,79.7,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,2.9,24.1,0.,0.1,0.,12.6,132.5,0.9,7.3,8.6
109,"Mostert, Raheem",SFO,RB,15.4,42.6,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,4.8,38.7,0.,0.2,0.1,1.1,170.9,0.,0.5,8.1
110,"Spiller, C.J.",FA,RB,11.1,24.8,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,7.6,54.6,0.,0.2,0.1,0.,101.2,0.,1.8,7.9
111,"Ridley, Stevan",FA,RB,28.7,77.2,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,6.,7.7
112,"Hood, Elijah",FA,RB,15.2,46.6,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,3.8,36.4,0.,0.1,0.1,13.3,218.3,0.5,7.3,7.3
113,"Janovich, Andy",DEN,RB,3.2,10.7,0.2,0.,0.,0.2,0.,0.,0.,0.,0.,0.,0.,4.1,45.7,0.,0.2,0.1,0.,0.,0.,2.2,6.8
114,"Lasco, Daniel",NOR,RB,16.5,43.4,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,6.5,24.8,0.,0.1,0.,50.,60.7,0.,1.6,6.8
115,"Williams, Jonathan",FA,RB,28.1,102.,0.3,0.3,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,2.6,4.3,6.6
116,"Jones, Aaron",GBP,RB,20.4,43.6,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,2.4,22.,0.,0.1,0.,0.,14.7,0.,3.3,6.6
117,"Davis, Mike",FA,RB,15.,44.5,0.2,0.2,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,3.1,24.6,0.,0.1,0.,0.,11.9,1.,1.2,6.3
118,"DiMarco, Patrick",BUF,RB,1.2,5.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.7,42.8,0.2,0.2,0.1,0.,3.5,0.,0.2,6.
119,"Ervin, Tyler",HOU,RB,11.2,41.9,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,3.,18.,0.,0.1,0.,112.9,204.3,0.3,4.4,5.3
120,"Cohen, Tarik",CHI,RB,13.3,29.5,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,2.1,21.9,0.,0.1,0.,0.,16.4,0.,0.9,5.2
121,"Muhammad, Khalfani",TEN,RB,10.5,30.1,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,2.3,21.4,0.,0.1,0.,33.6,74.,0.,3.3,5.1
122,"Thompson, Juwan",FA,RB,7.2,27.8,0.3,0.3,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.7,4.6
123,"Watson, Terrell",PIT,RB,3.6,10.,0.3,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,3.,9.9,0.,0.,0.,0.,27.1,0.,1.1,4.
124,"Gallman, Wayne",NYG,RB,15.3,37.3,0.,0.,0.,0.,0.,0.,0.,0.1,0.1,0.,0.,0.2,0.6,0.,0.,0.,0.,6.,0.,4.2,3.8
125,"Brown, Mack",WAS,RB,3.3,19.5,0.2,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.,0.8,3.1,0.,0.,0.,0.,0.,0.,0.7,3.7
126,"McCluster, Dexter",FA,RB,3.1,2.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,6.2,34.2,0.,0.1,0.1,45.1,168.8,0.,2.,3.6
127,"Davis, Justin",LAR,RB,18.2,45.9,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,2.,8.8,0.,0.,0.,0.,188.5,1.,2.5,3.5
128,"McGuire, Elijah",NYJ,RB,23.2,46.3,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,0.6,6.6,0.,0.,0.,0.,91.4,1.,6.6,3.3
129,"Jones, Taiwan",BUF,RB,7.5,14.5,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,2.6,24.3,0.,0.1,0.,0.,66.8,0.4,0.9,3.1
130,"O'Neal, Cedric",FA,RB,15.2,38.2,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,1.3,2.7,0.,0.,0.,0.,34.6,0.6,3.,2.9
131,"Ham, C.J.",MIN,RB,10.5,14.9,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,2.4,13.4,0.,0.1,0.,0.,17.3,0.,3.3,2.8
132,"Smith, Rod",DAL,RB,4.9,15.3,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,2.2,11.9,0.,0.,0.,0.,12.7,0.,1.3,2.7
