Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
160,"Bennett, Michael",JAC,DL,10.9,4.8,2.4,0.8,0.,0.,0.,0.,16.6
161,"Latham, Darius",OAK,DL,12.3,6.7,0.,0.8,0.,0.,0.,0.,16.5
162,"Means, Steven",PHI,DL,9.6,7.8,1.2,0.,0.,1.3,0.,0.,15.9
163,"Johnson, George",FA,DL,10.9,6.7,1.1,0.4,0.,0.1,0.,0.,15.9
164,"Shelby, Derrick",ATL,DL,9.4,7.7,0.8,1.7,0.,0.,0.,0.,15.7
165,"Gilberry, Wallace",FA,DL,10.5,7.3,1.5,0.,0.,0.,0.,0.,15.6
166,"Jean-Francois, Ricky",GBP,DL,9.4,8.2,0.8,0.6,0.,0.6,0.,0.,15.6
167,"Ringo, Christian",CIN,DL,10.6,6.2,0.,0.4,0.,1.5,0.,0.,15.5
168,"Nunez-Roches, Rakeem",KCC,DL,8.9,11.2,0.4,0.,0.,0.,0.,0.,15.
169,"Davis, Carl",BAL,DL,9.1,8.9,0.5,0.6,0.,0.,0.,0.,14.6
170,"Cooper, Xavier",SFO,DL,9.1,10.9,0.,0.,0.,0.,0.,0.,14.6
171,"Square, Damion",LAC,DL,10.7,3.5,2.1,0.,0.,0.,0.,0.,14.6
172,"Jackson, Tyson",FA,DL,6.1,14.3,0.2,1.1,0.,0.,0.,0.,14.5
173,"Gwacham, Obum",NOR,DL,8.2,7.8,2.,0.,0.,0.,0.,0.,14.1
174,"Kikaha,  Hau'oli",NOR,DL,8.8,10.1,0.,0.,0.,0.,0.,0.,13.8
175,"Crawford, Jack",ATL,DL,7.7,9.3,1.,0.3,0.,0.,0.,0.,13.7
176,"Philon, Darius",LAC,DL,8.2,2.9,1.8,0.8,0.,0.,0.,0.,12.3
177,"Paea, Stephen",DAL,DL,6.,8.8,1.1,0.,0.,0.,0.,0.,11.5
178,"Williams, Sylvester",TEN,DL,8.1,4.6,0.4,0.5,0.,0.,0.,0.,11.3
179,"Hendrickson, Trey",NOR,DL,7.,8.1,0.,0.,0.,0.,0.,0.,11.
180,"Jenkins, Cullen",FA,DL,7.6,6.3,0.2,0.,0.,0.,0.,0.,10.9
181,"Howard, Jaye",FA,DL,9.1,2.4,0.,0.,0.,0.6,0.,0.,10.9
182,"Blair, Ronald",SFO,DL,6.5,5.4,1.7,0.,0.,0.,0.,0.,10.9
183,"Hunt, Margus",IND,DL,5.6,8.2,0.,1.1,0.,0.,0.,0.,10.8
184,"Washington, Adolphus",BUF,DL,6.9,4.9,1.2,0.1,0.,0.,0.,0.,10.6
185,"Gotsis, Adam",DEN,DL,5.4,7.1,0.5,1.,0.,0.,0.,0.,10.4
186,"Wilfork, Vince",FA,DL,6.,7.9,0.,0.,0.,0.,0.,0.,10.
187,"McCullers, Daniel",PIT,DL,5.8,5.4,0.2,1.,0.,0.,0.,0.,9.8
188,"Woods, Al",IND,DL,8.,2.7,0.,0.4,0.,0.,0.,0.,9.7
189,"Gunter, Rodney",ARZ,DL,5.,6.6,0.7,0.,0.,0.,0.,0.,9.
190,"Walton, Leterrius",PIT,DL,6.6,3.3,0.,0.3,0.,0.,0.,0.,8.5
191,"Thomas, Robert",NYG,DL,5.4,4.3,0.7,0.,0.,0.,0.,0.,8.3
192,"Kerr, Zach",DEN,DL,2.8,6.7,0.9,0.,0.,0.,0.,0.,7.
193,"Ioannidis, Matt",WAS,DL,4.6,4.8,0.,0.,0.,0.,0.,0.,7.
194,"Lynch, Aaron",SFO,DL,4.7,3.,0.,0.,0.,0.,0.,0.,6.2
195,"Lowry, Dean",GBP,DL,2.5,1.2,0.9,0.7,0.,0.,0.,0.,4.7
196,"Heath, Joel",HOU,DL,3.,2.8,0.3,0.,0.,0.,0.,0.,4.6
197,"Ogunjobi, Larry",CLE,DL,2.2,4.1,0.,0.,0.,0.,0.,0.,4.2
198,"Golston, Kedric",FA,DL,0.6,6.,0.,0.,0.,0.,0.,0.,3.6
199,"Orchard, Nate",CLE,DL,1.8,3.3,0.,0.,0.,0.,0.,0.,3.4
200,"Lanier, Anthony",WAS,DL,0.7,3.7,0.,0.,0.,0.,0.,0.,2.5
201,"Davis, Ryan",BUF,DL,1.1,2.7,0.,0.,0.,0.,0.,0.,2.5
202,"Smith, Antonio",FA,DL,1.,2.,0.4,0.,0.,0.,0.,0.,2.5
203,"Lewis-Moore, Kapron",CHI,DL,1.5,1.2,0.,0.,0.,0.,0.,0.,2.1
204,"Wormley, Chris",BAL,DL,0.1,3.7,0.,0.,0.,0.,0.,0.,2.
205,"Henry, Willie",BAL,DL,0.1,3.7,0.,0.,0.,0.,0.,0.,2.
206,"Walker, DeMarcus",DEN,DL,0.4,2.8,0.,0.,0.,0.,0.,0.,1.8
207,"Kaufusi, Bronson",BAL,DL,0.1,3.,0.,0.,0.,0.,0.,0.,1.6
208,"Fairley, Nick",NOR,DL,1.,0.5,0.2,0.,0.,0.,0.,0.,1.4
209,"Still, Devon",FA,DL,0.4,1.6,0.,0.,0.,0.,0.,0.,1.2
210,"Pagan, Jeoffrey",HOU,DL,0.,2.3,0.,0.,0.,0.,0.,0.,1.2
211,"Catapano, Mike",FA,DL,0.6,0.7,0.,0.,0.,0.,0.,0.,1.
212,"Jenkins, Jarvis",KCC,DL,0.7,0.4,0.,0.,0.,0.,0.,0.,0.9
213,"Crichton, Scott",FA,DL,0.2,0.4,0.,0.,0.,0.,0.,0.,0.4
