Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
91,"Suggs, Terrell",BAL,LB,32.,11.2,7.6,3.5,0.,2.6,0.2,0.,51.5
92,"Jenkins, Jordan",NYJ,LB,30.4,27.8,3.1,2.6,0.,0.5,0.5,0.,50.9
93,"Van Noy, Kyle",NEP,LB,30.9,24.1,0.4,3.2,0.6,2.7,0.,0.,50.4
94,"Brooks, Ahmad",GBP,LB,37.4,9.,4.4,3.3,0.,0.7,0.,0.,50.4
95,"Floyd, Leonard",CHI,LB,33.,15.4,4.7,2.7,0.,0.6,0.6,0.,49.2
96,"Sheard, Jabaal",IND,LB,31.3,14.7,7.,3.,0.,0.2,0.2,0.,49.1
97,"Spence, Sean",FA,LB,35.,13.9,3.,3.6,0.,0.5,0.,0.,49.1
98,"Matthews, Clay",GBP,LB,32.2,10.9,4.7,3.2,0.,2.3,1.2,0.,48.9
99,"Beasley, Vic",ATL,LB,25.2,10.3,10.1,3.,0.,3.5,0.9,0.2,47.8
100,"Perry, Nick",GBP,LB,26.4,15.1,7.7,2.6,0.5,0.4,0.,0.,45.6
101,"Smith, Preston",WAS,LB,28.8,12.2,6.3,3.6,0.1,0.3,0.,0.,45.4
102,"Kendricks, Mychal",PHI,LB,33.3,13.,0.2,3.2,0.2,0.,0.,0.,43.7
103,"Morgan, Derrick",TEN,LB,26.2,12.4,8.2,2.4,0.,0.2,0.2,0.2,43.3
104,"Heeney, Ben",FA,LB,33.1,12.5,2.3,0.2,0.,1.,0.4,0.,43.3
105,"Ford, Dee",KCC,LB,26.9,13.1,6.3,2.5,0.,0.8,0.,0.,43.
106,"Kwiatkoski, Nick",CHI,LB,30.8,11.,3.6,1.2,0.,1.4,0.3,0.,42.8
107,"Kerrigan, Ryan",WAS,LB,24.2,15.4,7.9,1.8,0.,1.2,0.,0.,42.8
108,"Schobert, Joe",CLE,LB,27.3,15.8,3.5,2.7,0.3,0.,0.,0.,42.
109,"Hitchens, Anthony",DAL,LB,28.3,23.4,0.6,0.8,0.,0.3,0.,0.,41.7
110,"Armstrong, Ray-Ray",SFO,LB,28.4,11.,3.,1.6,0.8,0.6,0.6,0.,41.3
111,"Simon, John",IND,LB,23.5,17.2,3.7,1.7,0.7,2.,0.,0.,41.
112,"Bellore, Nick",DET,LB,30.3,10.9,1.,2.2,0.5,0.6,0.,0.,40.6
113,"Dupree, Alvin",PIT,LB,27.6,11.9,3.6,2.6,0.,0.3,0.,0.,40.
114,"Alexander, Dominique",CLE,LB,23.4,17.5,3.,2.1,0.,0.9,0.4,0.,38.6
115,"Paysinger, Spencer",FA,LB,29.6,11.6,0.,2.,0.,0.,0.,0.,37.5
116,"Roberts, Elandon",NEP,LB,27.8,16.8,0.2,0.,0.,0.7,0.,0.,37.2
117,"Smith, Za'Darius",BAL,LB,20.3,18.9,3.6,1.8,0.,1.4,0.6,0.,37.1
118,"McPhee, Pernell",CHI,LB,25.4,8.4,4.7,1.8,0.,0.9,0.,0.,37.1
119,"Young, Willie",CHI,LB,21.9,12.5,5.8,1.4,0.,0.8,0.2,0.,36.4
120,"Stupar, Nathan",NOR,LB,25.8,7.3,0.8,0.9,0.8,1.6,1.6,0.,36.
121,"Bowser, Tyus",BAL,LB,19.2,19.2,2.2,2.7,0.,1.2,0.6,0.,35.5
122,"Hewitt, Neville",FA,LB,26.3,16.7,0.8,0.,0.,0.,0.,0.,35.5
123,"Bostic, Jon",IND,LB,24.,11.7,4.1,0.,0.,1.1,0.1,0.2,35.2
124,"Wilson, Damien",DAL,LB,26.,10.5,0.5,2.9,0.,0.,0.,0.,34.7
125,"Barrett, Shaq",DEN,LB,21.,12.6,2.1,1.1,0.,2.1,0.7,0.2,33.3
126,"Worrilow, Paul",DET,LB,24.,13.3,0.8,1.7,0.,0.,0.,0.,33.1
127,"Henderson, Erin",FA,LB,24.7,11.9,0.2,1.6,0.,0.,0.,0.,32.5
128,"Ware, Demarcus",FA,LB,18.,13.1,5.6,0.5,0.,0.7,0.7,0.,32.
129,"Houston, Lamarr",FA,LB,21.2,8.2,4.6,0.8,0.,0.5,0.5,0.,31.6
130,"Bynes, Josh",ARZ,LB,21.7,11.1,0.5,2.6,0.,0.4,0.,0.,30.8
131,"Durant, Justin",DAL,LB,22.,11.2,0.7,2.5,0.,0.,0.,0.,30.8
132,"Moore, Sio",FA,LB,23.,11.2,0.,0.1,0.,1.3,0.3,0.,30.2
133,"Thomas, J.T.",NYG,LB,19.2,18.6,0.1,1.6,0.,0.,0.,0.,30.2
