Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
182,"McBride, Tre",CHI,WR,2.6,0.3,0.7,2.8,0.3,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,0.,0.,258.8,0.,0.3,2.4
183,"Treggs, Bryce",FA,WR,7.1,0.,0.6,11.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.7,0.,0.,0.,0.,0.,1.6
184,"Ellington, Bruce",HOU,WR,4.1,0.8,1.4,15.6,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.1,2.6,0.,0.4,1.6
185,"Anderson, Dres",FA,WR,6.5,1.2,1.3,14.2,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.1,0.,37.4,29.4,0.,0.8,1.4
186,"Bolden, Victor",SFO,WR,10.8,1.2,3.2,14.4,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.,0.,16.8,12.2,0.1,0.9,1.3
187,"Adams, Rodney",MIN,WR,9.7,1.9,0.9,8.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,5.5,0.,0.,189.5,0.,0.4,1.3
188,"Harvin, Percy",FA,WR,8.7,1.2,0.8,6.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-1.,0.,9.9,192.4,0.,1.2,0.5
189,"Williams, Chad",ARZ,WR,14.6,2.1,2.2,4.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,45.2,21.1,0.,0.9,0.4
190,"Ross, Jeremy",FA,WR,3.2,0.,0.2,1.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,44.9,411.7,0.,0.,0.4
191,"Payton, Jordan",FA,WR,9.1,2.2,0.7,4.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-0.8,0.,21.9,177.7,0.,0.7,0.4
192,"Hansen, Chad",NYJ,WR,13.1,2.3,0.7,5.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,86.,106.3,0.1,2.1,0.3
193,"Slater, Matt",NEP,WR,1.6,0.2,0.2,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.5,0.,0.,14.2,0.,0.2,0.3
194,"Jones, Tevin",HOU,WR,4.3,0.2,0.2,2.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,45.5,9.9,0.,0.1,0.2
