Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
12,"Hooper, Austin",ATL,TE,62.5,15.2,39.4,500.1,7.2,2.7,2.1,0.9,0.,1.5,0.,2.,1.,0.3,0.1,0.,0.,0.,0.,0.,14.2,93.1
13,"Kelce, Travis",KCC,TE,89.4,18.2,61.2,784.3,2.4,0.6,1.4,0.,0.,0.,0.4,5.6,1.6,0.5,0.2,-2.3,0.,0.,0.,1.1,15.8,91.8
14,"Gates, Antonio",LAC,TE,88.9,23.2,47.9,500.2,7.1,4.7,2.4,0.,0.,0.,0.,2.,1.,0.3,0.1,0.,0.,0.,3.,0.8,11.8,91.
15,"Brate, Cameron",TBB,TE,63.8,15.7,42.,515.1,6.2,2.,3.,0.9,0.2,0.2,0.,2.1,1.,0.3,0.1,0.,0.,0.,0.,0.,13.7,88.6
16,"Clay, Charles",BUF,TE,96.5,18.3,58.7,583.8,4.1,1.,1.4,0.5,0.,1.2,0.,2.3,1.2,0.4,0.1,0.,0.,0.,0.,0.,15.6,83.1
17,"Rudolph, Kyle",MIN,TE,85.5,22.9,53.2,539.7,4.6,2.7,0.3,1.2,0.,0.3,0.,2.2,1.1,0.4,0.1,0.,0.,0.,0.,0.,18.5,81.5
18,"Allen, Dwayne",NEP,TE,71.8,12.6,42.9,505.8,4.6,0.8,3.7,0.,0.,0.,0.,2.,1.,0.3,0.1,0.,0.,0.,0.,0.,11.5,79.7
19,"Witten, Jason",DAL,TE,95.1,22.2,66.1,608.,3.4,2.2,0.9,0.3,0.,0.,0.,2.4,1.2,0.4,0.2,0.,0.,0.,0.,1.,13.9,79.2
20,"Engram, Evan",NYG,TE,93.2,22.6,64.2,555.2,3.9,1.8,2.2,0.,0.,0.,0.,2.2,1.1,0.4,0.1,0.,0.,0.,0.,0.,20.3,79.1
21,"Njoku, David",CLE,TE,68.3,15.8,44.9,534.9,3.9,2.1,1.1,0.8,0.,0.,0.,2.1,1.1,0.4,0.1,0.,0.,0.,0.,0.,14.1,77.5
22,"Higbee, Tyler",LAR,TE,95.3,11.3,52.8,515.,4.3,2.3,1.7,0.,0.4,0.,0.,2.1,1.,0.3,0.1,0.,0.,0.,0.,1.2,10.3,75.9
23,"Thomas, Julius",MIA,TE,69.8,8.5,42.5,403.8,5.8,3.3,1.7,0.7,0.,0.,0.,1.6,0.8,0.3,0.1,0.,0.,0.,0.,0.,7.,75.
24,"Watson, Benjamin",BAL,TE,94.9,21.,60.3,555.3,3.3,2.,1.4,0.,0.,0.,0.,2.2,1.1,0.4,0.1,0.,0.,0.,0.,0.3,15.,75.
25,"Cook, Jared",OAK,TE,81.8,12.4,51.3,587.1,2.6,1.6,0.6,0.,0.5,0.,0.,2.3,1.2,0.4,0.1,0.,0.,0.,0.,0.,5.4,74.4
26,"Fleener, Coby",NOR,TE,84.4,21.1,47.7,561.,2.6,1.5,0.6,0.,0.,0.,0.5,2.2,1.1,0.4,0.1,0.5,0.2,0.,0.,0.,15.7,73.1
27,"Miller, Zach",CHI,TE,69.2,5.7,49.5,536.9,2.9,2.1,0.8,0.,0.,0.,0.,2.1,1.1,0.4,0.1,0.,0.,0.,0.,0.,4.9,71.3
28,"Fiedorowicz, C.J.",HOU,TE,79.8,13.2,46.,484.8,3.3,1.6,1.6,0.2,0.,0.,0.,1.9,1.,0.3,0.1,0.,0.,0.,0.,0.,8.9,68.5
29,"Kittle, George",SFO,TE,54.1,11.1,32.4,420.2,4.2,1.9,1.7,0.,0.,0.,0.7,1.7,0.8,0.3,0.1,0.,0.,0.,0.,0.,9.7,67.3
30,"Ebron, Eric",DET,TE,70.6,11.1,45.9,512.2,1.6,1.3,0.3,0.,0.,0.,0.,2.,1.,0.3,0.1,0.5,0.5,0.,0.,0.,10.1,64.
31,"Davis, Vernon",WAS,TE,62.3,7.3,42.5,535.7,1.2,0.,0.7,0.,0.5,0.,0.,2.1,1.1,0.4,0.1,0.,0.,0.,3.1,0.,8.,60.6
32,"James, Jesse",PIT,TE,66.3,14.2,42.6,421.9,2.3,2.3,0.,0.,0.,0.,0.,1.7,0.8,0.3,0.1,0.,0.,0.,0.,0.,12.7,55.8
33,"Celek, Garrett",SFO,TE,47.6,9.2,27.4,318.3,4.2,2.8,1.4,0.,0.,0.,0.,1.3,0.6,0.2,0.1,0.,0.,0.,0.,0.8,7.2,55.5
34,"Sims, Dion",CHI,TE,46.2,6.2,33.,328.1,3.6,2.7,0.9,0.,0.,0.,0.,1.3,0.7,0.2,0.1,0.,0.,0.,0.,0.,5.9,54.5
35,"Lewis, Marcedes",JAC,TE,51.3,7.7,33.1,307.4,3.1,2.1,0.8,0.2,0.,0.,0.,1.2,0.6,0.2,0.1,0.,0.,0.,0.,0.,5.1,49.5
36,"Green, Virgil",DEN,TE,49.3,7.5,30.2,346.6,1.8,1.4,0.2,0.2,0.,0.,0.,1.4,0.7,0.2,0.1,0.,0.,0.,0.,0.,6.,45.4
37,"Walford, Clive",OAK,TE,46.9,10.1,29.1,319.1,2.2,1.2,0.8,0.,0.2,0.,0.,1.3,0.6,0.2,0.1,0.,0.,0.,0.,0.,7.7,45.1
38,"McDonald, Vance",PIT,TE,42.6,5.1,24.5,319.9,2.2,0.6,0.7,0.4,0.,0.,0.6,1.3,0.6,0.2,0.1,0.,0.,0.,0.,0.,3.8,45.1
39,"Gresham, Jermaine",ARZ,TE,54.6,8.3,33.1,368.9,1.4,0.5,0.,0.8,0.,0.,0.,1.5,0.7,0.2,0.1,0.,0.,0.,0.,0.,6.2,45.
40,"Griffin, Ryan",HOU,TE,67.9,6.7,40.4,366.,1.5,1.5,0.,0.,0.,0.,0.,1.5,0.7,0.2,0.1,0.,0.,0.,0.,0.8,3.3,44.2
41,"Kendricks, Lance",GBP,TE,60.5,4.6,32.3,318.7,1.,0.,1.,0.,0.,0.,0.,1.3,0.6,0.2,0.1,0.,0.,0.,0.,0.6,2.5,36.8
42,"Rodgers, Richard",GBP,TE,31.9,4.1,19.5,177.6,2.,0.,1.,0.,1.,0.,0.,0.7,0.4,0.1,0.,0.,0.,0.,0.,0.,3.1,29.6
43,"Celek, Brent",PHI,TE,26.,6.4,18.8,219.4,1.3,0.4,0.8,0.,0.,0.,0.,0.9,0.4,0.1,0.1,0.,0.,0.,0.,0.,4.9,29.5
44,"Tye, Will",NYJ,TE,47.7,4.3,32.4,259.4,0.6,0.6,0.,0.,0.,0.,0.,1.,0.5,0.2,0.1,0.,0.,0.,0.,0.,3.,29.5
45,"DeValve, Seth",CLE,TE,17.5,3.3,12.3,148.4,2.2,0.,1.6,0.6,0.,0.,0.,0.6,0.3,0.1,0.,0.,0.,0.,15.5,0.,3.6,27.8
46,"Toilolo, Levine",ATL,TE,22.8,4.8,12.9,199.3,1.3,0.4,0.2,0.,0.7,0.1,0.,0.8,0.4,0.1,0.,0.,0.,0.,0.,0.,3.1,27.7
47,"Koyack, Ben",JAC,TE,39.,3.6,27.7,247.7,0.4,0.2,0.1,0.,0.,0.,0.,1.,0.5,0.2,0.1,0.,0.,0.,0.,0.,3.1,27.1
48,"Tamme, Jacob",FA,TE,22.1,5.2,16.2,174.6,1.4,0.5,0.6,0.,0.,0.2,0.,0.7,0.3,0.1,0.,0.,0.,0.,0.,0.,4.7,25.7
49,"Daniels, Darrell",IND,TE,41.,7.4,23.4,218.6,0.8,0.8,0.,0.,0.,0.,0.,0.9,0.4,0.1,0.1,0.4,0.,0.,0.,0.8,6.4,25.7
50,"Hill, Josh",NOR,TE,34.1,9.7,18.8,160.9,1.6,1.1,0.5,0.,0.,0.,0.,0.6,0.3,0.1,0.,0.,0.,0.,0.,0.,9.2,25.5
51,"Supernaw, Phillip",TEN,TE,21.7,5.,13.5,161.9,1.5,0.7,0.6,0.3,0.,0.,0.,0.6,0.3,0.1,0.,0.,0.,0.,0.,0.,4.8,25.2
52,"Willson, Luke",SEA,TE,26.9,4.5,16.9,165.4,1.3,0.8,0.5,0.,0.,0.,0.,0.7,0.3,0.1,0.,0.,0.,0.,2.7,0.,4.1,24.3
53,"Boyle, Nick",BAL,TE,32.6,5.9,23.5,180.3,0.3,0.3,0.,0.,0.,0.,0.,0.7,0.4,0.1,0.,0.,0.,0.,2.,0.,4.4,21.8
54,"Seferian-Jenkins, Austin",NYJ,TE,27.9,5.9,14.,165.7,0.7,0.3,0.,0.,0.4,0.,0.,0.7,0.3,0.1,0.,0.,0.,0.,2.3,0.,4.9,20.8
55,"Smith, Lee",OAK,TE,25.4,5.6,15.2,144.6,0.8,0.8,0.,0.,0.,0.,0.,0.6,0.3,0.1,0.,0.,0.,0.,0.,0.,4.,19.3
