Player,Team,Rec,Rec Yard,Rec TD,Rush Att,Rush Yard,Rush TD
Corey Coleman,CLE,53,675,4,0,0,0
Allen Hurns,JAC,51,675,4,0,0,0
Zay Jones,BUF,46,589,4,0,0,0
Corey Davis,TEN,44,588,4,0,0,0
Mohamed Sanu,ATL,50,585,4,0,0,0
Sterling Shepard,NYG,46,582,4,0,0,0
J.J. Nelson,ARI,31,494,5,0,0,0
Chris Conley,KC,44,545,4,0,0,0
Marquise Goodwin,SF,38,535,4,0,0,0
Taylor Gabriel,ATL,35,489,4,4,26,0
Devin Funchess,CAR,37,506,4,0,0,0
Breshad Perriman,BAL,37,545,3,0,0,0
Robert Woods,LAR,36,482,4,0,0,0
Torrey Smith,PHI,38,525,3,0,0,0
Kendall Wright,CHI,40,516,3,0,0,0
Tavon Austin,LAR,41,376,2,19,137,1
Eli Rogers,PIT,38,482,3,0,0,0
Kenny Golladay,DET,32,417,4,0,0,0
Cooper Kupp,LAR,47,526,2,0,0,0
Brandon LaFell,CIN,38,514,2,0,0,0
Danny Amendola,NE,40,445,3,0,0,0
ArDarius Stewart,NYJ,32,422,3,0,0,0
Seth Roberts,OAK,33,414,3,0,0,0
Marqise Lee,JAC,39,474,2,0,0,0
Phillip Dorsett,IND,29,406,3,0,0,0
Travis Benjamin,LAC,34,463,2,0,0,0
Nelson Agholor,PHI,35,445,2,0,0,0
Paul Richardson,SEA,28,376,3,0,0,0
Tyler Boyd,CIN,25,411,2,0,0,0
John Ross,CIN,22,341,3,0,0,0
Jaelen Strong,HOU,29,389,2,0,0,0
Terrance Williams,DAL,29,382,2,0,0,0
Braxton Miller,HOU,33,375,2,0,0,0
Deonte Thompson,CHI,28,363,2,0,0,0
Jeremy Kerley,SF,34,355,2,0,0,0
Will Fuller,HOU,25,345,2,0,0,0
Chris Godwin,TB,28,345,2,0,0,0
Josh Doctson,WAS,26,344,2,0,0,0
Laquon Treadwell,MIN,25,321,2,0,0,0
Kamar Aiken,IND,22,296,2,0,0,0
Brice Butler,DAL,22,289,2,0,0,0
Brandon Coleman,NO,23,289,2,0,0,0
Curtis Samuel,CAR,19,200,2,16,86,0
Geronimo Allison,GB,18,245,2,0,0,0
Tajae Sharpe,TEN,19,233,2,0,0,0
Bennie Fowler,DEN,22,288,1,0,0,0
Demarcus Robinson,KC,20,285,1,0,0,0
Andre Holmes,BUF,19,284,1,0,0,0
Adam Humphries,TB,19,215,2,0,0,0
Aldrick Robinson,SF,16,213,2,0,0,0
Cody Latimer,DEN,27,265,1,0,0,0
Jermaine Kearse,SEA,19,245,1,0,0,0
Jordan Taylor,DEN,17,245,1,0,0,0
Charone Peake,NYJ,22,245,1,0,0,0
JuJu Smith-Schuster,PIT,19,244,1,0,0,0
Kenny Bell,BAL,18,242,1,0,0,0
Albert Wilson,KC,22,285,0,0,0,0
Rashard Higgins,CLE,17,221,1,0,0,0
Markus Wheaton,CHI,17,215,1,0,0,0
Dontrelle Inman,LAC,15,205,1,0,0,0
Jaron Brown,ARI,14,195,1,0,0,0
Jarius Wright,MIN,15,246,0,0,0,0
Mike Williams,LAC,13,185,1,0,0,0
Michael Campanaro,BAL,15,185,1,0,0,0
Russell Shepard,CAR,14,182,1,0,0,0
Andre Roberts,ATL,12,166,1,0,0,0
Dede Westbrook,JAC,11,156,1,0,0,0
Michael Floyd,MIN,11,145,1,0,0,0
T.J. Jones,DET,11,133,1,0,0,0
Brian Quick,WAS,15,187,0,0,0,0
Darrius Heyward-Bey,PIT,12,185,0,0,0,0
Justin Hardy,ATL,10,121,1,0,0,0
Corey Fuller,NO,9,118,1,0,0,0
Malcolm Mitchell,NE,14,177,0,0,0,0
Philly Brown,BUF,11,114,1,0,0,0
Chad Williams,ARI,9,114,1,0,0,0
Leonte Carroo,MIA,14,172,0,0,0,0
Cordarrelle Patterson,OAK,8,111,1,0,0,0
Brenton Bersin,CAR,10,154,0,0,0,0
Pharoh Cooper,LAR,11,135,0,0,0,0
Jalin Marshall,NYJ,11,135,0,0,0,0
Victor Cruz,CHI,10,133,0,0,0,0
Rashad Greene,JAC,9,111,0,0,0,0
Ricardo Louis,CLE,8,95,0,0,0,0
Carlos Henderson,DEN,7,89,0,0,0,0
Jeff Janis,GB,6,85,0,0,0,0
Dwayne Harris,NYG,6,82,0,0,0,0
Harry Douglas,TEN,7,82,0,0,0,0
Jehu Chesson,KC,6,77,0,0,0,0
Justin Hunter,PIT,7,77,0,0,0,0
Chester Rogers,IND,6,74,0,0,0,0
Ryan Switzer,DAL,7,67,0,0,0,0
Josh Reynolds,LAR,4,54,0,0,0,0
Jeremy Ross,ARI,5,52,0,0,0,0
Josh Bellamy,CHI,3,45,0,0,0,0
Amara Darboh,SEA,2,26,0,0,0,0
Josh Gordon,CLE,1,10,0,0,0,0
