fantasyPointsRank,playerName,Team,Pos,PlayerName,Team,Pos
264,Duke Johnson Jr.,HST,rb,Crosby Maxx,LVR,de
265,Darius Slayton,NYG,wr,Flowers Trey,DET,de
266,Blake Jarwin,DAL,te,Fowler Dante,ATL,de
267,DeShon Elliott,BLT,s,Clark Kenny,GBP,de
268,Shelby Harris,DEN,dt,Casey Jurrell,DEN,de
269,John Brown,BUF,wr,Pierre-Paul Jason,TBB,de
270,Kevin Byard,TEN,s,Dunlap Carlos,CIN,de
271,Mike Purcell,DEN,dt,Ngakoue Yannick,MIN,de
272,Jack Doyle,IND,te,Buckner DeForest,IND,de
273,Tony Pollard,DAL,rb,Jordan Cameron,NOS,de
274,Preston Williams,MIA,wr,Chaisson K'Lavon,JAC,de
275,Derek Barnett,PHI,de,Jones Chris,KCC,de
276,Brandon Copeland,NE,lb,Ioannidis Matt,WAS,de
277,Jimmy Garoppolo,SF,qb,Simon John,NEP,de
278,Tyler Boyd,CIN,wr,Simmons Jeffery,TEN,de
279,Sean Davis,WAS,s,Okwara Romeo,DET,de
280,Maliek Collins,LV,dt,Lawson Shaq,MIA,de
281,Jakeem Grant,MIA,wr,Addison Mario,BUF,de
282,Ryan Connelly,NYG,lb,Kerrigan Ryan,WAS,de
283,Khalil Mack,CHI,lb,Ogbah Emmanuel,MIA,de
284,Montez Sweat,WAS,de,Armstead Arik,SFO,de
285,Jonathan Allen,WAS,de,Watt J.J.,HOU,de
286,Stephon Tuitt,PIT,de,Houston Justin,IND,de
287,Anthony Harris,MIN,s,Griffen Everson,DAL,de
288,John Simon,NE,de,Short Kawann,CAR,de
289,Jurrell Casey,DEN,de,Graham Brandon,PHI,de
290,Tyler Eifert,JAX,te,Jarrett Grady,ATL,de
291,Justin Evans,TB,s,Williams Leonard,NYG,de
292,Jaleel Johnson,MIN,dt,Campbell Calais,BAL,de
293,Micah Hyde,BUF,s,Godchaux Davon,MIA,de
294,Xavier Woods,DAL,s,Murphy Trent,BUF,de
295,Justin Reid,HST,s,Brockers Michael,LAR,de
296,Eddie Jackson,CHI,s,Payne Da'Ron,WAS,de
297,Anthony Hitchens,KC,lb,Garrett Myles,CLE,de
298,Dawson Knox,BUF,te,Richardson Sheldon,CLE,de
299,Bruce Irvin,SEA,de,Guy Lawrence,NEP,de
300,Dallas Goedert,PHI,te,Sweat Montez,WAS,de
301,Julian Love,NYG,s,Tuitt Stephon,PIT,de
302,Javon Kinlaw,SF,dt,Vernon Olivier,CLE,de
303,Daniel Jones,NYG,qb,Hughes Jerry,BUF,de
304,Jordan Whitehead,TB,s,Oliver Ed,BUF,de
305,Corey Peters,ARZ,dt,Ferrell Clelin,LVR,de
306,N'Keal Harry,NE,wr,Ogunjobi Larry,CLE,de
307,Jimmie Ward,SF,s,Shelton Danny,DET,de
308,Rashaan Evans,TEN,lb,Harris Shelby,DEN,de
309,Eric Ebron,PIT,te,Lawrence Demarcus,DAL,de
310,K'Lavon Chaisson,JAX,de,Lowry Dean,GBP,de
311,Allen Lazard,GB,wr,Okafor Alex,KCC,de
312,Joe Burrow,CIN,qb,Cox Fletcher,PHI,de
313,Malik Harrison,BLT,lb,Tomlinson Dalvin,NYG,de
314,Kareem Jackson,DEN,s,Phillips Jordan,ARI,de
315,Jeremy Chinn,CAR,s,Hicks Akiem,CHI,de
316,Damarious Randall,LV,s,Suh Ndamukong,TBB,de
317,Clelin Ferrell,LV,de,Purcell Mike,DEN,de
318,Ryquell Armstead,JAX,rb,Autry Denico,IND,de
319,Todd Davis,DEN,lb,Brown Derrick,CAR,de
320,Adam Butler,NE,dt,Wilkins Christian,MIA,de
321,Brandin Cooks,HST,wr,Collier L.J.,SEA,de
322,Drew Lock,DEN,qb,Reader D.J.,CIN,de
323,Johnathan Hankins,LV,dt,Nassib Carl,LVR,de
324,Kamal Martin,GB,lb,Ford Dee,SFO,de
325,Chandler Jones,ARZ,lb,Hankins Johnathan,LVR,de
326,Malik Jackson,PHI,dt,Jones Abry,JAC,de
327,Tre Boston,CAR,s,Wolfe Derek,BAL,de
328,Mario Addison,BUF,de,Joseph Linval,LAC,de
