fantasyPointsRank,playerName,Team,Pos,PlayerName,Team,Pos
859,Deon Bush,CHI,s,James Jesse,DET,te
860,David Long Jr.,LA,lb,Thomas Logan,WAS,te
861,De'Vondre Campbell,ARZ,lb,Green Virgil,LAC,te
862,Julian Blackmon,IND,s,Dwelley Ross,SFO,te
863,Blake Cashman,NYJ,lb,Carrier Derek,LVR,te
864,Samson Ebukam,LA,lb,Yelder Deon,KCC,te
865,Will Harris,DET,s,Izzo Ryan,NEP,te
866,Jaquan Johnson,BUF,s,Tonyan Robert,GBP,te
867,Montre Hartage,NYG,s,Daniels Darrell,ARI,te
868,Devante Downs,NYG,lb,Willson Luke,SEA,te
869,Marqui Christian,CHI,s,Beck Andrew,DEN,te
870,Donovan Wilson,DAL,s,Manhertz Chris,CAR,te
871,Terrell Lewis,LA,lb,Stocker Luke,ATL,te
872,Andrew Wingard,JAX,s,Kmet Cole,CHI,te
873,Ryan Neal,SEA,s,Graham Jaeden,ATL,te
874,Dean Marlowe,BUF,s,Arnold Dan,ARI,te
875,Jermaine Carter,CAR,lb,Carlson Stephen,CLE,te
876,Sam Eguavoen,MIA,lb,Shaheen Adam,MIA,te
877,Trey Marshall,DEN,s,Conklin Tyler,MIN,te
878,Doug Middleton,TEN,s,Brown Daniel,NYJ,te
879,Darious Williams,LA,s,Bell Blake,DAL,te
880,Jaylen Watkins,HST,s,Swaim Geoff,TEN,te
881,Oren Burks,GB,lb,Reed Jordan,SFO,te
882,J.J. Wilcox,ATL,s,Butt Jake,DEN,te
883,Troy Apke,WAS,s,Okwuegbunam Albert,DEN,te
884,Marcus Allen,PIT,s,Mundt Johnny,LAR,te
885,Raekwon McMillan,LV,lb,Toilolo Levine,NYG,te
886,Deshazor Everett,WAS,s,Bryant Harrison,CLE,te
887,Bobby Okereke,IND,lb,Warring Kahale,HOU,te
888,Quenton Meeks,LAC,s,Auclair Antony,TBB,te
889,Alijah Holder,DEN,s,Carter Cethan,CIN,te
890,Antoine Brooks Jr.,PIT,s,Holtz J.P.,CHI,te
891,Quin Blanding,CAR,s,Gentry Zach,PIT,te
892,Maurice Smith,CIN,s,Wesco Trevon,NYJ,te
893,Jaylon Ferguson,BLT,lb,Thomas Michael,NOS,wr
894,Jordan Richards,BLT,s,Adams Davante,GBP,wr
895,Dre Greenlaw,SF,lb,Jones Julio,ATL,wr
896,Adrian Colbert,KC,s,Allen Keenan,LAC,wr
897,Tyus Bowser,BLT,lb,Robinson Allen,CHI,wr
898,Patrick Onwuasor,NYJ,lb,Hill Tyreek,KCC,wr
899,Frankie Luvu,NYJ,lb,Green A.J.,CIN,wr
900,Vernon Scott,GB,s,Diggs Stefon,BUF,wr
901,Kevin Minter,TB,lb,Gallup Michael,DAL,wr
902,Bennett Jackson,NYJ,s,Godwin Chris,TBB,wr
903,C.J. Reavis,ATL,s,Evans Mike,TBB,wr
904,Jamal Carter,ATL,s,Kupp Cooper,LAR,wr
905,Josh Bynes,CIN,lb,Smith-Schuster JuJu,PIT,wr
906,Miles Killebrew,DET,s,Hopkins DeAndre,ARI,wr
907,Andrew Adams,TB,s,Edelman Julian,NEP,wr
908,Sharrod Neasman,ATL,s,McLaurin Terry,WAS,wr
909,Josh Metellus,MIN,s,Woods Robert,LAR,wr
910,Taysom Hill,NO,qb,Boyd Tyler,CIN,wr
911,Eric Wilson,MIN,lb,Thielen Adam,MIN,wr
912,Derick Roberson,TEN,lb,Ridley Calvin,ATL,wr
913,Barkevious Mingo,CHI,lb,Moore D.J.,CAR,wr
914,Brennan Scarlett,HST,lb,Landry Jarvis,CLE,wr
915,Ulysees Gilbert III,PIT,lb,Jones Marvin,DET,wr
916,Anthony Nelson,TB,lb,Cooper Amari,DAL,wr
917,Zack Baun,NO,lb,Beckham Odell,CLE,wr
918,Tyler Matakevich,BUF,lb,Lockett Tyler,SEA,wr
919,Lorenzo Carter,NYG,lb,Hilton T.Y.,IND,wr
920,Alex Anzalone,NO,lb,Miller Anthony,CHI,wr
921,Christian Jones,DET,lb,Chark D.J.,JAC,wr
922,Deone Bucannon,ATL,lb,Fuller Will,HOU,wr
923,Ryan Anderson,WAS,lb,Parker DeVante,MIA,wr
924,Ryan Fitzpatrick,MIA,qb,Ruggs Henry,LVR,wr
925,Pernell McPhee,BLT,lb,Brown John,BUF,wr
926,Davion Taylor,PHI,lb,Kirk Christian,ARI,wr
927,Dylan Cole,HST,lb,Sutton Courtland,DEN,wr
928,Haason Reddick,ARZ,lb,Cooks Brandin,HOU,wr
929,Kyzir White,LAC,lb,Jackson DeSean,PHI,wr
930,A.J. Klein,BUF,lb,Metcalf DK,SEA,wr
931,Dorian O'Daniel,KC,lb,Watkins Sammy,KCC,wr
932,Nicholas Morrow,LV,lb,Conley Chris,JAC,wr
933,Quincy Williams,JAX,lb,Brown A.J.,TEN,wr
934,Cody Barton,SEA,lb,Harry N'Keal,NEP,wr
935,Nick Vigil,LAC,lb,Shepard Sterling,NYG,wr
936,Ty Summers,GB,lb,Perriman Breshad,NYJ,wr
937,Joel Iyiegbuniwe,CHI,lb,Johnson Diontae,PIT,wr
938,Shaquille Quarterman,JAX,lb,Renfrow Hunter,LVR,wr
939,Shaun Dion Hamilton,WAS,lb,Jefferson Justin,MIN,wr
940,Terez Hall,NE,lb,Williams Mike,LAC,wr
941,James Vaughters,CHI,lb,Tate Golden,NYG,wr
942,Nick Foles,CHI,qb,Anderson Robby,CAR,wr
943,Curtis Bolton,GB,lb,Brown Marquise,BAL,wr
944,Duke Riley,PHI,lb,Beasley Cole,BUF,wr
945,Mykal Walker,ATL,lb,Reynolds Josh,LAR,wr
946,Craig Robertson,NO,lb,Jeudy Jerry,DEN,wr
947,Jack Cichy,TB,lb,Slayton Darius,NYG,wr
948,Sean Lee,DAL,lb,Fitzgerald Larry,ARI,wr
949,Will Compton,TEN,lb,Lazard Allen,GBP,wr
950,Joe Walker,SF,lb,Crowder Jamison,NYJ,wr
951,B.J. Goodson,CLV,lb,Sanders Emmanuel,NOS,wr
952,Akeem Davis-Gaither,CIN,lb,Williams Preston,MIA,wr
953,Ogbonnia Okoronkwo,LA,lb,Campbell Parris,IND,wr
954,Tyrell Adams,HST,lb,Samuel Curtis,CAR,wr
955,Cassh Maluia,NE,lb,Amendola Danny,DET,wr
956,Genard Avery,PHI,lb,Washington James,PIT,wr
957,Troy Dye,MIN,lb,Stills Kenny,HOU,wr
958,Natrez Patrick,LA,lb,Davis Corey,TEN,wr
959,Jalen Reeves-Maybin,DET,lb,Cobb Randall,HOU,wr
960,Josey Jewell,DEN,lb,Humphries Adam,TEN,wr
961,Malik Reed,DEN,lb,Inman Dontrelle,WAS,wr
962,Robert Spillane,PIT,lb,Miller Scott,TBB,wr
963,Patrick O'Connor,TB,lb,Gage Russell,ATL,wr
964,Ben Burr-Kirven,SEA,lb,Byrd Damiere,NEP,wr
965,Kylie Fitts,ARZ,lb,Edwards Bryan,LVR,wr
966,Jordan Evans,CIN,lb,Ford Isaiah,MIA,wr
967,Winston Rose,CIN,lb,Ross John,CIN,wr
968,Reggie Ragland,DET,lb,Jones Zay,LVR,wr
969,Kamu Grugier-Hill,MIA,lb,Snead Willie,BAL,wr
970,Josh Woods,CHI,lb,Lamb CeeDee,DAL,wr
971,Joe Thomas,DAL,lb,Pascal Zach,IND,wr
972,Noah Dawkins,TB,lb,Hardman Mecole,KCC,wr
973,L.J. Fort,BLT,lb,Sims Steven,WAS,wr
974,Adarius Taylor,CAR,lb,Ward Greg,PHI,wr
975,Vontarrius Dora,ARZ,lb,Erickson Alex,CIN,wr
976,Tae Crowder,NYG,lb,Bourne Kendrick,SFO,wr
977,Ben Niemann,KC,lb,Valdes-Scantling Marquez,GBP,wr
978,Peter Kalambayi,HST,lb,Smith Tre'Quan,NOS,wr
979,Brandon King,NE,lb,Higgins Rashard,CLE,wr
980,Josiah Tauaefa,NYG,lb,Cole Keelan,JAC,wr
981,Andre Smith,BUF,lb,Patrick Tim,DEN,wr
982,Daren Bates,HST,lb,Robinson Demarcus,KCC,wr
983,Shaun Bradley,PHI,lb,Patterson Cordarrelle,CHI,wr
984,Nick Dzubnar,TEN,lb,Meyers Jakobi,NEP,wr
985,Anthony Chickillo,NO,lb,Johnson Olabisi,MIN,wr
986,Zaire Franklin,IND,lb,Tate Auden,CIN,wr
987,Evan Weaver,ARZ,lb,Gordon Josh,SEA,wr
988,Jason Cabinda,DET,lb,Reed Joe,LAC,wr
989,Emeke Egbule,LAC,lb,Shenault Laviska,JAC,wr
990,Donald Payne,WAS,lb,Boykin Miles,BAL,wr
991,Tuzar Skipper,PIT,lb,Hamler KJ,DEN,wr
992,Olasunkanmi Adeniyi,PIT,lb,Watson Justin,TBB,wr
993,Ben Gedeon,MIN,lb,McKenzie Isaiah,BUF,wr
994,Chris Board,BLT,lb,Ginn Jr. Ted,CHI,wr
995,Joe Jones,DEN,lb,Gandy-Golden Antonio,WAS,wr
996,Azeez Al-Shaair,SF,lb,Blake Christian,ATL,wr
997,Shaquem Griffin,SEA,lb,Hamilton DaeSean,DEN,wr
998,Justin March-Lillard,DAL,lb,Pettis Dante,SFO,wr
999,Jordan Brailford,WAS,lb,Reagor Jalen,PHI,wr
1000,Leon Jacobs,JAX,lb,Agholor Nelson,LVR,wr
1001,Malcolm Smith,CLV,lb,Sharpe Tajae,MIN,wr
1002,Tanner Vallejo,ARZ,lb,Hall Marvin,DET,wr
1003,Alex Singleton,PHI,lb,Raymond Kalif,TEN,wr
1004,Josh Watson,DEN,lb,Wilson Cedrick,DAL,wr
1005,Kyle Wilber,LV,lb,Wims Javon,CHI,wr
1006,Jalen Hurts,PHI,qb,Moore David,SEA,wr
1007,E.J. Speed,IND,lb,Ratley Damion,NYG,wr
1008,Reuben Foster,WAS,lb,Grant Jakeem,MIA,wr
1009,Julian Stanford,CAR,lb,Cephus Quintez,DET,wr
1010,Willie Harvey,CLV,lb,Roberts Seth,CAR,wr
1011,Ezekiel Turner,ARZ,lb,Zaccheaus Olamide,ATL,wr
1012,Cameron Smith,MIN,lb,Isabella Andy,ARI,wr
1013,Corey Thompson,BUF,lb,Sherfield Trent,ARI,wr
1014,Matthew Adams,IND,lb,James Richie,SFO,wr
1015,Tae Davis,CLV,lb,Turner Malik,DAL,wr
1016,Vosean Joseph,BUF,lb,Cooper Pharoh,CAR,wr
1017,Brady Sheldon,CIN,lb,Arcega-Whiteside JJ,PHI,wr
1018,Hardy Nickerson,MIN,lb,Hodge KhaDarel,CLE,wr
1019,Blaine Gabbert,TB,qb,Taylor Trent,SFO,wr
1020,Jeff Driskel,DEN,qb,Claypool Chase,PIT,wr
1021,Chad Henne,KC,qb,Pittman Jr. Michael,IND,wr
1022,Robert Griffin III,BLT,qb,Berrios Braxton,NYJ,wr
1023,Mason Rudolph,PIT,qb,Hollins Mack,MIA,wr
1024,Matt Schaub,ATL,qb,Carter DeAndre,HOU,wr
1025,Marcus Mariota,LV,qb,Jefferson Van,LAR,wr
1026,John Wolford,LA,qb,Hogan Chris,NYJ,wr
1027,Ryan Finley,CIN,qb,Harris Deonte,NOS,wr
1028,Jacoby Brissett,IND,qb,Brown Noah,DAL,wr
1029,Andy Dalton,DAL,qb,Roberts Andre,BUF,wr
1030,A.J. McCarron,HST,qb,Higgins Tee,CIN,wr
1031,Case Keenum,CLV,qb,Hill KJ,LAC,wr
1032,Chase Daniel,DET,qb,Pringle Byron,KCC,wr
1033,Jordan Love,GB,qb,Zylstra Brandon,CAR,wr
1034,Colt McCoy,NYG,qb,Swain Freddie,SEA,wr
1035,Sean Mannion,MIN,qb,Spencer Diontae,DEN,wr
1036,Nick Mullens,SF,qb,Powell Brandon,ATL,wr
1037,Cole McDonald,TEN,qb,Hollister Cody,TEN,wr
1038,Joe Flacco,NYJ,qb,McCloud Ray-Ray,PIT,wr
1039,Mike Glennon,JAX,qb,Slater Matt,NEP,wr
1040,Jameis Winston,NO,qb,Davis Gabriel,BUF,wr
1041,Geno Smith,SEA,qb,Taylor Malik,GBP,wr
1042,Brett Hundley,ARZ,qb,Dulin Ashton,IND,wr
1043,Kyle Allen,WAS,qb,Wright Isaiah,WAS,wr
1044,Phillip Walker,CAR,qb,Webster Nsimba,LAR,wr
1045,Jarrett Stidham,NE,qb,Board C.J.,NYG,wr
1046,Matt Barkley,BUF,qb,,,
1047,Brian Hoyer,NE,qb,,,
