Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
89,"Robey, Nickell",PHI,@GBP,DB,1.9,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.3
90,"Borders, Breon",TEN,CLE,DB,1.5,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.2
91,"Sutton, Cameron",PIT,WAS,DB,1.4,0.2,0.1,0.2,0.1,0.2,0.0,0.0,0.0,0.0,2.2
92,"Robinson, Patrick",NOS,@ATL,DB,1.5,0.3,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,2.2
93,"Igbinoghene, Noah",MIA,CIN,DB,1.8,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.1
94,"Facyson, Brandon",LAC,NEP,DB,1.7,0.4,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,2.1
95,"Holmes, Darney",NYG,@SEA,DB,1.4,0.4,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0
96,"Maulet, Art",NYJ,LVR,DB,1.5,0.6,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0
97,"Moreau, Fabian",WAS,@PIT,DB,0.9,0.3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.7
98,"Carrie, Travis",IND,@HOU,DB,0.7,0.4,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,1.7
99,"Williams, Tramon",BAL,DAL,DB,1.1,0.4,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1.7
100,"Arnette, Damon",LVR,@NYJ,DB,1.2,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6
101,"Gaines, Phillip",HOU,IND,DB,1.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
102,"Dennard, Darqueze",ATL,NOS,DB,1.1,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.5
103,"Bassey, Essang",DEN,@KCC,DB,1.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
104,"Campbell, Tevaughn",LAC,NEP,DB,0.6,0.4,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,1.2
105,"Wreh-Wilson, Blidi",ATL,NOS,DB,0.4,0.2,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.2
106,"Moore, Tarvarius",SFO,BUF,DB,0.5,0.3,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,1.0
107,"Thomas, Tavierre",CLE,@TEN,DB,0.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8
108,"Armstrong, Cornell",HOU,IND,DB,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
109,"Hamilton, Antonio",KCC,DEN,DB,0.5,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7
110,"Watson, Brandon",JAC,@MIN,DB,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
111,"Hollman, Ka'dar",GBP,PHI,DB,0.4,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6
112,"Bausby, DeVante",DEN,@KCC,DB,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
113,"Worley, Daryl",BUF,@SFO,DB,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
114,"Taylor, Jamar",SFO,BUF,DB,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
115,"Brooks, Nate",MIA,CIN,DB,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4
116,"Johnson, Isaiah",LVR,@NYJ,DB,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
117,"Layne, Justin",PIT,WAS,DB,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
118,"Williams, Joejuan",NEP,@LAC,DB,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
119,"Kalu, Joshua",TEN,CLE,DB,0.2,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.4
