Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
92,"Hamilton, Shaun Dion",WAS,LB,34.6,16.1,1.8,2.2,0.6,0.5,0.5,0.0,48.9
93,"Floyd, Leonard",LAR,LB,32.0,18.6,1.6,3.5,0.0,1.3,0.4,0.2,48.0
94,"Wilson, Eric",MIN,LB,34.3,22.7,2.3,0.0,0.0,0.0,0.0,0.0,47.9
95,"Brooks, Jordyn",SEA,LB,25.6,31.5,2.4,1.4,0.0,1.4,1.3,0.0,47.8
96,"Barron, Mark",DEN,LB,34.9,14.9,3.1,1.3,0.0,0.0,0.0,0.0,46.8
97,"Ebukam, Samson",LAR,LB,27.8,16.1,4.0,2.2,0.1,2.2,1.9,0.1,46.4
98,"Tavai, Jahlani",DET,LB,29.5,17.2,1.6,2.5,1.0,0.5,0.0,0.0,44.7
99,"Okereke, Bobby",IND,LB,31.5,14.9,1.3,1.2,0.0,2.4,0.6,0.0,44.4
100,"Anderson, Ryan",WAS,LB,26.0,14.3,4.1,0.9,0.0,3.8,1.7,0.0,43.6
101,"Hudson, Khaleke",WAS,LB,27.2,16.2,3.6,2.2,0.0,1.5,0.9,0.2,43.4
102,"Jenkins, Jordan",NYJ,LB,24.8,11.3,8.1,1.9,0.0,2.0,0.9,0.0,43.3
103,"Scarlett, Brennan",HOU,LB,26.1,17.9,2.6,2.6,0.5,1.8,0.0,0.0,42.9
104,"Jones, Christian",DET,LB,28.8,16.0,2.3,3.1,0.0,0.0,0.0,0.0,42.2
105,"Phillips, Jacob",CLE,LB,31.5,10.3,2.1,0.8,0.0,0.4,0.4,0.0,40.4
106,"Copeland, Brandon",NEP,LB,28.3,15.2,1.2,2.6,0.0,0.5,0.0,0.0,40.2
107,"Walker, Mykal",ATL,LB,24.5,25.6,0.2,2.2,0.0,0.0,0.0,0.0,39.6
108,"Ferguson, Jaylon",BAL,LB,25.8,15.6,2.7,0.9,0.0,0.8,0.6,0.0,38.6
109,"Niemann, Ben",KCC,LB,27.6,19.2,0.0,1.0,0.0,0.0,0.0,0.0,38.2
110,"Quinn, Robert",CHI,LB,24.7,10.3,5.6,1.8,0.0,0.6,0.0,0.0,37.8
111,"March, Justin",DAL,LB,27.5,16.6,0.3,0.6,0.3,0.0,0.0,0.0,37.3
112,"Kennard, Devon",ARI,LB,26.3,11.5,3.7,0.0,0.0,0.5,0.5,0.0,36.7
113,"Fackrell, Kyler",NYG,LB,23.3,16.0,1.9,1.6,0.5,0.4,0.0,0.0,36.1
114,"Cashman, Blake",NYJ,LB,25.9,14.2,1.2,1.5,0.0,0.0,0.0,0.0,35.7
115,"Jewell, Josey",DEN,LB,25.2,14.8,1.7,1.2,0.0,0.0,0.0,0.0,35.5
116,"Roberts, Elandon",MIA,LB,22.7,14.9,1.7,1.8,0.0,0.0,0.0,0.0,33.6
117,"Gifford, Luke",DAL,LB,25.5,13.5,0.4,0.4,0.0,0.4,0.0,0.0,33.3
118,"Langi, Harvey",NYJ,LB,20.1,9.7,2.7,3.4,0.9,0.0,0.0,0.0,32.8
119,"White, Kyzir",LAC,LB,19.5,15.0,0.0,2.0,1.0,0.0,0.0,0.0,30.9
120,"Foster, Reuben",WAS,LB,19.7,11.0,2.3,1.6,0.0,1.1,0.6,0.1,30.8
121,"Biegel, Vince",MIA,LB,18.7,19.4,1.8,0.1,0.1,0.0,0.0,0.0,30.6
122,"Eguavoen, Sam",MIA,LB,17.0,18.2,3.5,0.9,0.0,0.0,0.0,0.0,30.5
123,"Walker, Joe",SFO,LB,22.3,10.8,0.0,0.0,0.0,0.8,0.0,0.0,28.5
124,"McMillan, Raekwon",LVR,LB,18.3,18.9,0.0,0.5,0.0,0.0,0.0,0.0,28.2
125,"O'Daniel, Dorian",KCC,LB,18.1,11.2,1.6,2.6,0.0,0.0,0.0,0.0,28.1
126,"Brown, Jatavis",FA,LB,19.8,11.7,0.0,1.4,0.4,0.0,0.0,0.1,27.8
127,"Basham, Tarell",NYJ,LB,15.3,10.4,1.6,4.5,0.6,0.0,0.0,0.0,27.7
128,"Taylor, Davion",PHI,LB,18.3,11.0,0.0,1.4,0.5,0.0,0.0,0.0,26.1
129,"Ejiofor, Duke",HOU,LB,14.7,10.3,2.0,1.4,0.0,0.6,0.6,0.0,24.4
130,"Grugier-Hill, Kamu",MIA,LB,14.6,15.4,1.3,0.0,0.0,0.0,0.0,0.0,23.7
131,"Anzalone, Alex",NOS,LB,18.8,7.7,0.9,0.0,0.0,0.0,0.0,0.0,23.6
132,"Williams, Quincy",JAC,LB,17.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4
133,"Highsmith, Alex",PIT,LB,14.9,13.4,1.4,0.0,0.0,0.0,0.0,0.0,23.0
134,"Thomas, Joe",DAL,LB,16.6,9.0,0.0,0.8,0.0,0.8,0.0,0.0,22.6
135,"Gedeon, Ben",FA,LB,14.0,13.0,0.0,0.4,0.0,0.4,0.4,0.0,21.6
136,"Reed, Malik",DEN,LB,12.7,12.1,1.6,0.9,0.0,0.0,0.0,0.0,21.3
137,"Robertson, Craig",NOS,LB,14.5,5.8,1.3,0.5,0.5,0.0,0.0,0.0,20.1
138,"Reeves-Maybin, Jalen",DET,LB,14.0,7.7,0.0,0.0,0.0,0.8,0.8,0.0,19.4
139,"Carter, Jermaine",CAR,LB,12.7,9.1,1.0,0.0,0.0,0.0,0.0,0.0,18.2
140,"Lee, Marquel",FA,LB,12.2,7.0,0.3,1.2,0.0,0.0,0.0,0.0,17.2
141,"Evans, Jordan",CIN,LB,11.4,8.8,0.0,1.2,0.0,0.0,0.0,0.0,17.0
142,"Crowder, Tae",NYG,LB,9.0,9.2,0.2,1.1,0.0,0.7,0.3,0.0,15.9
