Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
68,"Woods, Xavier",DAL,DB,39.5,17.7,0.0,6.8,1.4,1.0,0.4,0.0,0.0,0.0,59.3
69,"Maye, Marcus",NYJ,DB,45.3,10.3,0.2,4.7,1.0,0.1,0.0,0.2,0.0,0.0,57.6
70,"Vaccaro, Kenny",TEN,DB,38.1,21.7,0.9,4.9,1.3,0.0,0.0,0.0,0.0,0.0,57.3
71,"Wilson, Tavon",IND,DB,43.9,19.5,0.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,57.2
72,"Hooker, Malik",IND,DB,34.7,21.2,0.0,4.1,1.8,0.0,0.0,0.0,0.0,0.0,53.0
73,"Murray, Eric",HOU,DB,37.2,11.6,0.5,5.7,1.3,0.0,0.0,0.0,0.0,0.0,51.8
74,"Edwards, Mike",TBB,DB,32.8,10.1,0.3,5.5,0.0,0.0,0.0,0.0,0.0,0.0,43.6
75,"Marshall, Trey",DEN,DB,30.5,12.8,0.4,4.3,0.0,0.2,0.2,0.0,0.0,0.0,41.9
76,"Long, David",LAR,DB,28.9,11.6,0.0,6.3,0.0,0.4,0.0,0.0,0.0,10.0,41.3
77,"Redmond, Will",GBP,DB,26.6,9.1,0.3,6.7,0.5,0.3,0.3,0.0,8.0,0.0,39.9
78,"Heath, Jeff",LVR,DB,23.1,13.9,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,34.5
79,"Harris, Will",DET,DB,25.6,10.1,0.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,33.5
80,"Redwine, Sheldrick",CLE,DB,22.4,12.2,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,30.1
81,"Parks, Will",PHI,DB,20.8,5.8,0.7,2.5,0.5,0.0,0.0,0.0,0.0,0.0,27.9
82,"Odum, George",IND,DB,21.5,6.4,0.5,0.0,0.0,1.3,1.1,0.0,0.0,0.0,27.5
83,"Sendejo, Andrew",CLE,DB,19.2,6.5,0.5,2.2,1.1,0.0,0.0,0.0,0.0,0.0,27.3
84,"Neal, Siran",BUF,DB,19.3,7.8,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,25.3
85,"Dugger, Kyle",NEP,DB,17.2,11.2,0.2,1.0,0.6,0.0,0.0,0.0,0.0,0.0,25.2
86,"Thomas, Michael",HOU,DB,17.1,8.1,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,23.6
87,"Harris, Marcell",SFO,DB,11.1,11.3,0.0,3.5,0.0,1.6,0.8,0.0,0.0,0.0,22.7
88,"Burgess, Terrell",LAR,DB,17.1,5.1,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,22.3
89,"Blackmon, Julian",IND,DB,16.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6
90,"Adams, Andrew",TBB,DB,14.0,1.5,0.0,1.2,0.4,0.3,0.0,0.0,0.0,0.0,17.2
91,"Farley, Matthias",NYJ,DB,13.1,4.9,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,17.1
92,"Brooks, Terrence",NEP,DB,9.1,7.3,0.0,1.5,1.1,0.0,0.0,0.0,0.0,0.0,16.4
93,"Hill, Delano",SEA,DB,11.2,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1
94,"Wilson, Brandon",CIN,DB,7.5,6.0,0.0,1.0,0.0,1.2,0.0,0.2,0.0,404.0,12.7
95,"Burris, Juston",CAR,DB,7.9,2.5,0.1,2.8,0.3,0.1,0.0,0.0,0.0,0.0,12.7
96,"Everett, Deshazor",WAS,DB,9.2,4.9,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,12.6
