Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
36,"Cole, Keelan",JAC,DET,WR,6.3,0.5,4.1,50.0,0.4,0.1,0.2,0.1,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.4,11.5
37,"Brown, A.J.",TEN,HOU,WR,4.8,0.4,3.3,54.0,0.4,0.1,0.2,0.0,0.0,0.0,0.1,1.0,0.0,0.0,2.0,0.0,0.6,11.4
38,"Hardman, Mecole",KCC,@BUF,WR,5.0,0.2,4.0,46.0,0.4,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,5.0,24.0,0.0,0.3,11.3
39,"Samuel, Deebo",SFO,LAR,WR,6.0,0.6,4.0,50.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.2,0.0,0.0,0.0,0.7,11.1
40,"Pascal, Zach",IND,CIN,WR,5.1,0.8,4.0,55.0,0.2,0.1,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.4,11.1
41,"Gallup, Michael",DAL,ARI,WR,6.0,0.3,4.0,60.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.3,10.9
42,"Claypool, Chase",PIT,CLE,WR,5.5,0.4,3.7,49.0,0.3,0.0,0.0,0.0,0.1,0.0,0.2,2.0,0.0,3.0,1.0,0.1,0.3,10.5
43,"Landry, Jarvis",CLE,@PIT,WR,6.2,0.7,3.7,53.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0,0.0,0.6,10.2
44,"Aiyuk, Brandon",SFO,LAR,WR,5.0,0.7,4.0,40.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,3.0,0.2,2.0,0.0,0.0,0.8,10.1
45,"Higgins, Tee",CIN,@IND,WR,6.9,0.5,4.5,50.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.2,9.9
