Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
79,"Mone, Bryan",SEA,NEP,DL,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2
80,"Givens, Kevin",SFO,@NYJ,DL,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
81,"Cowart, Byron",NEP,@SEA,DL,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
82,"Buggs, Isaiah",PIT,DEN,DL,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
83,"Niles, Scott",CIN,@CLE,DL,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
84,"Mata'afa, Hercules",MIN,@IND,DL,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2
85,"Roy, Bravvion",CAR,@TBB,DL,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
86,"Stallworth, Taylor",IND,MIN,DL,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
87,"Ivie, Joey",TEN,JAC,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"Taylor, Vincent",CLE,CIN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,"Peko, Kyle",DEN,@PIT,DL,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"Walton, Leterrius",PIT,DEN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

