Player,Team,Rec,Rec Yds,Rec Tds,FL,FPts
Levine Toilolo,ATL,13,150,1.1,0.2,21.6
Logan Paulsen,SF,4,26,0.2,0.2,3.8
Logan Thomas,BUF,3,31,0.3,0,4.9
Luke Stocker,TB,6,31,0.2,0.1,4.3
Luke Willson,SEA,15,160,1.4,0.2,24.4
Marcedes Lewis,JAC,29,261,1.9,0.4,37.5
MarQueis Gray,MIA,24,256,1.4,0.3,34
Martellus Bennett,GB,69,686,6.1,0.3,105.8
Mason Schreck,CIN,4,41,0.3,0,5.9
Maxx Williams,BAL,22,180,0.9,0.2,23.4
Michael Hoomanawanui,NO,8,50,1.5,0.5,14
Michael Roberts,DET,4,41,0.3,0,5.9
Mychal Rivera,JAC,30,282,1.9,0.4,39.6
MyCole Pruitt,CHI,6,52,0.1,0.1,5.8
Neal Sterling,JAC,8,73,0.1,0.1,7.9
Nick Boyle,BAL,18,144,0.7,0.2,18.6
Nick O'Leary,BUF,4,55,0,0.1,5.5
Nick Vannett,SEA,5,47,0.3,0,6.5
Niles Paul,WAS,3,38,0.2,0.1,5
O.J. Howard,TB,43,440,3.1,0.5,62.6
Phillip Supernaw,TEN,2,30,0,0.2,3
Randall Telfer,CLE,4,30,0.2,0.1,4.2
Rhett Ellison,NYG,5,46,0.2,0.1,5.8
Richard Rodgers,GB,12,102,1,0.1,16.2
Rob Gronkowski,NE,78,1087.,8.5,0.3,159.7
Ross Travis,KC,4,36,0.2,0.1,4.8
Ryan Griffin,HOU,46,408,2.1,1.1,53.4
Ryan Hewitt,CIN,3,28,0,0.1,2.8
Sean McGrath,LAC,2,24,0.1,0.1,3
Seth DeValve,CLE,30,273,3.4,0.3,47.7
Stephen Anderson,HOU,28,240,1.9,0.3,35.4
Temarrick Hemingway,LAR,3,28,0.2,0,4
Travis Kelce,KC,76,991,3.9,0.7,122.5
Trey Burton,PHI,35,306,1.9,0.3,42
Troy Niklas,ARI,3,23,0.9,0.1,7.7
Tyler Eifert,CIN,56.5,659,5.3,0.3,97.7
Tyler Higbee,LAR,19,183,2.6,0.3,33.9
Tyler Kroft,CIN,4,44,0.1,0.1,5
Vance McDonald,SF,31,415,3.9,0.4,64.9
Vernon Davis,WAS,34,454,1.3,0.4,53.2
Virgil Green,DEN,29,346,1.9,0.4,46
Will Tye,NYG,13,120,0.3,0.1,13.8
Xavier Grimble,PIT,28,276,1.7,0.2,37.8
Zach Ertz,PHI,78,785,4.5,0.4,105.5
Zach Miller,CHI,40,419,4.2,0.4,67.1
