"Player","Team","Rec","Rec Yds","Rec Tds","Rush Att","Rush Yds","Rush Tds","FL","FPts"
"Mike Williams","LAC",66.2,943.5,5.9,"","","",0.,132.8
"Miles Boykin","BAL",14.8,176.2,1.,"","",0.,0.,24.7
"Mohamed Sanu","ATL",71.5,878.5,4.7,"","",0.,0.,120.6
"Nelson Agholor","PHI",25.1,376.7,2.4,"","","",0.,53.2
"N'Keal Harry","NE",17.4,195.9,1.3,"","",0.,0.,29.4
"Noah Brown","DAL",5.3,75.7,0.4,0.,0.,0.,0.,9.9
"Odell Beckham Jr.","CLE",84.3,1115.9,8.,"","",0.,0.,161.7
"Parris Campbell","IND",38.4,516.5,3.,"","",0.,0.,71.7
"Paul Richardson","WAS",43.2,635.4,3.85,2.,"",0.,0.,87.8
"Phillip Dorsett","NE","","","","","",0.,0.,""
"Preston Williams","MIA",11.4,136.8,0.8,0.,0.,0.,0.,19.1
"Quincy Enunwa","NYJ",45.5,531.2,2.4,1.,"",0.,0.,67.7
"Randall Cobb","DAL",50.2,579.,3.5,"","",0.,0.,80.8
"Rashard Higgins","CLE",34.9,530.1,3.35,"","",0.,0.,75.2
"Richie James","SF",0.7,8.4,0.,0.,0.,0.,0.,1.1
"Robby Anderson","NYJ",62.,859.2,6.4,"","",0.,0.,126.1
"Robert Foster","BUF",38.3,571.5,4.25,0.,0.,0.,0.,84.
"Robert Woods","LAR",78.6,998.4,5.3,"","","",0.1,144.7
"Russell Gage","ATL",12.8,159.3,0.9,0.,0.,0.,0.,21.6
"Russell Shepard","NYG",3.9,57.2,0.4,"","",0.,0.,8.
"Ryan Grant","OAK",15.,160.6,0.9,0.,0.,0.,0.,21.4
"Ryan Switzer","PIT",20.,227.6,1.2,"","","",0.,33.7
"Sammy Watkins","KC",71.8,989.9,5.8,"","",0.,0.,136.3
"Seth Roberts","BAL",33.2,427.5,2.5,"","",0.,0.,60.
"Stefon Diggs","MIN",87.5,1018.2,7.4,"","",0.,0.,152.4
"Sterling Shepard","NYG",60.,813.1,4.5,"","",0.,0.,110.
"Tajae Sharpe","TEN",12.1,167.7,0.8,"","",0.,0.,21.6
"Tavon Austin","DAL",11.5,142.9,0.7,"","",0.,0.,28.4
"Taylor Gabriel","CHI",58.9,679.9,3.1,"","",0.,0.1,93.5
"Taywan Taylor","CLE",40.6,482.6,2.5,"","",0.,0.,64.7
"Ted Ginn","NO",55.9,866.7,4.3,"","","",0.,122.1
"Terry McLaurin","WAS",47.7,591.2,3.4,0.,0.,0.,0.,80.8
"Tim Patrick","DEN",20.8,319.8,1.8,"","",0.,0.,44.7
"Travis Benjamin","LAC",17.5,248.3,1.3,"","",0.,0.,38.5
"Tre'Quan Smith","NO",32.8,420.3,2.7,"","",0.,0.,60.2
"Trevor Davis","GB",1.7,40.2,0.1,0.,"",0.,0.,6.7
"Trey Quinn","WAS",13.1,167.8,1.,"","",0.,0.,24.3
"T.Y. Hilton","IND",76.2,1099.8,6.8,"","",0.,0.,152.4
"Tyler Boyd","CIN",82.8,1080.5,7.,"","",0.,0.,152.7
"Tyler Lockett","SEA",61.2,1310.9,8.2,"","","",0.1,193.
"Tyreek Hill","KC",76.8,1218.9,7.5,"","","",0.,181.7
"Tyrell Williams","OAK",44.9,646.1,3.2,"","",0.,0.,84.7
"Vyncint Smith","HOU",11.9,161.1,1.,0.,0.,0.,0.,22.1
"Will Fuller","HOU",62.,887.3,6.4,"","",0.,0.,128.3
"Willie Snead","BAL",46.6,540.1,2.6,1.,"",0.,0.,70.5
"Zach Pascal","IND",11.8,163.7,0.6,"","",0.,0.,22.4
"Zay Jones","BUF",50.4,749.4,5.4,"","",0.,0.,108.
"Artavis Scott","LAC",9.2,123.5,0.7,0.,0.,0.,0.,16.9
"Cam Sims","WAS",39.1,483.9,2.7,0.,0.,0.,0.,65.6
"Deonte Harris","NO",0.5,7.1,0.,0.,0.,0.,0.,1.
"John Ursua","SEA",1.,13.7,0.1,0.,0.,0.,0.,1.9
