"Rank","Player","Team","Opp","Position","Rush","Rush Yds","Rush TDs","0-9 RushTDs","10-19 RushTDs","20-29 RushTDs","30-39 RushTDs","40-49 RushTDs","50+ RushTDs","Tgt","RZTgt","Rec","Rec Yds","Rec TDs",">= 50yds",">= 100yds","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
63,"Juszczyk, Kyle","SFO","SEA","RB",0.4,1.,0.,0.,0.,0.,0.,0.,0.,2.6,0.5,1.9,19.,0.,0.1,0.,0.,0.,0.1,0.3,2.1
64,"Washington, DeAndre","OAK","LAC","RB",3.4,13.,0.,0.,0.,0.,0.,0.,0.,1.2,0.1,0.8,5.,0.,0.,0.,1.,4.,0.1,0.3,2.
65,"Cannon, Trenton","NYJ","NYG","RB",2.6,8.,0.1,0.1,0.,0.,0.,0.,0.,1.4,0.1,0.9,7.,0.,0.,0.,0.,1.,0.,0.1,1.9
66,"Hill, Justice","BAL","@CIN","RB",2.4,12.,0.,0.,0.,0.,0.,0.,0.,1.1,0.2,0.6,4.,0.,0.,0.,1.,7.,0.1,0.2,1.6
67,"Prosise, C.J.","SEA","@SFO","RB",3.1,9.,0.,0.,0.,0.,0.,0.,0.,1.1,0.1,0.6,4.,0.,0.,0.,0.,1.,0.,0.3,1.3
68,"Mostert, Raheem","SFO","SEA","RB",2.1,11.,0.,0.,0.,0.,0.,0.,0.,0.6,0.1,0.5,3.,0.,0.,0.,0.,3.,0.1,0.1,1.3
69,"Johnson, Ty","DET","@CHI","RB",3.5,9.,0.,0.,0.,0.,0.,0.,0.,0.9,0.1,0.6,3.,0.,0.,0.,0.,5.,0.1,0.2,1.1
70,"Perkins, Paul","NYG","@NYJ","RB",3.,8.,0.,0.,0.,0.,0.,0.,0.,1.1,0.2,0.6,3.,0.,0.,0.,0.,2.,0.,0.2,1.1
71,"Hill, Brian","ATL","@NOS","RB",1.6,10.,0.,0.,0.,0.,0.,0.,0.,0.3,0.1,0.2,2.,0.,0.,0.,0.,1.,0.1,0.1,1.
72,"Washington, Dwayne","NOS","ATL","RB",1.5,8.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.1,1.
73,"Line, Zach","NOS","ATL","RB",0.6,3.,0.,0.,0.,0.,0.,0.,0.,0.5,0.3,0.2,0.,0.1,0.,0.,0.,1.,0.,0.2,0.9
74,"Williams, Darrel","KCC","@TEN","RB",0.9,3.,0.1,0.1,0.,0.,0.,0.,0.,0.1,0.,0.1,1.,0.,0.,0.,0.,6.,0.,0.1,0.8
75,"Foster, D.J.","ARZ","@TBB","RB",0.6,2.,0.,0.,0.,0.,0.,0.,0.,0.9,0.1,0.6,5.,0.,0.,0.,0.,6.,0.,0.1,0.8
76,"Ogunbowale, Dare","TBB","ARZ","RB",1.6,5.,0.,0.,0.,0.,0.,0.,0.,0.6,0.2,0.4,2.,0.,0.,0.,0.,24.,0.,0.1,0.7
77,"Scarlett, Jordan","CAR","@GBP","RB",2.,6.,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.1,1.,0.,0.,0.,0.,6.,0.,0.2,0.6
78,"Armah, Alexander","CAR","@GBP","RB",0.5,1.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.6
79,"Williams, Dexter","GBP","CAR","RB",1.5,5.,0.,0.,0.,0.,0.,0.,0.,0.5,0.1,0.2,1.,0.,0.,0.,0.,8.,0.,0.1,0.5
80,"Walton, Mark","MIA","@IND","RB",0.4,1.,0.,0.,0.,0.,0.,0.,0.,0.5,0.1,0.4,1.,0.1,0.,0.,0.,1.,0.1,0.1,0.5
81,"Abdullah, Ameer","MIN","@DAL","RB",1.,2.,0.,0.,0.,0.,0.,0.,0.,0.7,0.1,0.5,4.,0.,0.,0.,0.,27.,0.,0.,0.5
82,"Johnson, D'Ernest","CLE","BUF","RB",0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.6,0.,0.4,4.,0.,0.,0.,0.,16.,0.,0.,0.4
83,"Williams, Trayveon","CIN","BAL","RB",0.9,3.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.1,1.,0.,0.,0.,0.,0.,0.,0.,0.4
84,"Penny, Elijhaa","NYG","@NYJ","RB",0.4,1.,0.,0.,0.,0.,0.,0.,0.,0.5,0.1,0.5,3.,0.,0.,0.,0.,-0.2,0.,0.,0.4
85,"Boone, Mike","MIN","@DAL","RB",0.7,3.,0.,0.,0.,0.,0.,0.,0.,0.4,0.1,0.2,0.,0.,0.,0.,0.,7.,0.,0.1,0.3
86,"Ham, C.J.","MIN","@DAL","RB",0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.7,0.,0.4,3.,0.,0.,0.,0.,0.,0.,0.1,0.3
87,"Barner, Kenjon","ATL","@NOS","RB",0.4,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,1.,8.,0.,0.,0.2
88,"Ingold, Alec","OAK","LAC","RB",0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.3,0.,0.1,0.,0.,0.,0.,1.,1.,0.,0.,0.1
