Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
146,"Mayo, David",CAR,@TBB,LB,0.5,0.5,0.,0.,0.,0.,0.,0.,0.8
147,"Vander Esch, Leighton",DAL,NOR,LB,0.6,0.3,0.,0.,0.,0.,0.,0.,0.8
148,"Barwin, Connor",NYG,CHI,LB,0.6,0.2,0.1,0.,0.,0.,0.,0.,0.8
149,"Glanton, Adarius",TBB,CAR,LB,0.6,0.3,0.,0.,0.,0.,0.,0.,0.8
150,"Bowser, Tyus",BAL,@ATL,LB,0.3,0.2,0.1,0.1,0.,0.,0.,0.,0.8
151,"Lynch, Aaron",CHI,@NYG,LB,0.5,0.2,0.1,0.1,0.,0.,0.,0.,0.7
152,"Brown, Blair",JAC,IND,LB,0.6,0.2,0.,0.,0.,0.,0.,0.,0.7
153,"Anzalone, Alex",NOR,@DAL,LB,0.4,0.1,0.1,0.1,0.,0.,0.,0.,0.6
154,"Warner, Fred",SFO,@SEA,LB,0.4,0.3,0.,0.,0.,0.,0.,0.,0.5
155,"Nwosu, Uchenna",LAC,@PIT,LB,0.3,0.1,0.,0.,0.,0.,0.,0.,0.5
156,"Shazier, Ryan",PIT,LAC,LB,0.3,0.1,0.,0.,0.,0.,0.,0.,0.5
157,"Brothers, Kentrell",MIN,@NEP,LB,0.2,0.2,0.,0.,0.,0.,0.,0.,0.3
158,"Walker, Joe",PHI,WAS,LB,0.1,0.2,0.,0.1,0.,0.,0.,0.,0.3
159,"Watts, Brandon",MIA,BUF,LB,0.2,0.1,0.,0.,0.,0.,0.,0.,0.2
160,"Watson, Dekoda",SFO,@SEA,LB,0.2,0.1,0.,0.,0.,0.,0.,0.,0.2
161,"Griffin, Shaquem",SEA,SFO,LB,0.2,0.,0.,0.,0.,0.,0.,0.,0.2
162,"Lynch, Cameron",TBB,CAR,LB,0.1,0.,0.,0.,0.,0.,0.,0.,0.2
163,"Thomas, Joe",DAL,NOR,LB,0.1,0.1,0.,0.,0.,0.,0.,0.,0.2
164,"Jefferson, Malik",CIN,DEN,LB,0.1,0.1,0.,0.,0.,0.,0.,0.,0.1
165,"Gerry, Nate",PHI,WAS,LB,0.,0.,0.,0.,0.,0.,0.,0.,0.
166,"Reynolds, LaRoy",PHI,WAS,LB,0.,0.,0.,0.,0.,0.,0.,0.,0.
