Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
59,"Doctson, Josh",WAS,@PHI,WR,5.2,1.,2.4,34.9,0.3,0.1,0.2,0.,0.,0.,0.,-0.5,0.,1.,0.,0.,0.7,5.3
60,"Meredith, Cameron",NOR,@DAL,WR,2.1,0.3,1.2,50.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.3,1.4,0.,0.3,5.3
61,"Nelson, J.J.",ARZ,@GBP,WR,4.5,0.4,1.9,34.5,0.2,0.1,0.1,0.,0.,0.1,0.,1.3,0.,0.1,0.,0.,0.5,5.
62,"Wallace, Mike",PHI,WAS,WR,6.,0.8,3.2,40.9,0.2,0.1,0.,0.,0.,0.,0.,0.1,0.,0.,0.,0.1,0.5,4.9
63,"Kearse, Jermaine",NYJ,@TEN,WR,5.,0.4,3.,35.4,0.2,0.,0.1,0.1,0.1,0.,0.,0.,0.,1.4,0.,0.,0.5,4.9
64,"Hurns, Allen",DAL,NOR,WR,5.5,0.6,3.3,38.2,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,1.6,0.8,0.1,0.4,4.8
65,"Cobb, Randall",GBP,ARZ,WR,5.1,0.5,3.4,34.8,0.2,0.,0.1,0.,0.1,0.,0.,0.4,0.,0.,0.,0.,0.5,4.8
66,"Enunwa, Quincy",NYJ,@TEN,WR,5.1,0.5,2.6,38.8,0.1,0.,0.,0.1,0.,0.,0.,0.5,0.,0.7,0.,0.,0.5,4.7
67,"Benjamin, Kelvin",BUF,@MIA,WR,4.1,0.6,2.4,33.8,0.2,0.1,0.,0.1,0.,0.,0.,0.,0.,0.4,0.2,0.,0.6,4.6
68,"Ross, John",CIN,DEN,WR,5.4,0.6,3.,37.7,0.2,0.1,0.,0.1,0.,0.,0.,0.,0.,1.3,1.4,0.1,0.4,4.6
69,"Matthews, Rishard",TEN,NYJ,WR,4.6,0.4,2.7,37.3,0.1,0.,0.,0.,0.,0.,0.1,-0.1,0.,0.,0.,0.,0.4,4.6
70,"Ridley, Calvin",ATL,BAL,WR,4.9,0.6,3.3,37.2,0.1,0.1,0.,0.,0.,0.,0.,2.4,0.,0.,0.4,0.,0.4,4.5
71,"Goodwin, Marquise",SFO,@SEA,WR,4.3,0.6,2.,35.9,0.1,0.,0.,0.,0.,0.,0.1,0.9,0.,0.1,0.,0.,0.4,4.2
72,"Godwin, Chris",TBB,CAR,WR,4.2,0.5,2.4,38.,0.1,0.,0.,0.,0.1,0.,0.,0.,0.,0.4,0.,0.,0.5,4.1
73,"Allison, Geronimo",GBP,ARZ,WR,5.5,0.6,3.2,33.,0.1,0.,0.1,0.,0.,0.,0.,1.9,0.,0.,1.1,0.1,0.4,4.1
74,"Brown, John",BAL,@ATL,WR,5.2,0.5,2.3,27.6,0.2,0.1,0.1,0.,0.,0.,0.,0.5,0.,0.,10.6,0.,0.3,4.
75,"Moore, D.J.",CAR,@TBB,WR,3.3,0.7,1.2,38.5,0.,0.,0.,0.,0.,0.,0.,0.6,0.,0.8,34.5,0.,0.4,3.8
76,"Westbrook, Dede",JAC,IND,WR,5.8,0.3,2.6,35.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.5,2.2,0.,0.3,3.8
77,"Amendola, Danny",MIA,BUF,WR,5.6,0.7,3.2,34.9,0.1,0.,0.,0.,0.,0.,0.,0.3,0.,11.1,2.7,0.,0.3,3.8
