Player,Team,Rec,Rec Yds,Rec Tds,Rush Att,Rush Yds,Rush Tds,FL,FPts
Julio Jones,ATL,92,1407,6.6,,6,,,180.9
Justin Hardy,ATL,15,168,1.2,,0,,,24
Justin Hunter,PIT,5,55,0.3,,0,,,7.3
Justin Watson,TB,5,56,0.3,,3,,,7.7
Kaelin Clay,NYG,3,38,0.1,,1,,,4.5
Keelan Cole,JAC,56,810,5.1,,0,,,111.6
Keenan Allen,LAC,98,1229,6.7,,4,,,163.5
Keke Coutee,HOU,23,281,1.9,,0,,,39.5
Kelvin Benjamin,BUF,56,771,4.2,,1,,,102.4
Kendrick Bourne,SF,9,120,0.4,,0,,,14.4
Kenny Golladay,DET,50,718,4.6,,5,,,99.9
Kenny Stills,MIA,53,777,5.1,,0,,,108.3
Kevin White,CHI,15,186,1.1,,1,,,25.3
Laquon Treadwell,MIN,35,433,2.4,,0,,,57.7
Larry Fitzgerald,ARI,89,907,4.7,,0,,,118.9
Mack Hollins,PHI,18,248,1.6,,1,,,34.5
Marcell Ateman,OAK,0,0,0,,8,,,0.8
Marcus Johnson,IND,,,,,,,,
Marquez Valdes-Scantling,GB,8,98,0.6,,0,,,13.4
Marquise Goodwin,SF,57,878,4.3,,20,,,115.6
Marvin Hall,ATL,3,41,0.2,,0,,,5.3
Marvin Jones,DET,59,933,6.1,,2,,,130.1
Matt Slater,NE,3,36,0.2,,1,,,4.9
Maurice Harris,WAS,5,58,0.2,,0,,,7
Michael Campanaro,TEN,3,37,0.1,,2,,,4.5
Michael Crabtree,BAL,69,766,5.9,,0,,,112
Michael Gallup,DAL,44,574,3.6,,5,,,79.5
Michael Thomas,NO,98,1229,7.2,,1,,,166.2
Mike Evans,TB,78,1092,6.2,,0,,,146.4
Mike Thomas,LAR,3,38,0.2,,0,,,5
Mike Wallace,PHI,42,592,4,,6,,,83.8
Mike Williams,LAC,41,531,4.5,,0,,,80.1
Mohamed Sanu,ATL,56,619,4.1,,16,,,88.1
Nelson Agholor,PHI,62,750,5.5,,15,,,109.5
Odell Beckham Jr.,NYG,92,1231,8.7,,23,,,177.6
Paul Richardson,WAS,48,683,3.7,,11,,,91.6
Pharoh Cooper,LAR,6,69,0.2,,3,,,8.4
Phillip Dorsett,NE,39,644,2.6,,2,,,80.8
Pierre Garcon,SF,66,832,4,,0,,,107.2
Quincy Enunwa,NYJ,38,501,2.6,,0,,,65.7
Randall Cobb,GB,63,689,4.7,,37,,,101.4
Rashad Greene,JAC,5,52,0.3,,0,,,7
Rashard Higgins,CLE,14,162,0.9,,0,,,21.6
Ray-Ray McCloud,BUF,15,198,0.9,,0,,,25.2
Richie James,SF,6,73,0.3,,1,,,9.2
Rishard Matthews,TEN,48,681,3.8,,1,,,91
Robby Anderson,NYJ,59,835,5.1,,15,,,115.6
Robert Woods,LAR,62,809,4.9,,5,,,110.8
Russell Gage,ATL,2,19,0.1,,0,,,2.5
Russell Shepard,NYG,2,20,0.1,,0,,,2.6
Ryan Grant,IND,38,469,3.6,,0,,,64.9
Ryan Switzer,PIT,5,60,0.3,,4,,,8.2
Sammie Coates,HOU,8,101,0.4,,0,,,12.5
Sammy Watkins,KC,57,838,5.6,,2,,,117.6
Seth Roberts,OAK,30,326,2.9,,0,,,50
Shelton Gibson,PHI,2,18,0.2,,0,,,2.4
Stefon Diggs,MIN,75,994,6.8,,24,,,142.6
Sterling Shepard,NYG,63,743,4.3,,7,,,100.8
Tajae Sharpe,TEN,6,80,0.3,,0,,,9.8
Tanner McEvoy,MIA,3,42,0.2,,0,,,5.4
Taylor Gabriel,CHI,27,356,2.1,,10,,,49.2
Taywan Taylor,TEN,44,600,3.2,,25,,,82.3
Ted Ginn,NO,44,637,3.8,,35,,,90
Terrance Williams,DAL,42,520,2.9,,3,,,69.7
Terrelle Pryor,NYJ,33,435,2.1,,1,,,56.2
TJ Jones,DET,17,209,1.1,,0,,,27.5
Tommylee Lewis,NO,5,63,0.35,,5,,,9.2
Torrey Smith,CAR,20,271,1.9,,2,,,38.7
Travis Benjamin,LAC,32,482,3.1,,51,,,72.5
Trent Taylor,SF,29,338,1.8,,1,,,44.7
Tre'Quan Smith,NO,32,417,2.8,,0,,,58.5
Trevor Davis,GB,2,20,0.1,,7,,,3.3
Trey Quinn,WAS,5,59,0.2,,0,,,7.1
T.Y. Hilton,IND,71,1075,6.3,,3,,,145.6
Tyler Boyd,CIN,21,235,1.3,,1,,,31.4
Tyler Lockett,SEA,50,663,3.8,,52,,,94.9
Tyreek Hill,KC,71,966,6,,101,,,146.3
Tyrell Williams,LAC,41,642,4.1,,0,,,88.8
Will Fuller,HOU,53,772,5.6,,6,,,111.4
Willie Snead,BAL,38,439,2,,5,,,56.4
Zach Pascal,IND,2,19,0.1,,0,,,2.5
Zay Jones,BUF,38,467,2.8,,9,,,65
