"Rank","Player","Team","Opp","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
131,"Kumerow, Jake","GBP","WAS","WR",1.6,0.1,1.,9.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.,6.,0.,0.1,1.
132,"Meyers, Jakobi","NEP","KCC","WR",0.9,0.1,0.6,7.,0.,0.,0.,0.,0.,0.,0.,2.,0.,1.,3.,0.,0.2,0.9
133,"Turner, Malik","SEA","@LAR","WR",1.4,0.2,0.6,6.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,1.,0.,0.2,0.8
134,"Hurd, Jalen","SFO","@NOS","WR",1.5,0.1,0.7,7.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,3.,0.,0.,0.1,0.7
135,"Campbell, Parris","IND","@TBB","WR",1.9,0.3,0.9,7.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.,17.,0.,0.2,0.7
136,"Arcega-Whiteside, JJ","PHI","NYG","WR",1.5,0.2,0.8,7.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.,6.,0.,0.1,0.7
137,"Thomas, De'Anthony","KCC","@NEP","WR",0.7,0.,0.5,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.,7.,0.,0.,0.7
138,"Johnson, Olabisi","MIN","DET","WR",1.5,0.1,0.6,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.6
139,"Scott, Jaleel","BAL","@BUF","WR",1.6,0.1,0.6,5.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,5.,0.,0.1,0.6
140,"Jennings, Darius","TEN","@OAK","WR",0.8,0.,0.5,6.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,43.,0.,0.,0.6
141,"Fulgham, Travis","DET","@MIN","WR",1.3,0.1,0.5,5.,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.,3.,0.,0.1,0.5
142,"Harmon, Kelvin","WAS","@GBP","WR",1.8,0.3,0.6,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,0.4
143,"Ratley, Damion","CLE","CIN","WR",0.8,0.,0.4,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4
144,"Tate, Auden","CIN","@CLE","WR",1.3,0.3,0.4,4.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.1,0.4
