"Rank","Player","Team","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
103,"Gedeon, Ben","MIN","LB",23.1,23.8,0.,0.8,0.,0.7,0.,0.,36.5
104,"Kendricks, Mychal","SEA","LB",25.6,11.,2.6,0.7,0.,1.3,0.8,0.,36.5
105,"Barron, Mark","PIT","LB",28.3,11.9,1.2,0.9,0.,0.3,0.,0.,36.5
106,"Wake, Cameron","TEN","LB",21.9,14.4,3.8,2.,0.,0.5,0.,0.,35.4
107,"Carter, Lorenzo","NYG","LB",23.8,9.5,3.8,2.4,0.,0.3,0.,0.,34.9
108,"Greenlaw, Dre","SFO","LB",28.3,7.2,1.7,0.,0.,1.1,0.,0.,34.8
109,"Crawford, James","GBP","LB",24.6,11.5,0.8,3.5,0.,0.,0.,0.,34.7
110,"Grugier-Hill, Kamu","PHI","LB",24.3,10.8,0.,2.,1.1,0.,0.,0.,33.8
111,"Copeland, Brandon","NYJ","LB",21.5,10.5,4.2,2.6,0.,0.,0.,0.,33.6
112,"Ebukam, Samson","LAR","LB",22.3,9.4,1.6,1.,0.3,2.1,0.8,0.1,33.1
113,"Bowser, Tyus","BAL","LB",20.4,8.1,4.1,3.1,0.,0.6,0.,0.,32.2
114,"Adams, Matthew","IND","LB",25.9,10.4,0.5,0.5,0.,0.,0.,0.,32.1
115,"Jenkins, Jordan","NYJ","LB",20.4,8.8,4.2,0.5,0.,1.,1.,0.,31.5
116,"Kwiatkoski, Nick","CHI","LB",23.8,7.2,0.8,2.,0.,0.8,0.,0.,31.
117,"Taylor, Adarius","CLE","LB",20.8,10.3,0.5,2.8,0.1,0.5,0.,0.,30.
118,"Calitro, Austin","SEA","LB",23.5,8.8,0.4,0.8,0.,0.,0.,0.,29.2
119,"Barrett, Shaq","TBB","LB",21.1,6.5,2.5,1.5,0.,0.,0.,0.,28.4
120,"Wilson, Damien","KCC","LB",21.4,13.8,0.,0.,0.,0.,0.,0.,28.3
121,"Cole, Dylan","HOU","LB",18.6,11.5,0.7,2.9,0.,0.,0.,0.,27.9
122,"Jacobs, Leon","JAC","LB",22.2,7.7,0.5,0.5,0.,0.4,0.,0.,27.4
123,"Jones, Joseph","DEN","LB",15.3,17.4,1.7,0.5,0.,0.,0.,0.,26.2
124,"Board, Chris","BAL","LB",15.6,11.6,3.4,0.8,0.,0.2,0.2,0.,26.
125,"Nwosu, Uchenna","LAC","LB",15.4,5.5,4.,1.1,0.,0.2,0.,0.,23.5
126,"March, Justin","DAL","LB",15.6,10.4,0.1,1.7,0.3,0.2,0.,0.,23.5
127,"Wilson, Eric","MIN","LB",17.3,7.1,1.3,0.3,0.,0.7,0.,0.,23.2
128,"Suggs, Terrell","ARZ","LB",12.5,5.7,3.2,4.4,0.,0.,0.,0.2,22.9
129,"Anderson, Ryan","WAS","LB",12.1,11.7,3.,0.7,0.,0.,0.,0.,21.6
130,"Tavai, Jahlani","DET","LB",13.8,10.1,0.6,1.8,0.,0.,0.,0.,21.2
131,"Kalambayi, Peter","HOU","LB",12.6,13.6,0.4,0.9,0.,0.,0.,0.,20.7
132,"Bucannon, Deone","TBB","LB",15.5,5.7,1.,0.,0.,0.5,0.2,0.,20.
