"Rank","Player","Team","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
194,"Fox, Morgan","LAR","DL",8.2,1.9,0.2,0.,0.,0.,0.,0.,9.5
195,"Green, Rasheem","SEA","DL",8.4,0.3,0.3,0.,0.,0.,0.,0.,9.1
196,"Kpassagnon, Tanoh","KCC","DL",6.5,0.8,0.8,0.,0.,0.,0.,0.,8.6
197,"Brantley, Caleb","WAS","DL",5.6,5.6,0.,0.,0.,0.,0.,0.,8.4
198,"Jones, Dre'Mont","DEN","DL",5.5,4.5,0.,0.,0.,0.,0.,0.,7.7
199,"Tupou, Josh","CIN","DL",5.4,4.5,0.,0.,0.,0.,0.,0.,7.7
200,"Johnson, Jaleel","MIN","DL",3.6,5.3,0.1,0.,0.,1.,0.,0.,7.4
201,"Nunez-Roches, Rakeem","TBB","DL",4.6,5.2,0.,0.,0.,0.,0.,0.,7.2
202,"Taylor, Jullian","SFO","DL",4.4,3.9,0.,0.,0.,0.,0.,0.,6.3
203,"Edwards, Mario","NOS","DL",4.,0.4,0.8,0.,0.,0.5,0.,0.,6.3
204,"Mack, Daylon","BAL","DL",3.,4.5,0.,0.5,0.,0.,0.,0.,5.7
205,"Davison, Tyeler","ATL","DL",2.,4.2,0.3,0.2,0.,0.,0.,0.,4.9
206,"Simmons, Jeffery","TEN","DL",3.3,2.9,0.,0.,0.,0.,0.,0.,4.8
207,"Ward, Jihad","IND","DL",1.6,0.,1.5,0.,0.,0.,0.,0.,4.5
208,"Omenihu, Charles","HOU","DL",2.7,1.3,0.,0.,0.,0.,0.,0.,3.3
209,"Holmes, Jalyn","MIN","DL",2.2,0.,0.4,0.,0.,0.,0.,0.,3.1
210,"Woods, Al","SEA","DL",1.3,2.7,0.,0.2,0.,0.,0.,0.,2.9
211,"Niles, Scott","CIN","DL",2.6,0.,0.,0.,0.,0.,0.,0.,2.6
212,"Settle, Tim","WAS","DL",1.8,1.,0.,0.,0.,0.,0.,0.,2.3
213,"McCullers, Daniel","PIT","DL",0.7,1.2,0.2,0.,0.,0.,0.,0.,1.7
214,"Covington, Christian","DAL","DL",0.7,0.8,0.2,0.,0.,0.,0.,0.,1.5
215,"Rivers, Derek","NEP","DL",0.4,0.,0.4,0.,0.,0.,0.,0.,1.3
216,"Smoot, Dawuane","JAC","DL",1.2,0.3,0.,0.,0.,0.,0.,0.,1.3
217,"Attaochu, Jeremiah","KCC","DL",0.5,0.1,0.1,0.,0.,0.1,0.,0.,1.
218,"Liuget, Corey","OAK","DL",0.6,0.2,0.,0.,0.,0.,0.,0.,0.7
219,"Calhoun, Shilique","NEP","DL",0.3,0.2,0.,0.,0.,0.,0.,0.,0.4
220,"Hyder, Kerry","DAL","DL",0.2,0.,0.,0.,0.,0.,0.,0.,0.3
221,"Keke, Kingsley","GBP","DL",0.1,0.1,0.,0.,0.,0.,0.,0.,0.1
222,"Ridgeway, Hassan","PHI","DL",0.1,0.1,0.,0.,0.,0.,0.,0.,0.1
223,"Haynes, Marquis","CAR","DL",0.,0.1,0.,0.,0.,0.,0.,0.,0.
"","","","","","","","","","","","",""
