"Rank","Player","Team","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Punt Ret Yds","Kick Ret Yds","Pts"
83,"Douglas, Rasul","PHI","DB",56.1,7.9,0.,4.5,2.4,0.,0.,0.,0.,0.,69.4
84,"Trufant, Desmond","ATL","DB",52.7,10.6,0.6,10.,0.3,0.,0.,0.,0.,0.,69.1
85,"Conley, Gareon","OAK","DB",33.5,20.6,0.,16.3,4.2,0.2,0.2,0.2,0.,0.,69.
86,"White, Tre'Davious","BUF","DB",45.1,13.4,0.,10.5,2.9,0.4,0.4,0.2,0.,0.,68.9
87,"Ryan, Logan","TEN","DB",48.1,16.6,2.3,9.5,0.3,0.,0.,0.,7.,0.,68.7
88,"Weddle, Eric","LAR","DB",55.7,14.9,0.6,4.4,0.3,0.,0.,0.,10.,0.,68.7
89,"Harris, Anthony","MIN","DB",51.5,13.2,0.6,6.3,1.5,0.,0.,0.,0.,0.,68.1
90,"Callahan, Bryce","DEN","DB",50.6,11.2,1.,6.7,1.6,0.8,0.,0.,1.,0.,67.8
91,"Jackson, Adoree","TEN","DB",51.9,7.4,0.,9.7,0.8,0.8,0.,0.,161.,214.,67.6
92,"Edmunds, Terrell","PIT","DB",50.2,21.7,0.7,4.1,0.8,0.,0.,0.,0.,0.,67.4
93,"Killebrew, Miles","DET","DB",51.4,8.6,0.4,7.6,0.7,1.3,0.7,0.2,3.,0.,67.2
94,"Peters, Marcus","LAR","DB",48.3,13.,0.,8.3,1.5,0.6,0.4,0.,0.,0.,67.1
95,"Mitchell, Terrance","CLE","DB",47.9,4.,0.,8.8,2.1,2.6,1.3,0.,0.,0.,66.8
96,"Bouye, A.J.","JAC","DB",56.2,6.1,0.3,5.7,0.8,0.,0.,0.,0.,0.,66.8
97,"Whitehead, Jordan","TBB","DB",56.6,14.5,0.,2.7,0.,0.,0.,0.,0.,0.,66.5
98,"Davis, Carlton","TBB","DB",50.7,10.7,0.,5.8,0.9,1.6,0.9,0.,0.,0.,66.3
99,"Jones, Jonathan","NEP","DB",45.4,11.,1.8,7.4,2.2,1.5,0.,0.2,0.,0.,66.1
100,"Haden, Joe","PIT","DB",44.9,12.3,0.,9.6,1.6,1.3,0.,0.,0.,0.,65.2
101,"McCain, Bobby","MIA","DB",51.7,10.1,2.1,4.9,0.7,0.,0.,0.,0.,0.,65.1
102,"Harris, Chris","DEN","DB",42.1,9.6,0.7,10.9,2.5,1.7,0.,0.2,0.,0.,65.1
103,"Hayward, Casey","LAC","DB",47.4,9.4,0.,10.4,0.5,0.5,0.5,0.,0.,0.,64.5
104,"Norman, Josh","WAS","DB",40.2,19.4,0.,8.3,2.,1.6,0.6,0.,0.,0.,64.4
105,"McLeod, Rodney","PHI","DB",45.4,12.7,0.7,8.3,1.6,0.2,0.2,0.,0.,0.,64.3
106,"Roby, Bradley","HOU","DB",42.8,10.6,0.,11.4,1.7,0.8,0.4,0.,0.,0.,64.
107,"McCourty, Devin","NEP","DB",49.,17.4,0.4,4.5,0.5,0.1,0.1,0.2,0.,6.,63.8
108,"Smith, Jimmy","BAL","DB",43.3,9.,0.,11.3,2.1,0.,0.,0.,0.,0.,63.4
109,"Jefferson, Tony","BAL","DB",47.8,17.,0.6,4.2,0.5,0.5,0.5,0.,4.,0.,63.3
110,"Riley, Curtis","OAK","DB",46.9,9.9,0.,5.,3.,0.,0.,0.2,0.,0.,63.
111,"Williams, P.J.","NOS","DB",45.1,11.,0.8,9.3,0.5,1.3,0.,0.2,0.,0.,62.9
112,"Hilton, Mike","PIT","DB",42.9,11.7,1.,10.8,0.9,0.1,0.1,0.,0.,0.,62.5
113,"Oliver, Isaiah","ATL","DB",44.2,10.7,1.,10.9,0.,0.,0.,0.,0.,0.,61.5
114,"Awuzie, Chidobe","DAL","DB",46.2,10.,0.4,8.4,0.4,0.2,0.,0.,0.,0.,60.9
115,"Waynes, Trae","MIN","DB",44.4,9.9,0.6,8.8,0.7,0.,0.,0.,3.,0.,60.1
116,"Kirkpatrick, Dre","CIN","DB",45.,8.5,0.,10.1,0.4,0.,0.,0.,0.,0.,60.
117,"Jackson, William","CIN","DB",39.4,9.8,0.,14.6,0.2,0.2,0.,0.2,0.,0.,59.6
118,"Hooker, Malik","IND","DB",43.6,14.5,0.,4.9,1.6,0.,0.,0.,0.,0.,59.1
119,"Ward, Charvarius","KCC","DB",39.1,13.3,1.1,10.4,0.,0.9,0.8,0.,0.,0.,59.
120,"Dennard, Darqueze","CIN","DB",45.,12.1,0.,5.2,1.,0.5,0.1,0.2,0.,0.,58.8
121,"Stroman, Greg","WAS","DB",41.2,14.8,0.,6.6,1.,0.8,0.,0.,-0.1,19.,57.9
122,"Stewart, M.J.","TBB","DB",46.9,9.1,0.,3.8,0.4,1.5,0.4,0.,0.,0.,57.8
123,"Slay, Darius","DET","DB",38.1,4.7,0.2,13.1,1.8,0.2,0.,0.2,0.,0.,57.5
124,"Chung, Patrick","NEP","DB",43.8,17.5,0.1,3.4,0.4,0.,0.,0.,0.,1.,56.9
125,"Breeland, Bashaud","KCC","DB",36.,11.3,0.,8.9,3.1,0.,0.,0.2,0.,37.,56.8
126,"Joseph, Karl","OAK","DB",40.9,13.8,1.2,3.1,1.9,0.1,0.,0.,0.,0.,56.
127,"Hayden, D.J.","JAC","DB",43.3,7.8,1.,5.7,1.1,0.,0.,0.,0.,0.,56.
128,"Skrine, Buster","CHI","DB",44.9,8.1,0.3,5.5,0.,0.6,0.6,0.,0.,0.,55.9
129,"Dunbar, Quinton","WAS","DB",41.1,5.,0.,9.2,1.4,0.,0.,0.,0.,0.,55.6
130,"Alexander, Mackensie","MIN","DB",37.9,7.7,3.4,10.2,0.,0.,0.,0.,0.,0.,55.4
131,"Gilmore, Stephon","NEP","DB",30.7,4.9,0.6,15.8,2.2,0.8,0.6,0.,0.,0.,55.4
132,"Savage, Darnell","GBP","DB",39.9,12.1,0.5,5.4,1.4,0.2,0.2,0.,0.,24.,55.1
133,"Ward, Jimmie","SFO","DB",48.3,7.6,0.,1.8,0.,0.4,0.4,0.,0.,0.,54.8
134,"Coleman, Justin","DET","DB",38.4,9.2,0.9,7.2,0.9,0.9,0.9,0.2,0.,0.,54.6
135,"Carr, Brandon","BAL","DB",39.5,6.2,0.,9.2,1.3,0.3,0.,0.,0.,0.,54.6
136,"Maddox, Avonte","PHI","DB",35.,9.,0.6,8.6,2.4,1.2,0.,0.,0.,0.,54.5
137,"Jones, Byron","DAL","DB",40.7,10.1,0.,8.,0.,0.5,0.,0.,0.,0.,54.3
138,"Webb, B.W.","CIN","DB",42.9,5.9,0.8,5.1,1.1,0.2,0.,0.,0.,0.,54.1
139,"Roberts, Darryl","NYJ","DB",40.2,7.9,0.,7.5,1.1,0.,0.,0.2,0.,0.,53.8
140,"Allen, Ricardo","ATL","DB",38.9,13.8,0.,5.2,1.1,0.5,0.,0.,0.,0.,53.8
141,"Jackson, Josh","GBP","DB",35.5,10.9,0.,10.4,0.,0.3,0.,0.,1.,0.,51.7
142,"Brown, Anthony","DAL","DB",37.5,7.6,1.,7.5,0.4,0.6,0.5,0.,0.,0.,51.7
143,"Witherspoon, Ahkello","SFO","DB",38.7,9.4,0.,6.,0.1,1.,0.2,0.,0.,0.,50.9
144,"Johnson, Taron","BUF","DB",38.3,9.7,1.,3.3,1.3,0.7,0.,0.,2.,0.,50.8
145,"Davis, Michael","LAC","DB",35.,8.2,0.,10.2,0.,1.2,0.,0.,0.,0.,50.4
146,"Talib, Aqib","LAR","DB",36.6,7.5,0.,5.2,1.7,0.8,0.6,0.,0.,0.,50.3
147,"Addae, Jahleel","HOU","DB",38.9,12.2,0.,1.9,1.3,0.,0.,0.,0.,0.,49.5
148,"Wilson, Jarrod","JAC","DB",37.2,7.,0.8,5.1,1.,0.,0.,0.,0.,0.,48.6
149,"Haley, Grant","NYG","DB",36.9,11.9,0.9,4.5,0.,0.,0.,0.,0.,0.,48.3
150,"Claiborne, Morris","KCC","DB",32.4,10.,0.2,7.2,1.,0.5,0.4,0.1,0.,0.,47.7
151,"James, Derwin","LAC","DB",31.7,13.5,1.,5.1,1.5,0.,0.,0.,0.,6.,47.5
152,"Murphy, Byron","ARZ","DB",36.6,8.4,0.3,3.7,0.7,0.6,0.4,0.,32.,0.,47.4
153,"Jones, Sidney","PHI","DB",35.2,6.9,0.,6.6,1.,0.,0.,0.,0.,0.,47.3
154,"Williams, Tramon","GBP","DB",36.2,12.4,0.2,3.8,0.2,0.,0.,0.,57.,26.,46.8
155,"Colvin, Aaron","HOU","DB",36.4,9.6,0.,4.5,0.,0.,0.,0.,0.,0.,45.7
156,"King, Kevin","GBP","DB",32.6,8.4,0.1,5.3,1.,0.3,0.3,0.1,10.,14.,44.8
157,"Harris, Erik","OAK","DB",31.9,7.5,0.,6.5,1.3,0.,0.,0.,0.,0.,44.8
158,"Wallace, Levi","BUF","DB",31.6,20.9,0.,2.2,0.,0.4,0.,0.,0.,0.,44.6
159,"Crawley, Ken","NOS","DB",36.2,7.2,0.,4.8,0.,0.,0.,0.,0.,0.,44.6
160,"Cockrell, Ross","CAR","DB",29.,12.8,0.4,7.3,0.7,0.,0.,0.,0.,0.,44.4
161,"Thomas, Michael","NYG","DB",28.8,12.8,1.,5.,1.2,0.,0.,0.,0.,4.,43.7
162,"Worley, Daryl","OAK","DB",33.2,4.5,0.6,5.6,0.9,0.,0.,0.,0.,0.,43.5
163,"Lawson, Nevin","OAK","DB",32.8,9.5,0.8,3.9,0.,0.,0.,0.,0.,0.,42.3
164,"Parks, Will","DEN","DB",28.3,13.6,0.6,3.4,0.8,0.7,0.,0.,0.,0.,41.5
165,"Sherman, Richard","SFO","DB",32.5,9.,0.1,3.2,0.2,0.3,0.3,0.,0.,0.,41.4
166,"Peterson, Patrick","ARZ","DB",32.8,5.1,0.1,2.7,1.,0.6,0.6,0.,30.,0.,41.4
167,"Moreau, Fabian","WAS","DB",25.5,14.3,0.,4.,1.4,1.5,0.,0.,-0.2,0.,41.
168,"Neasman, Sharrod","ATL","DB",30.3,8.6,0.,5.3,0.4,0.,0.,0.,0.,0.,40.6
169,"Sorensen, Daniel","KCC","DB",27.8,13.8,0.3,3.1,0.9,0.,0.,0.2,0.,0.,40.
170,"Tankersley, Cordrea","MIA","DB",29.9,9.8,0.5,3.5,0.,0.,0.,0.,0.,0.,38.8
171,"Wilson, Tavon","DET","DB",34.2,4.1,1.6,0.6,0.,0.,0.,0.,0.,0.,38.5
172,"Jackson, J.C.","NEP","DB",22.9,2.5,0.,7.5,3.2,0.,0.,0.,0.,0.,38.
173,"Adderley, Nasir","LAC","DB",27.7,7.4,0.3,4.7,0.5,0.2,0.,0.2,34.,133.,37.6
174,"Williams, Greedy","CLE","DB",30.5,10.8,0.,1.2,0.,0.4,0.,0.,32.,45.,37.6
175,"Williams, K'Waun","SFO","DB",30.5,5.1,0.,3.4,0.,0.,0.,0.,0.,0.,36.5
176,"Nicholson, Montae","WAS","DB",29.9,7.4,0.,2.,0.,0.,0.,0.,0.,0.,35.5
177,"LeBlanc, Cre'von","PHI","DB",27.1,3.2,0.,4.2,1.3,0.,0.,0.,0.,0.,35.5
178,"Thompson, Deionte","ARZ","DB",27.7,6.9,0.2,3.2,0.3,0.1,0.1,0.,39.,0.,35.4
179,"Reed, D.J.","SFO","DB",26.8,9.3,0.1,3.3,0.,0.4,0.,0.,0.,100.,35.3
180,"Robey, Nickell","LAR","DB",23.4,7.9,0.,6.4,0.6,0.,0.,0.,0.,0.,35.
181,"Brown, Tony","GBP","DB",26.3,5.9,0.,3.8,0.,1.7,0.,0.,0.,0.,34.7
182,"Hill, Holton","MIN","DB",25.5,6.8,0.2,3.9,0.7,0.2,0.,0.,0.,36.,34.6
183,"Ford, Mike","DET","DB",32.4,0.4,0.,0.4,0.,0.,0.,0.,0.,0.,33.
184,"Hill, Troy","LAR","DB",23.7,4.,0.,4.,1.2,0.,0.,0.,0.,0.,32.1
185,"Williams, Trevor","LAC","DB",24.6,4.4,0.,4.4,0.3,0.,0.,0.,0.,0.,31.8
186,"Harmon, Duron","NEP","DB",20.5,4.3,0.,2.6,2.6,0.,0.,0.,0.,0.,30.5
187,"Williams, Joejuan","NEP","DB",24.7,8.6,0.4,0.8,0.,0.,0.,0.,0.,2.,30.3
188,"McManis, Sherrick","CHI","DB",17.,2.5,1.1,7.9,1.1,0.,0.,0.,0.,0.,29.4
189,"Edwards, Mike","TBB","DB",25.5,5.2,0.,1.2,0.,0.,0.,0.,0.,0.,29.3
190,"Fejedelem, Clayton","CIN","DB",21.7,13.8,0.,0.4,0.,0.2,0.2,0.2,0.,0.,29.3
191,"Lucas, Jordan","KCC","DB",19.7,6.9,1.1,2.4,1.1,0.,0.,0.,0.,0.,28.8
192,"King, Akeem","SEA","DB",21.1,8.3,0.3,2.1,0.,0.3,0.3,0.2,0.,0.,28.3
193,"Wilson, Quincy","IND","DB",19.1,7.3,0.,1.9,1.,0.,0.,0.,0.,0.,26.6
194,"Odum, George","IND","DB",17.7,10.,0.,1.3,0.2,0.,0.,0.,0.,0.,24.4
195,"Johnson, Lonnie","HOU","DB",15.9,7.5,0.,4.2,0.,0.,0.,0.,0.,0.,23.8
196,"Whitehead, Jermaine","CLE","DB",16.6,6.9,0.5,2.3,0.,0.6,0.,0.,0.,6.,23.4
197,"Johnson, Kevin","BUF","DB",16.,8.3,0.,1.6,0.,0.,0.,0.,0.,0.,21.8
198,"Levine, Anthony","BAL","DB",13.6,2.,1.,5.6,0.2,0.,0.,0.,0.,0.,21.6
199,"Robinson, Patrick","NOS","DB",14.5,3.8,0.9,3.5,0.,0.,0.,0.,0.,0.,20.8
200,"Bush, Deon","CHI","DB",15.8,2.9,1.8,0.9,0.,0.4,0.,0.,0.,0.,20.4
201,"Rowe, Eric","MIA","DB",14.3,5.9,0.,2.1,0.5,0.,0.,0.,0.,0.,20.4
202,"Gardner-Johnson, Chauncey","NOS","DB",15.6,4.8,0.4,1.7,0.,0.,0.,0.,0.,0.,20.1
203,"Sendejo, Andrew","PHI","DB",16.4,3.7,0.,0.8,0.,0.,0.,0.,0.,0.,19.1
204,"Sutton, Cameron","PIT","DB",13.,1.,0.,2.2,1.,1.,0.,0.,0.,21.,18.8
205,"Yiadom, Isaac","DEN","DB",14.8,3.3,0.,1.5,0.3,0.,0.,0.,0.,0.,18.5
206,"Phillips, Darius","CIN","DB",15.3,0.3,0.,1.5,0.,1.2,0.,0.,30.,0.,18.2
207,"Willis, Khari","IND","DB",13.3,6.7,0.,1.4,0.,0.,0.,0.,0.,0.,18.
208,"Rapp, Taylor","LAR","DB",13.9,3.9,0.,1.3,0.4,0.,0.,0.,0.,0.,17.9
209,"Jones, Colin","CAR","DB",10.3,8.7,0.,1.1,1.,0.,0.,0.,0.,0.,17.6
210,"Kearse, Jayron","MIN","DB",14.2,1.4,0.2,2.3,0.,0.,0.,0.,0.,0.,17.4
211,"Layne, Justin","PIT","DB",11.2,4.8,0.,2.8,0.4,0.,0.,0.,0.,0.,17.1
212,"Murray, Eric","CLE","DB",13.4,3.4,0.,0.7,0.,0.,0.,0.,0.,0.,15.8
213,"Hill, Delano","SEA","DB",10.6,7.9,0.,1.,0.,0.,0.,0.,0.,0.,15.5
214,"Moore, Tarvarius","SFO","DB",11.3,2.2,0.,2.2,0.,0.2,0.,0.,0.,0.,14.8
215,"Walker, Tracy","DET","DB",9.8,1.1,0.,2.3,1.1,0.,0.,0.,0.,0.,14.8
216,"Chandler, Sean","NYG","DB",11.2,1.4,1.2,1.1,0.,0.,0.,0.,0.,0.,14.2
217,"Christian, Marqui","LAR","DB",10.8,5.2,0.,0.2,0.,0.,0.,0.,11.,0.,13.6
218,"Smith, Tye","TEN","DB",10.8,5.6,0.,0.,0.,0.,0.,0.,0.,0.,13.6
219,"Melvin, Rashaan","DET","DB",10.7,1.,0.,1.9,0.2,0.,0.,0.,0.,0.,13.6
220,"Nickerson, Parry","SEA","DB",12.3,0.2,0.,1.,0.,0.,0.,0.,0.,0.,13.5
221,"Burns, Artie","PIT","DB",11.,4.1,0.,0.2,0.,0.2,0.,0.,0.,0.,13.5
222,"Sims, LeShaun","TEN","DB",10.7,4.8,0.,0.,0.,0.,0.,0.,0.,0.,13.1
223,"Stewart, Darian","TBB","DB",9.6,3.1,0.1,0.6,0.3,0.,0.,0.,0.,0.,12.4
224,"Rodgers-Cromartie, Dominique","WAS","DB",9.3,2.3,0.,1.5,0.,0.3,0.,0.,0.,0.,12.2
225,"Hooker, Amani","TEN","DB",7.6,6.3,0.,1.4,0.,0.,0.,0.,3.,0.,12.1
226,"Toliver, Kevin","CHI","DB",9.2,0.5,0.,2.3,0.,0.,0.,0.,0.,0.,11.8
227,"Agnew, Jamal","DET","DB",10.4,0.,0.,1.2,0.,0.,0.,0.,157.,393.,11.6
228,"Lewis, Jourdan","DAL","DB",8.1,0.3,0.,1.1,1.1,0.,0.,0.,0.,112.,11.6
229,"Miles, Rontez","NYJ","DB",9.4,1.3,0.,0.,0.,0.,0.,0.,0.,0.,10.
230,"Gaulden, Rashaan","CAR","DB",8.4,1.3,0.,0.2,0.,0.,0.,0.,0.,0.,9.3
231,"Clark, Chuck","BAL","DB",6.9,2.1,0.,0.2,0.2,0.,0.,0.,0.,0.,8.5
232,"Elliott, Javien","CAR","DB",7.3,1.,0.,0.1,0.1,0.,0.,0.,0.,0.,8.
233,"Wreh-Wilson, Blidi","ATL","DB",4.7,0.3,0.,1.5,0.,0.,0.,0.,0.,0.,6.4
234,"Gaines, Phillip","CLE","DB",4.8,1.5,0.,0.4,0.,0.,0.,0.,0.,0.,5.9
235,"Crossen, Keion","HOU","DB",5.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,5.2
