"Rank","Player","Team","Position","Yds Allowed","0-99","100-199","200-299","300-349","350-399","400-449","450-499","500-549","550+","Pts Agn",0,"1-6","7-13","14-17","18-20","21-27","28-34","35-45","46+","Scks","Int","Fum","DefTD","Safts","Pts"
16,"Colts, Indianapolis","IND","D",5.,0.,0.9,3.5,4.1,3.6,1.4,0.8,0.5,0.2,333.,0.,0.1,2.5,3.,4.1,3.3,1.6,0.4,0.,36.2,13.3,9.6,1.,0.,157.1
17,"Jets, New York","NYJ","D",6.,0.,0.7,3.1,3.6,4.2,1.6,1.,0.7,0.3,494.9,0.,0.,1.5,1.9,2.7,5.3,2.8,1.,0.1,39.5,9.4,6.8,4.1,0.,156.6
18,"Steelers, Pittsburgh","PIT","D",5.,0.,1.,4.1,4.8,3.4,1.2,0.7,0.5,0.2,354.4,0.,0.1,2.3,2.8,3.9,4.,2.1,0.6,0.,48.1,7.6,4.2,1.7,1.,155.7
19,"Redskins, Washington","WAS","D",6.,0.,0.8,3.2,3.8,4.3,1.7,1.1,0.7,0.3,410.5,0.,0.1,2.,2.4,3.3,4.8,2.5,0.9,0.1,39.5,11.8,9.7,0.8,0.,152.3
20,"Giants, New York","NYG","D",6.,0.,0.8,3.2,3.8,4.4,1.7,1.1,0.7,0.3,434.3,0.,0.1,1.8,2.2,3.1,5.1,2.7,0.9,0.1,29.,15.6,5.1,2.8,0.,151.4
21,"Bengals, Cincinnati","CIN","D",6.,0.,0.7,3.,3.6,4.,1.5,1.,0.6,0.3,474.9,0.,0.,1.7,2.,2.8,4.8,2.5,0.8,0.1,29.,10.3,6.,4.5,0.,148.3
22,"Lions, Detroit","DET","D",5.,0.,0.9,3.7,4.4,3.5,1.3,0.8,0.5,0.2,339.2,0.,0.1,2.4,3.,4.,3.6,1.8,0.5,0.,40.5,6.9,6.3,1.6,0.,148.1
23,"Dolphins, Miami","MIA","D",7.,0.,0.6,2.6,3.1,4.3,1.7,1.1,0.7,0.3,554.9,0.,0.,1.3,1.6,2.2,5.4,2.8,1.,0.1,27.9,14.3,6.,4.3,0.,147.6
24,"Bills, Buffalo","BUF","D",5.,0.,1.,4.1,4.8,3.4,1.2,0.7,0.5,0.1,404.9,0.,0.1,2.,2.4,3.3,4.7,2.5,0.8,0.1,26.8,16.,8.6,0.,0.9,147.3
25,"Panthers, Carolina","CAR","D",5.,0.,0.9,3.6,4.3,3.9,1.5,0.9,0.6,0.2,376.6,0.,0.1,2.2,2.7,3.7,4.3,2.2,0.7,0.1,32.6,10.7,10.8,0.3,0.,146.5
26,"Buccaneers, Tampa Bay","TBB","D",6.,0.,0.8,3.5,4.1,4.,1.5,1.,0.6,0.3,446.8,0.,0.,1.8,2.2,3.,5.2,2.7,0.9,0.1,36.3,8.8,8.7,0.8,0.,141.8
27,"Cowboys, Dallas","DAL","D",5.,0.,0.7,3.5,4.2,4.4,1.6,0.9,0.5,0.1,348.1,0.,0.,2.1,2.6,3.6,4.7,2.3,0.6,0.,29.8,7.5,9.,1.4,0.,139.5
28,"Cardinals, Arizona","ARZ","D",6.,0.,0.7,3.1,3.7,4.5,1.7,1.1,0.7,0.3,493.6,0.,0.,1.5,1.8,2.6,5.8,3.1,1.1,0.1,40.1,5.,6.9,2.,0.,136.9
29,"Eagles, Philadelphia","PHI","D",5.,0.,0.6,3.3,4.,4.7,1.7,1.,0.6,0.1,329.8,0.,0.,2.2,2.7,3.8,4.6,2.2,0.5,0.,40.6,10.1,3.9,0.,0.,136.3
30,"Packers, Green Bay","GBP","D",6.,0.,0.7,3.1,3.7,4.5,1.7,1.1,0.7,0.3,454.5,0.,0.,1.7,2.1,2.9,5.4,2.8,1.,0.1,35.1,4.6,6.9,1.5,0.,129.9
31,"49ers, San Francisco","SFO","D",5.,0.,0.9,3.7,4.4,4.,1.5,0.9,0.5,0.2,438.9,0.,0.,1.7,2.1,2.9,5.6,2.9,0.9,0.,37.9,0.8,4.8,2.3,0.,129.3
32,"Raiders, Oakland","OAK","D",5.,0.,0.9,3.5,4.2,4.,1.5,1.,0.6,0.3,456.7,0.,0.,1.7,2.1,2.9,5.4,2.8,1.,0.1,11.1,16.,1.9,1.9,0.,123.6
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
