"Rank","Player","Team","Position","Rush","Rush Yds","Rush TDs","0-9 RushTDs","10-19 RushTDs","20-29 RushTDs","30-39 RushTDs","40-49 RushTDs","50+ RushTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Tgt","RZTgt","Rec","Rec Yds","Rec TDs",">= 50yds",">= 100yds","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
43,"Samuels, Jaylen","PIT","RB",110.2,475.,0.8,0.8,0.,0.,0.,0.,0.,1.9,1.,0.3,0.1,57.7,12.9,50.4,356.,6.8,1.4,0.7,0.,15.,0.,12.4,128.8
44,"Jones, Ronald","TBB","RB",118.,707.,6.,3.,2.,1.,0.,0.,0.,0.6,0.3,0.1,0.,48.,4.,33.,195.,0.,0.8,0.4,0.,43.,0.,9.,126.2
45,"Freeman, Royce","DEN","RB",184.7,755.,6.1,4.6,1.5,0.,0.,0.,0.,3.,1.5,0.5,0.2,42.9,2.8,27.7,148.,0.,0.6,0.3,0.,81.,2.3,13.8,122.6
46,"Smith, Ito","ATL","RB",168.7,609.,3.9,1.4,2.2,0.,0.3,0.,0.,2.4,1.2,0.4,0.2,54.,8.3,40.,245.,0.9,1.,0.5,0.,0.,0.3,17.4,114.
47,"Williams, Jamaal","GBP","RB",141.4,555.,3.8,2.8,1.,0.,0.,0.,0.,2.2,1.1,0.4,0.1,47.9,2.9,32.,288.,0.6,1.2,0.6,0.,86.,0.,9.2,110.8
48,"Edwards, Gus","BAL","RB",167.6,810.,2.4,0.8,1.6,0.,0.,0.,0.,7.7,1.6,0.5,0.2,22.,4.,17.6,119.,0.7,0.5,0.2,0.,0.,0.5,7.8,110.7
49,"Ballage, Kalen","MIA","RB",170.,669.,0.6,0.1,0.1,0.,0.,0.,0.4,2.7,1.3,0.4,0.2,47.2,5.9,33.9,358.,1.6,1.4,0.7,0.,124.,2.7,3.1,110.1
50,"Lewis, Dion","TEN","RB",156.6,578.,1.1,1.1,0.,0.,0.,0.,0.,2.3,1.2,0.4,0.1,63.8,6.9,52.7,361.,1.4,1.4,0.7,0.,46.,0.6,14.4,107.2
51,"Jackson, Justin","LAC","RB",106.4,506.,3.3,1.4,2.,0.,0.,0.,0.,1.6,0.8,0.3,0.1,52.7,3.7,38.,321.,0.,1.3,0.6,0.,45.,0.,6.1,102.8
52,"Mattison, Alexander","MIN","RB",204.1,650.,3.2,1.7,1.5,0.,0.,0.,0.,2.6,1.3,0.4,0.2,44.2,2.2,35.8,193.,0.,0.8,0.4,0.,111.,0.7,15.5,101.9
53,"Anderson, C.J.","DET","RB",123.7,615.,2.3,2.3,0.,0.,0.,0.,0.,2.5,1.2,0.4,0.2,39.4,3.7,30.2,193.,0.7,0.8,0.4,0.,0.,0.,14.6,98.7
54,"Bernard, Giovani","CIN","RB",93.,356.,2.5,1.8,0.8,0.,0.,0.,0.,1.4,0.7,0.2,0.1,75.5,4.1,52.,371.,1.2,1.5,0.7,0.,19.,0.,7.6,95.1
