"Rank","Player","Team","Position","Tgt","RZTgt","Rec","Rec Yds","Rec TDs","0-9 RecTDs","10-19 RecTDs","20-29 RecTDs","30-39 RecTDs","40-49 RecTDs","50+ RecTDs",">= 50yds",">= 100yds",">= 150yds",">= 200yds","Rush Yds","Rush TDs","Punt Ret Yds","Kick Ret Yds","Fum Lost","Scoring Opps","Pts"
114,"Sharpe, Tajae","TEN","WR",38.7,7.4,19.4,215.,1.6,0.6,0.9,0.,0.,0.,0.,0.9,0.4,0.1,0.1,7.,0.,0.,125.,0.,3.1,31.5
115,"Johnson, KeeSean","ARZ","WR",59.9,6.3,23.4,301.,0.,0.,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,0.1,0.,0.,0.,0.,1.2,30.1
116,"Lee, Marqise","JAC","WR",41.3,3.4,20.5,253.,0.9,0.6,0.2,0.,0.,0.,0.,1.,0.5,0.2,0.1,3.,0.,13.,76.,0.5,1.7,29.9
117,"Davis, Robert","WAS","WR",50.7,5.8,26.1,272.,0.4,0.4,0.,0.,0.,0.,0.,1.1,0.5,0.2,0.1,10.,0.,12.,0.,1.1,2.4,29.6
118,"Patrick, Tim","DEN","WR",34.7,0.7,17.7,243.,0.6,0.,0.,0.6,0.,0.,0.,1.,0.5,0.2,0.1,14.,0.,9.,0.,0.6,2.3,28.4
119,"Samuel, Deebo","SFO","WR",43.8,5.8,25.,263.,0.,0.,0.,0.,0.,0.,0.,1.1,0.5,0.2,0.1,3.,0.,61.,25.,0.5,2.4,27.3
120,"Hurns, Allen","MIA","WR",20.7,3.4,10.9,185.,1.5,0.6,0.,0.8,0.,0.,0.,0.7,0.4,0.1,0.1,0.,0.,0.,0.,0.,3.4,27.3
121,"Carter, DeAndre","HOU","WR",36.7,5.1,26.3,287.,0.,0.,0.,0.,0.,0.,0.,1.1,0.6,0.2,0.1,11.,0.,222.,317.,1.7,4.,26.5
122,"Sherfield, Trent","ARZ","WR",27.1,1.3,17.7,182.,1.3,1.3,0.,0.,0.,0.,0.,0.7,0.4,0.1,0.1,0.,0.,0.,0.,0.,1.3,25.8
123,"Fowler, Bennie","NYG","WR",29.9,5.4,15.7,196.,1.,1.,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.1,1.,0.,16.,91.,0.,3.9,25.6
124,"Austin, Tavon","DAL","WR",24.8,1.9,14.2,141.,1.,0.5,0.,0.,0.,0.,0.5,0.6,0.3,0.1,0.,54.,0.,112.,26.,0.,2.,25.3
125,"Turner, Malik","SEA","WR",36.8,6.,16.8,182.,1.,0.7,0.2,0.1,0.,0.,0.,0.7,0.4,0.1,0.1,5.,0.,21.,71.,0.,5.1,25.
126,"Shepard, Russell","NYG","WR",16.1,2.4,8.2,146.,1.4,0.,1.1,0.,0.,0.2,0.,0.6,0.3,0.1,0.,0.,0.,0.,0.,0.,2.4,22.7
127,"Grant, Ryan","OAK","WR",31.2,2.6,19.1,188.,0.5,0.5,0.,0.,0.,0.,0.,0.8,0.4,0.1,0.1,2.,0.,36.,297.,0.,1.4,22.
128,"Switzer, Ryan","PIT","WR",35.1,7.,25.5,156.,0.7,0.7,0.,0.,0.,0.,0.,0.6,0.3,0.1,0.,17.,0.,232.,527.,0.,5.3,21.5
129,"Erickson, Alex","CIN","WR",33.3,3.5,19.9,189.,0.2,0.1,0.,0.1,0.,0.,0.,0.8,0.4,0.1,0.1,14.,0.,190.,955.,0.3,2.,20.7
130,"Bellamy, Josh","NYJ","WR",29.5,2.5,12.6,154.,0.5,0.,0.,0.5,0.,0.,0.,0.6,0.3,0.1,0.,10.,0.,73.,85.,0.4,1.2,18.7
131,"Kumerow, Jake","GBP","WR",26.8,2.4,16.1,154.,0.2,0.,0.,0.,0.,0.2,0.,0.6,0.3,0.1,0.,5.,0.,28.,95.,0.,1.9,16.8
132,"Carr, Austin","NOS","WR",15.9,1.9,10.2,101.,0.9,0.7,0.2,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,9.,0.,0.,1.7,15.5
133,"Williams, Preston","MIA","WR",35.4,3.6,13.5,146.,0.,0.,0.,0.,0.,0.,0.,0.6,0.3,0.1,0.,9.,0.,127.,140.,0.4,1.,14.8
134,"Meyers, Jakobi","NEP","WR",14.6,1.,8.5,102.,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,32.,0.,11.,35.,0.,2.6,13.4
135,"Arcega-Whiteside, JJ","PHI","WR",23.6,3.1,13.2,116.,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.,0.,43.,81.,0.,1.,11.6
136,"Ratley, Damion","CLE","WR",21.3,1.3,10.8,119.,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,-1.5,0.,1.,3.,0.1,0.4,11.6
137,"Thomas, De'Anthony","KCC","WR",10.9,0.3,8.3,92.,0.3,0.3,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,7.,0.,63.,115.,0.,0.3,11.5
138,"Campbell, Parris","IND","WR",29.2,4.4,13.5,114.,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,0.,0.,65.,266.,0.,2.4,11.4
139,"Scott, Jaleel","BAL","WR",27.3,0.9,10.1,90.,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,7.,0.,12.,94.,0.,0.9,9.7
140,"Fulgham, Travis","DET","WR",25.6,2.4,9.9,96.,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,38.,39.,0.,1.,9.6
141,"Johnson, Olabisi","MIN","WR",25.3,1.,10.3,94.,0.,0.,0.,0.,0.,0.,0.,0.4,0.2,0.1,0.,0.,0.,7.,8.,0.,0.,9.4
142,"Jennings, Darius","TEN","WR",12.3,0.,8.1,82.,0.,0.,0.,0.,0.,0.,0.,0.3,0.2,0.1,0.,0.,0.,0.,629.,0.,0.,8.2
