Player,Team,Tackle,Assist,Sack,PD,INT,FF,FR
Leighton Vander Esch,DAL,63,20,3.5,6,1,1,1
Deone Bucannon,ARI,64,28,1.5,4,1,2,1
Jordan Hicks,PHI,58,29,1.5,8,2,1,0
Bradley Chubb,DEN,40,20,9.,5,0,2,1
Craig Robertson,NO,58,31,2.,5,2,0,1
Ryan Kerrigan,WAS,35,11,12.,2,0,2,1
K.J. Wright,SEA,60,37,1.5,5,0,2,1
Rashaan Evans,TEN,60,30,2.,4,1,1,1
Terrell Suggs,BAL,35,14,10.,4,0,3,1
Myles Jack,JAC,68,25,2.5,3,0,0,1
Anthony Hitchens,KC,62,33,2.5,4,0,1,0
Jayon Brown,TEN,57,25,2.5,6,1,1,1
De'Vondre Campbell,ATL,55,30,2.5,5,1,1,0
Derrick Johnson,OAK,60,20,2.,5,1,1,1
Matt Judon,BAL,48,11,7.,3,0,2,1
Kyle Van Noy,NE,59,19,4.5,3,0,1,0
Raekwon McMillan,MIA,58,22,2.5,5,1,1,0
Antonio Morrison,GB,69,36,0.,3,0,0,1
Anthony Barr,MIN,50,25,2.5,5,1,2,1
Jaylon Smith,DAL,50,32,2.,2,1,2,1
Dont'a Hightower,NE,49,33,4.5,2,0,1,0
Brian Orakpo,TEN,37,13,9.5,3,0,1,0
Reuben Foster,SF,66,22,1.,3,0,1,0
Jordan Jenkins,NYJ,48,22,4.5,4,0,1,1
Reggie Ragland,KC,58,28,2.,0,1,0,0
Kenny Young,BAL,62,19,1.,4,0,1,1
Jerome Baker,MIA,49,29,2.,4,1,1,0
Vontaze Burfict,CIN,50,20,2.,4,1,1,0
Whitney Mercilus,HOU,32,18,8.5,2,0,1,0
Preston Smith,WAS,30,12,7.,3,1,2,1
Blair Brown,JAC,44,26,1.5,4,1,2,1
Josh Bynes,ARI,52,22,1.,5,1,1,0
Mason Foster,WAS,52,25,1.,2,1,1,0
Zach Cunningham,HOU,44,40,1.5,5,0,1,0
Anthony Walker Jr.,IND,55,28,1.,2,0,1,0
Lorenzo Alexander,BUF,44,11,4.,2,0,2,1
Vincent Rey,CIN,50,32,0.,4,1,0,0
Kendell Beckwith,TB,59,14,1.,2,0,1,0
Todd Davis,DEN,50,33,1.,1,0,1,0
B.J. Goodson,NYG,55,22,0.,3,1,0,0
Jatavis Brown,LAC,50,23,1.5,3,0,1,0
Clay Matthews,GB,28,12,6.5,3,1,1,1
Haason Reddick,ARI,37,19,4.,2,0,2,1
Denzel Perryman,LAC,52,17,2.5,2,0,0,0
Connor Barwin,NYG,28,13,6.5,3,0,2,1
Christian Jones,DET,50,20,1.5,2,0,1,0
Jadeveon Clowney,HOU,35,11,5.5,3,0,1,1
Cory Littleton,LAR,40,20,1.5,6,1,1,0
Bruce Irvin,OAK,22,11,7.5,4,0,2,1
Oren Burks,GB,39,19,2.,5,1,1,0
Kamu Grugier-Hill,PHI,50,19,1.,2,0,1,0
Jon Bostic,PIT,50,30,0.,3,0,0,0
Nick Perry,GB,28,14,7.,2,0,1,0
Devon Kennard,DET,41,24,2.,4,0,1,0
Leon Jacobs,JAC,40,25,1.,3,1,1,0
Carl Lawson,CIN,24,8,8.5,0,0,1,0
Ramon Humber,BUF,48,21,1.,1,0,0,0
Elandon Roberts,NE,44,20,2.,1,0,0,0
Barkevious Mingo,SEA,30,11,4.,2,0,2,1
Shaq Thompson,CAR,40,19,1.5,2,0,1,0
Leonard Floyd,CHI,25,11,6.,1,0,1,1
Ray Ray Armstrong,NYG,35,18,1.5,2,1,1,0
Marquis Flowers,DET,35,21,3.,2,0,0,0
Brock Coyle,SF,38,23,1.5,2,0,0,1
Bud Dupree,PIT,30,6,5.5,1,0,1,0
Derrick Morgan,TEN,19,9,7.,2,0,1,0
Hayes Pullard,LAC,44,22,0.,1,0,0,0
Korey Toomer,GB,40,15,1.5,2,0,0,0
Kemal Ishmael,ATL,32,15,0.5,3,1,1,1
John Simon,IND,30,17,2.5,1,0,0,1
Patrick Onwuasor,BAL,42,10,0.,1,0,1,0
Samson Ebukam,LAR,28,6,3.5,1,0,1,0
A.J. Klein,NO,33,15,1.,1,0,1,0
Matt Longacre,LAR,20,8,5.,0,0,1,0
Dee Ford,KC,22,9,4.5,2,0,0,0
Nick Kwiatkoski,CHI,30,10,1.5,2,0,1,0
Manti Te'o,NO,30,18,0.5,2,0,1,0
Nicholas Morrow,OAK,35,15,0.,3,0,0,0
Ramik Wilson,LAR,36,13,0.,1,0,0,1
Emmanuel Lamur,OAK,35,17,0.,1,0,0,0
Shaquil Barrett,DEN,22,6,3.5,2,0,1,0
Frank Zombo,KC,27,12,2.5,1,0,0,0
Stephone Anthony,MIA,30,14,0.5,1,0,1,0
Za'Darius Smith,BAL,18,9,4.,1,0,1,0
Kemoko Turay,IND,19,10,4.,2,0,0,0
Duke Riley,ATL,26,20,1.,1,0,0,0
Jalen Reeves-Maybin,DET,28,6,1.5,2,0,0,0
Kyle Emanuel,LAC,25,15,1.,2,0,0,0
