Player,Team,Tackle,Assist,Sack,PD,INT,FF,FR
Dante Fowler Jr.,JAC,17,4,5.,2,0,2,1
Adrian Clayborn,NE,17,6,6.5,0,0,1,0
Trevon Coley,CLE,26,18,3.,2,0,0,0
Kenny Clark,GB,25,14,3.,2,0,1,0
Taco Charlton,DAL,22,8,4.5,2,0,1,0
Larry Ogunjobi,CLE,27,21,2.,1,0,0,1
Wes Horton,CAR,15,11,4.5,2,0,2,1
Eddie Goldman,CHI,28,18,2.5,1,0,0,0
Allen Bailey,KC,24,14,4.,1,0,0,0
Alex Okafor,NO,20,6,4.,1,0,2,1
Sam Hubbard,CIN,22,11,3.5,3,0,1,0
Jonathan Bullard,CHI,22,11,2.5,2,0,2,1
Shelby Harris,DEN,22,10,4.5,2,0,0,0
Davon Godchaux,MIA,32,16,0.5,2,0,1,0
B.J. Hill,NYG,19,14,3.5,2,0,1,1
Shaq Lawson,BUF,19,12,3.5,2,0,1,1
Denico Autry,IND,22,10,4.,3,0,0,0
Cassius Marsh,SF,22,6,3.,0,0,2,1
Vinny Curry,TB,20,14,3.5,1,0,1,0
Tyson Alualu,PIT,24,11,3.5,1,0,0,0
Javon Hargrave,PIT,24,13,2.,1,0,1,1
Kyle Williams,BUF,20,16,3.5,1,0,0,0
William Hayes,MIA,22,8,3.5,0,0,1,0
Danny Shelton,NE,28,20,1.,1,0,0,0
Jarran Reed,SEA,22,20,1.5,2,0,1,0
Da'Ron Payne,WAS,20,22,1.5,1,0,1,1
Breeland Speaks,KC,24,9,3.,2,0,0,0
Michael Johnson,CIN,20,8,3.5,1,0,1,0
Domata Peko,DEN,22,15,2.,2,0,0,1
Justin Ellis,OAK,28,19,1.,0,0,0,0
Michael Brockers,LAR,22,9,3.,2,0,0,0
Dominique Easley,LAR,17,11,3.5,1,0,1,0
Steve McLendon,NYJ,25,11,2.5,0,0,0,0
Dontari Poe,CAR,22,10,2.,2,0,1,0
William Gholston,TB,22,11,2.5,2,0,0,0
Taven Bryan,JAC,16,11,3.,2,0,1,0
Maliek Collins,DAL,16,10,3.5,0,0,1,0
Zach Kerr,DEN,16,10,2.5,1,0,1,1
Corey Liuget,LAC,20,6,2.,2,0,1,0
Dion Jordan,SEA,18,9,3.,1,0,0,0
Adolphus Washington,BUF,20,10,2.,2,0,0,0
