Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
26,"Jones, Deion",ATL,SEA,LB,4.3,2.6,0.0,0.4,0.1,0.0,0.0,0.0,6.3
27,"White, Devin",TBB,@NOS,LB,4.2,2.0,0.2,0.3,0.1,0.2,0.2,0.0,6.2
28,"Martinez, Blake",NYG,PIT,LB,4.4,2.4,0.2,0.2,0.1,0.0,0.0,0.0,6.1
29,"Simmons, Isaiah",ARI,@SFO,LB,4.2,1.8,0.3,0.1,0.0,0.2,0.1,0.0,5.9
30,"Baker, Jerome",MIA,@NEP,LB,4.1,2.4,0.1,0.3,0.1,0.1,0.0,0.0,5.9
31,"Brown, Jayon",TEN,@DEN,LB,4.2,2.1,0.1,0.5,0.1,0.0,0.0,0.0,5.9
32,"Davis, Jarrad",DET,CHI,LB,4.1,1.9,0.3,0.2,0.0,0.1,0.1,0.0,5.8
33,"McKinney, Benardrick",HOU,@KCC,LB,3.6,3.0,0.1,0.3,0.0,0.0,0.0,0.0,5.7
34,"Hitchens, Anthony",KCC,HOU,LB,4.0,3.0,0.1,0.0,0.0,0.1,0.0,0.0,5.7
35,"Reeder, Troy",LAR,DAL,LB,3.8,1.8,0.4,0.2,0.0,0.2,0.0,0.0,5.5
36,"Trevathan, Danny",CHI,@DET,LB,4.2,1.4,0.2,0.3,0.1,0.1,0.0,0.0,5.5
37,"Gerry, Nate",PHI,@WAS,LB,4.1,1.5,0.1,0.4,0.1,0.0,0.0,0.0,5.4
38,"Takitaki, Sione",CLE,@BAL,LB,3.7,1.8,0.1,0.4,0.0,0.1,0.0,0.0,5.3
39,"Alexander, Kwon",NOS,TBB,LB,3.6,1.6,0.1,0.4,0.1,0.1,0.0,0.0,5.2
40,"Barr, Anthony",MIN,GBP,LB,3.9,1.6,0.2,0.1,0.0,0.1,0.1,0.0,5.2
41,"Collins, Jamie",DET,CHI,LB,3.2,1.5,0.4,0.3,0.1,0.2,0.1,0.0,5.1
42,"Watt, T.J.",PIT,@NYG,LB,2.7,1.3,0.7,0.3,0.1,0.4,0.2,0.0,5.0
43,"Campbell, De'Vondre",ARI,@SFO,LB,3.3,2.1,0.1,0.3,0.1,0.1,0.1,0.0,5.0
44,"Perryman, Denzel",LAC,@CIN,LB,4.1,1.1,0.0,0.1,0.1,0.1,0.0,0.0,5.0
45,"Jack, Myles",JAC,IND,LB,3.7,1.8,0.1,0.1,0.0,0.0,0.0,0.0,4.9
46,"Bostic, Jon",WAS,PHI,LB,3.3,2.8,0.1,0.1,0.0,0.0,0.0,0.0,4.9
47,"Bynes, Josh",CIN,LAC,LB,3.2,2.2,0.1,0.2,0.1,0.0,0.0,0.0,4.9
48,"Holcomb, Cole",WAS,PHI,LB,3.9,1.4,0.0,0.1,0.0,0.1,0.0,0.0,4.8
49,"Kwiatkoski, Nick",LVR,@CAR,LB,3.7,1.6,0.1,0.2,0.0,0.0,0.0,0.0,4.8
50,"Hewitt, Neville",NYJ,@BUF,LB,2.9,2.2,0.2,0.4,0.1,0.0,0.0,0.0,4.8
51,"Evans, Rashaan",TEN,@DEN,LB,3.5,2.0,0.1,0.0,0.0,0.0,0.0,0.0,4.7
52,"Wilson, Damien",KCC,HOU,LB,3.5,1.9,0.1,0.0,0.0,0.0,0.0,0.0,4.5
53,"Morrow, Nicholas",LVR,@CAR,LB,3.5,1.2,0.0,0.2,0.1,0.0,0.0,0.0,4.4
54,"Jones, Chandler",ARI,@SFO,LB,2.3,0.7,0.9,0.3,0.0,0.4,0.1,0.0,4.4
55,"Harrison, Malik",BAL,CLE,LB,2.8,1.7,0.4,0.2,0.0,0.1,0.0,0.0,4.3
56,"Greenlaw, Dre",SFO,ARI,LB,3.3,1.2,0.1,0.1,0.0,0.1,0.0,0.0,4.1
57,"Williams, Vince",PIT,@NYG,LB,2.5,1.7,0.4,0.1,0.0,0.1,0.0,0.0,4.1
58,"Pratt, Germaine",CIN,LAC,LB,2.8,1.9,0.0,0.1,0.0,0.0,0.0,0.0,4.0
59,"Goodson, B.J.",CLE,@BAL,LB,2.9,1.4,0.1,0.1,0.1,0.0,0.0,0.0,4.0
60,"Dupree, Bud",PIT,@NYG,LB,2.5,1.1,0.6,0.1,0.0,0.2,0.1,0.0,4.0
