Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
20,"Witherspoon, Ahkello",SFO,DB,50.7,14.2,0.3,9.4,0.8,0.0,0.0,0.2,0.0,0.0,69.1
21,"Coleman, Justin",DET,DB,49.9,4.9,0.0,10.9,0.4,3.5,0.7,0.0,0.0,0.0,68.3
22,"Jenkins, Janoris",NOS,DB,46.6,10.0,0.6,8.6,2.6,1.4,0.6,0.0,0.0,0.0,68.0
23,"Needham, Nik",MIA,DB,44.9,16.2,1.2,8.8,1.4,1.2,0.0,0.0,0.0,0.0,66.9
24,"Ya-Sin, Rock",IND,DB,53.6,9.0,0.0,6.1,1.1,0.0,0.0,0.0,0.0,0.0,66.4
25,"Roby, Bradley",HOU,DB,45.4,6.6,0.6,10.7,2.5,0.9,0.0,0.2,0.0,0.0,66.1
26,"Callahan, Bryce",DEN,DB,48.6,21.3,0.0,4.5,0.3,0.3,0.0,0.0,0.0,0.0,64.8
27,"Jones, Jonathan",NEP,DB,43.4,13.2,0.7,9.4,1.1,1.3,0.3,0.2,0.0,0.0,64.0
28,"Fuller, Kendall",WAS,DB,51.3,15.3,0.5,3.8,0.3,0.0,0.0,0.0,0.0,0.0,63.9
29,"Oliver, Isaiah",ATL,DB,43.9,11.6,0.0,11.1,1.1,0.5,0.2,0.0,0.0,0.0,63.8
30,"Peterson, Patrick",ARI,DB,50.4,7.5,0.7,4.2,1.4,0.7,0.3,0.0,24.0,0.0,62.7
31,"Hughes, Mike",MIN,DB,46.0,10.0,0.0,7.2,0.9,2.3,0.2,0.2,102.0,0.0,62.6
32,"Alexander, Jaire",GBP,DB,46.3,5.9,0.2,10.6,0.7,0.4,0.4,0.0,11.0,0.0,62.1
33,"Wallace, Levi",BUF,DB,47.8,12.0,0.2,5.3,0.7,0.2,0.0,0.0,0.0,0.0,61.0
34,"Slay, Darius",PHI,DB,39.8,14.4,0.2,10.5,0.6,0.9,0.5,0.0,0.0,0.0,60.3
35,"Bouye, A.J.",DEN,DB,41.4,13.6,0.6,8.3,1.3,0.0,0.0,0.0,0.0,0.0,59.8
36,"Flowers, Tre",SEA,DB,43.3,15.4,1.0,4.8,1.1,0.7,0.0,0.0,0.0,0.0,59.7
37,"Kirkpatrick, Dre",ARI,DB,49.2,10.6,0.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,59.4
38,"Ford, Mike",DET,DB,48.6,3.4,0.7,7.5,0.0,0.3,0.3,0.0,0.0,0.0,59.1
39,"Davis, Carlton",TBB,DB,41.1,5.3,0.0,12.0,0.1,1.9,0.7,0.0,0.0,0.0,58.7
40,"Sherman, Richard",SFO,DB,37.0,10.5,0.0,9.1,3.7,0.0,0.0,0.0,0.0,0.0,58.7
41,"Waynes, Trae",CIN,DB,45.7,7.2,0.0,5.9,0.5,1.2,0.7,0.0,0.0,0.0,58.2
42,"Ramsey, Jalen",LAR,DB,43.1,8.5,0.0,5.6,1.7,1.7,0.0,0.2,0.0,0.0,58.0
43,"Davis, Michael",LAC,DB,36.7,9.8,0.0,10.7,2.3,0.0,0.0,0.0,0.0,0.0,57.0
44,"Maddox, Avonte",PHI,DB,42.3,8.8,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,56.9
45,"Awuzie, Chidobe",DAL,DB,35.8,25.7,0.0,7.9,0.1,0.0,0.0,0.0,0.0,0.0,56.8
46,"Poole, Brian",NYJ,DB,41.3,10.3,0.0,4.7,1.7,0.6,0.4,0.2,0.0,0.0,55.6
47,"Herndon, Tre",JAC,DB,38.7,12.7,0.0,8.3,0.9,0.0,0.0,0.0,0.0,0.0,55.1
48,"Ward, Charvarius",KCC,DB,39.8,12.0,0.0,8.9,0.1,0.0,0.0,0.0,0.0,0.0,55.0
49,"Howard, Xavien",MIA,DB,33.3,12.5,0.0,9.1,3.1,0.0,0.0,0.0,0.0,0.0,54.8
50,"Arnette, Damon",LVR,DB,40.0,11.0,0.0,6.3,1.0,0.0,0.0,0.2,0.0,0.0,53.7
51,"Okudah, Jeff",DET,DB,42.8,11.0,0.4,4.0,0.4,0.0,0.0,0.0,0.0,0.0,53.5
52,"Conley, Gareon",HOU,DB,34.4,9.7,0.5,10.8,1.4,0.0,0.0,0.2,0.0,0.0,53.3
53,"Johnson, Taron",BUF,DB,40.3,11.1,1.2,4.9,0.0,1.2,0.0,0.0,0.0,0.0,53.1
54,"Butler, Malcolm",TEN,DB,34.2,10.2,0.4,9.4,1.8,0.0,0.0,0.2,10.0,5.0,52.6
55,"Moreau, Fabian",WAS,DB,33.8,15.2,0.0,6.5,1.9,0.0,0.0,0.0,0.0,0.0,51.7
56,"Moseley, Emmanuel",SFO,DB,39.0,4.0,0.0,6.7,1.3,0.3,0.3,0.2,0.0,0.0,51.0
57,"Brown, Anthony",DAL,DB,31.8,16.5,1.6,7.9,0.7,0.0,0.0,0.0,0.0,0.0,50.9
58,"Gilmore, Stephon",NEP,DB,31.6,6.1,0.0,11.0,2.2,0.4,0.4,0.2,0.0,0.0,50.8
59,"Yiadom, Isaac",NYG,DB,36.3,11.2,0.0,7.0,0.7,0.0,0.0,0.0,0.0,0.0,50.3
60,"Jackson, J.C.",NEP,DB,29.5,6.7,0.0,9.6,3.8,0.0,0.0,0.0,0.0,0.0,50.0
61,"McCourty, Jason",NEP,DB,36.2,9.9,0.0,6.1,1.0,0.7,0.0,0.0,0.0,0.0,49.9
62,"Joyner, Lamarcus",LVR,DB,41.6,9.1,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,49.8
63,"King, Desmond",TEN,DB,37.4,13.2,1.9,2.0,0.0,0.8,0.7,0.2,113.0,357.0,49.4
64,"Hargreaves, Vernon",HOU,DB,39.2,5.7,0.6,5.7,0.0,0.3,0.3,0.0,0.0,0.0,49.0
65,"Bunting, Sean",TBB,DB,34.3,9.3,0.6,5.2,1.4,0.9,0.5,0.2,0.0,0.0,48.9
66,"Alford, Robert",ARI,DB,40.0,8.7,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,48.9
67,"Hill, Troy",LAR,DB,34.4,8.7,0.1,6.7,1.3,0.2,0.2,0.0,0.0,0.0,48.6
68,"Williams, Greedy",CLE,DB,38.6,11.7,0.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,48.4
69,"Hayward, Casey",LAC,DB,35.3,10.7,0.2,5.1,1.2,0.0,0.0,0.0,11.0,44.0,48.4
70,"Gladney, Jeff",MIN,DB,35.9,9.0,0.3,4.5,0.7,0.7,0.7,0.0,0.0,0.0,48.0
71,"Henderson, CJ",JAC,DB,38.7,6.8,0.4,4.5,0.1,0.8,0.0,0.0,0.0,0.0,48.0
72,"Maulet, Art",NYJ,DB,37.2,13.3,0.0,3.4,0.2,0.0,0.0,0.0,0.0,0.0,47.6
73,"Douglas, Rasul",CAR,DB,28.9,12.3,0.0,10.5,0.9,0.0,0.0,0.0,0.0,0.0,47.3
74,"Williams, K'Waun",SFO,DB,33.1,8.8,1.3,1.6,1.6,2.9,0.0,0.0,0.0,0.0,46.7
75,"Lawson, Nevin",LVR,DB,37.0,11.7,0.5,3.1,0.0,0.0,0.0,0.0,0.0,0.0,46.5
76,"Harris, Chris",LAC,DB,36.2,10.1,0.0,4.7,0.3,0.0,0.0,0.2,20.0,0.0,46.4
77,"Norman, Josh",BUF,DB,32.1,9.7,0.6,4.3,1.9,0.3,0.3,0.0,0.0,0.0,46.2
78,"Ballentine, Corey",NYJ,DB,33.9,10.7,0.6,6.1,0.0,0.0,0.0,0.0,0.0,26.0,46.0
79,"Williams, P.J.",NOS,DB,36.3,7.1,0.7,4.2,0.7,0.0,0.0,0.0,0.0,0.0,46.0
80,"Lewis, Jourdan",DAL,DB,29.3,10.4,2.2,6.3,1.4,0.0,0.0,0.2,0.0,41.0,45.8
81,"Wiltz, Jomal",MIA,DB,33.0,14.0,0.0,5.3,0.2,0.0,0.0,0.0,0.0,0.0,45.7
82,"Hayden, D.J.",JAC,DB,32.2,7.6,1.2,5.7,0.0,1.0,0.9,0.0,0.0,0.0,44.9
83,"Sheffield, Kendall",ATL,DB,31.0,17.8,0.0,3.5,0.3,0.0,0.0,0.0,0.0,67.0,43.9
84,"Moreland, Jimmy",WAS,DB,33.6,11.9,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,42.9
85,"Igbinoghene, Noah",MIA,DB,26.9,14.7,0.0,4.6,1.3,0.0,0.0,0.0,0.0,0.0,41.5
86,"Rhodes, Xavier",IND,DB,34.4,7.7,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4
87,"Smith, Jimmy",BAL,DB,26.0,1.8,0.9,8.2,2.7,0.0,0.0,0.0,0.0,0.0,41.4
88,"Jones, Byron",MIA,DB,31.7,11.3,0.0,3.2,0.3,0.0,0.0,0.0,0.0,0.0,41.1
89,"Robey, Nickell",PHI,DB,30.0,6.4,0.3,6.2,0.0,1.1,0.0,0.0,0.0,0.0,40.8
90,"Fulton, Kristian",TEN,DB,31.5,12.4,0.9,1.8,0.1,0.0,0.0,0.0,22.0,0.0,40.5
91,"LeBlanc, Cre'von",PHI,DB,25.3,5.7,0.0,8.8,1.4,0.0,0.0,0.0,0.0,0.0,39.6
92,"Young, Tavon",BAL,DB,27.8,8.2,0.0,6.4,0.3,0.0,0.0,0.2,14.0,0.0,38.9
93,"Dean, Jamel",TBB,DB,15.1,2.6,0.0,17.3,2.5,0.0,0.0,0.0,0.0,0.0,38.6
94,"Carrie, Travis",IND,DB,27.8,11.1,1.0,2.1,0.0,1.1,0.7,0.0,0.0,0.0,38.3
95,"Terrell, A.J.",ATL,DB,29.5,8.4,0.0,3.8,0.0,0.7,0.0,0.0,0.0,7.0,38.2
96,"Skrine, Buster",CHI,DB,29.8,5.7,0.0,2.9,0.0,2.2,0.0,0.0,0.0,0.0,37.8
97,"Joseph, Johnathan",ARI,DB,25.5,5.5,0.0,7.5,0.9,0.0,0.0,0.0,0.0,0.0,37.6
98,"Toliver, Kevin",DEN,DB,30.8,3.7,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,36.9
99,"Johnson, Jaylon",CHI,DB,30.2,6.2,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,36.2
100,"Austin, Blessuan",NYJ,DB,26.0,10.7,0.0,4.3,0.0,0.4,0.0,0.0,0.0,0.0,36.0
101,"Elder, Corn",CAR,DB,25.7,10.3,0.4,4.2,0.2,0.0,0.0,0.0,0.0,0.0,35.9
102,"Alexander, Mackensie",CIN,DB,24.3,6.3,0.2,5.4,1.1,0.1,0.1,0.0,-0.6,53.0,35.6
103,"Bausby, DeVante",DEN,DB,26.5,9.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,35.0
104,"Johnson, Lonnie",HOU,DB,26.8,5.3,0.1,3.8,0.0,0.2,0.0,0.0,0.0,0.0,33.6
105,"Jackson, Josh",GBP,DB,24.7,4.4,0.0,5.7,0.3,0.0,0.0,0.2,0.0,55.0,33.3
106,"Trufant, Desmond",DET,DB,19.3,9.3,0.0,4.9,2.2,0.0,0.0,0.0,-0.7,16.0,33.3
107,"Verrett, Jason",SFO,DB,23.9,8.5,0.0,2.3,0.7,0.4,0.4,0.0,0.0,0.0,32.7
108,"Jackson, William",CIN,DB,22.3,9.9,0.0,3.3,0.9,0.0,0.0,0.0,-0.1,61.0,32.4
109,"Sullivan, Chandon",GBP,DB,23.4,1.3,0.0,5.3,1.0,0.3,0.0,0.0,0.0,50.0,31.6
110,"Johnson, Kevin",CLE,DB,22.2,9.7,0.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,31.3
111,"Stroman, Greg",WAS,DB,24.5,2.9,0.0,1.7,0.3,0.3,0.0,0.0,-1.5,0.0,28.5
112,"Sims, LeShaun",CIN,DB,18.9,5.7,0.0,4.4,0.7,0.1,0.0,0.0,7.0,52.0,27.7
113,"Facyson, Brandon",LAC,DB,20.3,9.3,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,26.0
114,"Dennard, Darqueze",ATL,DB,17.5,11.4,0.0,2.7,0.0,0.0,0.0,0.0,0.0,19.0,25.9
115,"Fenton, Rashad",KCC,DB,11.9,4.4,0.3,3.8,1.2,1.2,0.0,0.0,0.0,0.0,21.8
116,"Worley, Daryl",BUF,DB,17.3,1.7,0.0,2.7,0.4,0.0,0.0,0.0,0.0,0.0,21.6
117,"Oruwariye, Amani",DET,DB,15.5,1.3,0.0,1.8,1.6,0.0,0.0,0.0,0.0,0.0,21.1
118,"Wreh-Wilson, Blidi",ATL,DB,13.6,4.3,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,21.1
119,"Williams, Darious",LAR,DB,12.5,1.4,0.0,3.6,1.8,0.0,0.0,0.0,0.0,0.0,20.4
120,"Smith, Tye",TEN,DB,15.8,6.1,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,20.4
121,"Mitchell, Terrance",CLE,DB,14.4,2.9,0.0,2.7,0.9,0.0,0.0,0.0,0.0,0.0,20.4
122,"Hill, Holton",MIN,DB,18.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9
123,"Harris, Davontae",BAL,DB,14.6,3.3,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,18.0
124,"Reed, D.J.",SEA,DB,13.1,6.0,0.0,1.0,0.0,0.4,0.4,0.1,0.0,0.0,17.8
125,"Phillips, Darius",CIN,DB,7.3,0.9,0.0,5.1,2.2,0.0,0.0,0.0,7.0,292.0,17.3
126,"Sutton, Cameron",PIT,DB,11.2,3.1,1.0,2.7,0.2,0.0,0.0,0.0,8.0,0.0,16.8
127,"Jones, Chris",MIN,DB,10.0,4.2,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,16.4
128,"Burns, Artie",CHI,DB,12.3,1.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,14.1
129,"Robinson, Patrick",NOS,DB,10.0,2.4,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7
130,"McManis, Sherrick",CHI,DB,7.7,1.1,0.0,3.4,0.0,0.9,0.0,0.0,0.0,0.0,12.6
131,"Averett, Anthony",BAL,DB,10.8,1.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,11.7
132,"Johnson, Danny",WAS,DB,8.9,1.5,0.0,1.8,0.0,0.0,0.0,0.0,0.0,293.0,11.4
133,"Diggs, Trevon",DAL,DB,5.3,4.6,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,9.1
134,"Layne, Justin",PIT,DB,4.6,3.0,0.0,0.9,0.2,0.4,0.0,0.0,0.0,0.0,7.8
135,"Dawson, Duke",DEN,DB,5.3,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5
136,"Roberts, Darryl",DET,DB,5.0,0.5,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,6.1
137,"Webster, Ken",SFO,DB,4.7,0.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.6
138,"McRae, Tony",DET,DB,4.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2
139,"Hamilton, Antonio",KCC,DB,2.7,1.5,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,4.7
140,"Smith, Ryan",TBB,DB,3.0,1.1,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,4.4
141,"Darby, Ronald",WAS,DB,3.2,0.3,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,4.4
142,"Crossen, Keion",HOU,DB,3.6,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.3
143,"Kalu, Joshua",TEN,DB,3.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0
144,"Amadi, Ugo",SEA,DB,2.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
145,"Lewis, Ryan",NYG,DB,2.9,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.7
146,"James, Craig",PHI,DB,2.6,0.2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,3.6
147,"Boyd, Kris",MIN,DB,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
148,"Williams, Joejuan",NEP,DB,1.9,0.3,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5
149,"Brooks, Nate",MIA,DB,2.0,0.6,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0
150,"Thorpe, Neiko",SEA,DB,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
151,"Stewart, M.J.",CLE,DB,1.7,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.1
152,"Williams, Brandon",ARI,DB,1.2,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.9
153,"Moore, Tarvarius",SFO,DB,0.0,0.0,0.0,1.3,0.2,0.0,0.0,0.0,0.0,0.0,1.7
154,"Miller, Jordan",ATL,DB,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
155,"Mabin, Greg",CIN,DB,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
156,"Gaines, Phillip",HOU,DB,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7
157,"Bethel, Justin",NEP,DB,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
158,"Nixon, Keisean",LVR,DB,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.6
159,"Hayes, Tae",MIA,DB,0.1,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
160,"Borders, Breon",TEN,DB,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
161,"Brown, Tony",CIN,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
162,"Hardee, Justin",NOS,DB,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
163,"Wilkins, Mazzi",TBB,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
164,"Watson, Brandon",JAC,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
165,"Crawley, Ken",NOS,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
166,"Davis, Jalen",CIN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"Virgin, Dee",DET,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"Smith, Tremon",IND,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,36.0,0.0
169,"Deayon, Donte",LAR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,"Goodwin, C.J.",DAL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,"Bademosi, Johnson",NOS,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

