Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
75,"Ford, Isaiah",NEP,WR,77.2,8.0,50.3,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.1,0.4,0.1,14.0,0.0,60.0,40.0,0.7,2.9,105.3
76,"Miller, Scott",TBB,WR,71.7,2.2,37.2,546.0,2.0,0.0,0.4,0.0,1.6,0.0,0.0,2.2,1.1,0.4,0.1,14.0,0.0,5.0,0.0,0.0,4.7,104.9
77,"Gage, Russell",ATL,WR,77.3,13.4,50.3,469.0,1.0,0.4,0.6,0.0,0.0,0.0,0.0,1.9,0.9,0.3,0.1,15.0,0.0,0.0,0.0,0.0,3.1,104.4
78,"Snead, Willie",BAL,WR,68.4,6.3,43.8,450.0,2.5,1.6,0.0,0.0,0.4,0.0,0.5,1.8,0.9,0.3,0.1,7.0,0.0,0.0,22.0,0.0,2.9,104.3
79,"Brown, Antonio",TBB,WR,57.2,8.7,41.2,450.0,3.2,1.3,0.5,0.5,0.5,0.2,0.1,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.3,1.3,103.6
80,"Pascal, Zach",IND,WR,74.0,9.6,37.4,467.0,2.3,0.2,2.2,0.0,0.0,0.0,0.0,1.9,0.9,0.3,0.1,22.0,0.0,18.0,219.0,0.3,5.2,101.0
81,"Valdes-Scantling, Marquez",GBP,WR,76.2,9.8,37.9,527.0,1.4,0.0,0.6,0.0,0.0,0.1,0.7,2.1,1.1,0.4,0.1,15.0,0.0,0.0,0.0,0.3,4.2,100.3
82,"Inman, Dontrelle",WAS,WR,67.8,8.3,40.3,466.0,2.2,1.8,0.4,0.0,0.0,0.0,0.0,1.9,0.9,0.3,0.1,0.0,0.0,31.0,119.0,0.0,4.2,100.1
83,"Ross, John",CIN,WR,77.3,7.3,32.9,441.0,3.7,2.0,0.0,0.5,0.6,0.0,0.6,1.8,0.9,0.3,0.1,10.0,0.0,11.0,29.0,1.3,8.5,97.7
84,"Amendola, Danny",DET,WR,79.6,8.9,47.2,497.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,2.0,1.0,0.3,0.1,-0.0,0.0,59.0,10.0,0.0,5.7,97.7
85,"Byrd, Damiere",NEP,WR,74.6,6.9,40.5,472.0,0.8,0.3,0.5,0.0,0.0,0.0,0.0,1.9,0.9,0.3,0.1,7.0,0.0,7.0,33.0,0.3,6.0,92.3
86,"Washington, James",PIT,WR,63.9,2.1,31.8,513.0,1.8,0.7,0.0,0.0,0.5,0.2,0.5,2.1,1.0,0.3,0.1,3.0,0.0,35.0,9.0,1.0,3.2,92.0
87,"Erickson, Alex",CIN,WR,72.9,9.3,39.1,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.9,0.3,0.1,33.0,0.0,92.0,273.0,1.4,4.1,86.7
88,"Bourne, Kendrick",SFO,WR,44.0,5.9,28.1,363.0,3.3,2.8,0.5,0.0,0.0,0.0,0.0,1.5,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.2,5.1,85.4
89,"Smith, Tre'Quan",NOS,WR,38.1,7.2,22.9,281.0,5.4,2.1,2.3,0.9,0.0,0.0,0.0,1.1,0.6,0.2,0.1,3.0,0.0,11.0,0.0,0.0,6.9,83.4
90,"Reagor, Jalen",PHI,WR,75.4,7.0,27.5,500.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.1,0.5,0.2,0.1,4.0,0.0,0.0,0.0,0.0,3.6,82.2
91,"Jones, Zay",LVR,WR,76.4,9.7,43.9,372.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,5.0,0.0,37.0,201.0,0.0,9.1,81.9
92,"Sims, Steven",WAS,WR,52.7,6.8,30.7,298.0,2.1,1.7,0.4,0.0,0.0,0.0,0.0,1.2,0.6,0.2,0.1,41.0,0.6,17.0,489.0,0.0,5.6,81.1
93,"Edwards, Bryan",LVR,WR,72.7,8.8,43.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.7,0.2,0.1,3.0,0.0,61.0,26.0,0.0,6.7,80.8
94,"Higgins, Rashard",CLE,WR,40.5,6.0,23.9,366.0,3.3,0.8,1.3,0.5,0.0,0.7,0.0,1.5,0.7,0.2,0.1,0.0,0.0,9.0,10.0,0.2,5.4,79.8
95,"Harmon, Kelvin",WAS,WR,52.4,6.1,32.1,367.0,1.5,1.3,0.2,0.0,0.0,0.0,0.0,1.5,0.7,0.2,0.1,-1.4,0.0,8.0,81.0,0.0,4.3,77.5
96,"Pittman Jr., Michael",IND,WR,56.9,7.9,20.6,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.1,5.0,0.0,57.0,158.0,0.0,3.3,73.6
97,"Cole, Keelan",JAC,WR,46.8,6.9,23.9,355.0,2.2,1.4,0.8,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,7.0,0.0,0.0,113.0,0.0,4.0,73.4
98,"Robinson, Demarcus",KCC,WR,48.1,6.2,23.8,318.0,2.8,0.0,0.6,0.8,0.4,0.7,0.2,1.3,0.6,0.2,0.1,1.0,0.0,36.0,191.0,0.0,7.1,72.5
99,"Ward, Greg",PHI,WR,55.6,6.9,35.9,330.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,12.0,0.0,35.0,0.0,0.0,5.1,72.1
100,"Patrick, Tim",DEN,WR,58.0,8.9,28.1,368.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,1.5,0.7,0.2,0.1,6.0,0.0,10.0,-19.4,0.6,3.9,67.9
101,"Johnson, Olabisi",MIN,WR,39.8,5.6,25.9,292.0,1.8,1.5,0.0,0.0,0.0,0.0,0.3,1.2,0.6,0.2,0.1,9.0,0.0,19.0,5.0,0.0,4.7,66.9
102,"Ridley, Riley",CHI,WR,45.9,2.4,28.1,308.0,1.1,0.4,0.0,0.6,0.0,0.0,0.0,1.2,0.6,0.2,0.1,22.0,0.0,0.0,105.0,0.4,3.7,66.6
103,"Tate, Auden",CIN,WR,61.8,10.9,26.6,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,8.5,64.7
104,"Mims, Denzel",NYJ,WR,64.4,6.6,30.7,294.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.2,0.6,0.2,0.1,0.0,0.0,0.0,70.0,0.4,2.5,63.1
105,"Boykin, Miles",BAL,WR,40.5,5.1,19.8,264.0,2.6,2.6,0.0,0.0,0.0,0.0,0.0,1.1,0.5,0.2,0.1,-1.0,0.0,0.0,30.0,0.0,4.1,61.6
106,"Meyers, Jakobi",NEP,WR,51.0,3.8,26.6,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,13.0,0.0,0.0,11.0,0.0,5.2,61.1
107,"Shenault, Laviska",JAC,WR,50.9,5.5,24.8,285.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.1,0.6,0.2,0.1,10.0,0.0,18.0,25.0,1.7,4.1,54.9
108,"Watson, Justin",TBB,WR,38.8,4.1,19.4,209.0,1.7,1.1,0.6,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,2.0,0.0,15.0,60.0,0.0,2.7,51.1
109,"Reed, Joe",LAC,WR,44.4,3.1,19.5,263.0,0.9,0.5,0.0,0.0,0.4,0.0,0.0,1.1,0.5,0.2,0.1,9.0,0.0,0.0,0.0,0.4,2.1,51.0
110,"Hurd, Jalen",SFO,WR,34.8,2.4,21.2,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.6,0.2,0.1,2.0,0.0,47.0,70.0,0.0,0.8,49.9
111,"Hamler, KJ",DEN,WR,50.1,5.9,23.3,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.1,-1.5,0.0,13.0,8.0,0.0,3.1,49.1
112,"Johnson, KeeSean",ARI,WR,47.8,5.5,22.3,215.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,8.0,0.0,39.0,160.0,1.2,2.8,48.2
113,"Blake, Christian",ATL,WR,50.8,3.7,25.1,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.1,0.1,4.0,0.0,8.0,20.0,0.0,1.4,47.9
114,"McKenzie, Isaiah",BUF,WR,37.0,5.7,24.7,193.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,28.0,0.0,39.0,136.0,0.0,1.8,47.5
115,"Pettis, Dante",NYG,WR,35.5,4.5,15.7,162.0,2.1,1.2,0.0,0.9,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,40.0,0.0,6.6,44.6
116,"Gandy-Golden, Antonio",WAS,WR,44.0,5.2,21.3,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,7.0,0.0,28.0,31.0,0.0,2.4,43.8
117,"Sharpe, Tajae",MIN,WR,23.0,2.5,14.1,180.0,1.7,1.4,0.0,0.0,0.3,0.0,0.0,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.2,42.0
118,"Hamilton, DaeSean",DEN,WR,40.5,4.2,19.6,204.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.1,0.1,2.0,0.0,54.0,83.0,0.0,1.8,41.2
119,"Ginn Jr., Ted",FA,WR,33.7,5.2,14.4,193.0,1.1,0.5,0.0,0.0,0.5,0.0,0.0,0.8,0.4,0.1,0.1,9.0,0.0,0.0,25.0,0.0,3.4,41.0
120,"Agholor, Nelson",LVR,WR,36.7,3.1,18.0,154.0,1.1,0.5,0.0,0.5,0.0,0.0,0.0,0.6,0.3,0.1,0.0,4.0,0.0,11.0,43.0,0.6,2.3,40.6
121,"Moore, David",SEA,WR,27.8,4.5,13.4,230.0,0.9,0.0,0.4,0.0,0.0,0.0,0.5,0.9,0.5,0.2,0.1,15.0,0.0,63.0,0.0,1.4,3.8,40.4
122,"Raymond, Kalif",TEN,WR,30.4,6.7,14.4,215.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.4,0.1,0.1,-6.8,0.0,67.0,494.0,1.6,2.1,37.6
123,"Patterson, Cordarrelle",CHI,WR,22.6,4.1,13.6,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,104.0,0.0,0.0,736.0,0.0,6.0,36.4
124,"Wims, Javon",CHI,WR,36.5,6.6,14.3,143.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.4,35.2
125,"Ratley, Damion",FA,WR,27.1,5.7,13.6,181.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.7,0.4,0.1,0.1,4.0,0.0,15.0,258.0,0.0,4.3,34.8
126,"Grant, Jakeem",MIA,WR,31.6,0.6,15.5,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,1.0,0.2,5.0,400.0,0.0,0.4,33.1
127,"Wilson, Cedrick",DAL,WR,24.5,1.9,14.5,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,10.0,0.0,35.0,12.0,0.0,1.9,30.2
128,"Moore, Chris",BAL,WR,18.4,0.6,12.1,142.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,9.0,0.0,16.0,384.0,0.0,0.5,30.2
129,"Roberts, Seth",FA,WR,23.2,2.3,12.1,125.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,10.0,66.0,0.0,1.6,27.6
130,"James, Richie",SFO,WR,12.1,2.7,6.5,129.0,1.2,0.5,0.0,0.0,0.7,0.0,0.0,0.5,0.3,0.1,0.0,-1.3,0.0,134.0,438.0,0.7,3.0,25.8
131,"Turner, Malik",DAL,WR,16.7,1.5,10.2,151.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,38.0,0.0,1.7,25.8
132,"Cooper, Pharoh",CAR,WR,24.4,2.2,14.1,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,-1.9,0.0,117.0,398.0,0.0,0.0,25.7
133,"Hall, Marvin",DET,WR,16.0,0.0,8.0,160.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.3,0.1,0.0,-2.7,0.0,18.0,183.0,0.0,0.2,25.0
134,"Zaccheaus, Olamide",ATL,WR,12.6,0.5,6.9,138.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.3,0.1,0.0,-0.3,0.0,20.0,31.0,0.4,1.1,24.8
135,"Austin, Tavon",FA,WR,16.5,0.5,7.2,88.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.2,0.1,0.0,20.0,0.5,40.0,12.0,0.0,1.9,22.9
136,"Taylor, Trent",SFO,WR,17.0,2.4,10.3,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,89.0,134.0,0.0,1.2,22.6
137,"Isabella, Andy",ARI,WR,14.5,1.8,8.6,103.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.1,0.0,18.0,0.0,0.0,100.0,0.0,2.9,21.8
138,"Arcega-Whiteside, JJ",PHI,WR,18.3,2.8,7.2,133.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.8,21.5
139,"Sherfield, Trent",ARI,WR,19.6,2.2,8.2,129.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,17.0,0.0,1.0,21.4
140,"Core, Cody",NYG,WR,17.5,2.2,9.6,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,3.0,0.0,28.0,359.0,0.0,1.5,21.0
141,"Claypool, Chase",PIT,WR,31.9,3.8,10.4,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,7.0,0.0,83.0,133.0,0.0,2.0,19.5
142,"Hollins, Mack",MIA,WR,23.5,2.5,8.3,87.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,6.0,16.0,0.0,0.6,18.9
143,"Carter, DeAndre",CHI,WR,12.1,1.8,10.2,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,4.0,0.0,201.0,285.0,0.8,1.2,18.8
144,"Hodge, KhaDarel",CLE,WR,13.6,1.5,6.6,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,15.0,0.0,0.8,17.9
145,"Hogan, Chris",NYJ,WR,20.5,1.4,9.1,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,2.0,0.0,43.0,60.0,0.0,1.1,17.3
146,"Smith, Vyncint",NYJ,WR,11.6,0.7,6.0,45.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1,0.0,0.0,15.0,0.6,0.0,49.0,0.0,1.5,16.8
147,"Harris, Deonte",NOS,WR,7.2,0.4,6.4,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,30.0,0.0,287.0,676.0,0.4,1.3,15.3
148,"Brown, Noah",DAL,WR,13.3,1.9,6.1,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,48.0,0.0,1.9,12.9
149,"Cephus, Quintez",DET,WR,18.0,1.4,4.9,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,27.0,28.0,0.0,0.0,12.8
150,"Jefferson, Van",LAR,WR,13.1,0.8,5.6,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.0,0.0,9.0,81.0,0.0,1.0,12.7
151,"Roberts, Andre",BUF,WR,10.6,1.5,5.9,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,4.0,0.0,199.0,594.0,0.0,1.4,12.7
152,"Higgins, Tee",CIN,WR,23.3,2.7,6.6,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,9.0,0.0,19.0,185.0,1.5,1.7,9.9
153,"Pringle, Byron",KCC,WR,6.0,0.8,3.6,42.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.0,1.0,0.0,1.0,46.0,0.0,0.8,8.5
154,"Berrios, Braxton",NYJ,WR,6.4,0.1,2.9,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,183.0,107.0,0.1,0.5,8.2
