Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
135,"Holmes, Darney",NYG,CLE,DB,1.1,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6
136,"Burns, Artie",CHI,@MIN,DB,0.9,0.3,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,1.6
137,"Gaines, Phillip",HOU,@IND,DB,1.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
138,"Williams, Tramon",BAL,JAC,DB,1.1,0.4,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1.6
139,"Dennard, Darqueze",ATL,TBB,DB,1.1,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.5
140,"Bassey, Essang",DEN,BUF,DB,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
141,"Lewis, Ryan",NYG,CLE,DB,1.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.3
142,"Wreh-Wilson, Blidi",ATL,TBB,DB,0.5,0.2,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.3
143,"Jackson, Chris",TEN,DET,DB,0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
144,"Moore, Tarvarius",SFO,@DAL,DB,0.5,0.3,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,1.1
145,"Campbell, Tevaughn",LAC,@LVR,DB,0.5,0.4,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,1.0
146,"Thomas, Tavierre",CLE,@NYG,DB,0.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8
147,"Johnson, Isaiah",LVR,LAC,DB,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7
148,"Armstrong, Cornell",HOU,@IND,DB,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
149,"Watson, Brandon",JAC,@BAL,DB,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
150,"Hollman, Ka'dar",GBP,CAR,DB,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6
151,"Bausby, DeVante",DEN,BUF,DB,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6
152,"Hamilton, Antonio",KCC,@NOS,DB,0.4,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6
153,"Worley, Daryl",BUF,@DEN,DB,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6
154,"Layne, Justin",PIT,@CIN,DB,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
155,"Taylor, Jamar",SFO,@DAL,DB,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
156,"Williams, Joejuan",NEP,@MIA,DB,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
157,"Kalu, Joshua",TEN,DET,DB,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.4
158,"Johnson, Dontae",SFO,@DAL,DB,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4
159,"Rodgers, Isaiah",IND,HOU,DB,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,0.3
160,"Hand, Harrison",MIN,CHI,DB,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
161,"Robertson, Amik",LVR,LAC,DB,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
162,"Brooks, Nate",MIA,NEP,DB,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
163,"Hayes, Tae",MIA,NEP,DB,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3
164,"Orr, Kareem",TEN,DET,DB,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
165,"Ballentine, Corey",NYJ,@LAR,DB,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.3
166,"Jones, Chris",MIN,CHI,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
167,"Dawson, Duke",DEN,BUF,DB,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2
168,"Harper, Madre",NYG,CLE,DB,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
169,"Thomas-Oliver, Stantley",CAR,@GBP,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
170,"Scott, Josiah",JAC,@BAL,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
171,"Nixon, Keisean",LVR,LAC,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1
172,"Miller, Jordan",ATL,TBB,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
173,"Brown, Tony",CIN,PIT,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
174,"Johnson, Danny",WAS,SEA,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.1
175,"Crossen, Keion",HOU,@IND,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
176,"Stewart, M.J.",CLE,@NYG,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
177,"Cockrell, Ross",TBB,@ATL,DB,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
178,"Wilkins, Mazzi",TBB,@ATL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,"Webster, Ken",SFO,@DAL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,"Harris, Davontae",BAL,JAC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,"McTyer, Torry",CIN,PIT,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,"Smith, Ryan",TBB,@ATL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,"Aikens, Walt",TEN,DET,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

