Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
39,"Lindsay, Phillip",DEN,RB,178.1,776.0,4.1,2.9,0.0,0.6,0.6,0.0,0.0,5.1,1.6,0.5,0.2,45.8,5.4,31.7,161.0,0.2,0.6,0.3,0.0,0.0,0.0,10.6,151.2
40,"Hines, Nyheim",IND,RB,78.8,335.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,79.0,6.2,57.5,394.0,0.0,1.6,0.8,600.0,190.0,1.5,14.1,151.1
41,"Jackson, Justin",LAC,RB,113.9,502.0,2.6,1.9,0.5,0.2,0.0,0.0,0.0,2.0,1.0,0.3,0.1,61.7,7.0,46.3,311.0,1.6,1.2,0.6,0.0,11.0,0.9,14.4,150.7
42,"Scott, Boston",PHI,RB,136.0,572.0,2.8,2.8,0.0,0.0,0.0,0.0,0.0,2.3,1.1,0.4,0.1,51.0,3.4,44.5,298.0,0.3,1.2,0.6,34.0,348.0,0.0,13.4,150.0
43,"Murray, Latavius",NOS,RB,156.6,672.0,4.1,2.0,0.6,0.9,0.6,0.0,0.0,2.7,1.3,0.4,0.2,39.7,5.6,29.2,209.0,0.8,0.8,0.4,3.0,0.0,0.0,14.9,146.7
44,"Michel, Sony",NEP,RB,197.9,828.0,6.5,5.3,0.8,0.0,0.3,0.0,0.0,7.8,1.7,0.6,0.2,15.4,3.7,10.7,82.0,0.0,0.3,0.2,0.0,13.0,1.1,22.2,138.5
45,"Samuels, Jaylen",PIT,RB,94.7,330.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,61.9,10.6,50.0,341.0,2.7,1.4,0.7,0.0,2.0,0.9,10.1,135.3
46,"McKissic, J.D.",WAS,RB,112.8,496.0,2.6,1.9,0.7,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1,46.6,2.4,34.7,298.0,0.9,1.2,0.6,0.0,10.0,1.3,8.7,132.3
47,"Jones, Ronald",TBB,RB,133.6,532.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,2.1,1.1,0.4,0.1,38.0,1.2,25.3,242.0,0.0,1.0,0.5,0.0,0.0,1.2,6.5,127.2
48,"Mattison, Alexander",MIN,RB,164.1,676.0,1.3,0.3,0.9,0.0,0.0,0.0,0.0,2.7,1.4,0.5,0.2,34.2,2.4,27.8,192.0,0.0,0.8,0.4,0.0,39.0,1.0,20.3,120.1
49,"Williams, Jamaal",GBP,RB,87.3,355.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.2,0.1,40.3,5.8,34.7,215.0,3.8,0.9,0.4,0.0,2.0,0.0,7.8,119.9
50,"Burkhead, Rex",NEP,RB,81.1,343.0,3.5,2.6,0.0,0.0,0.9,0.0,0.0,1.4,0.7,0.2,0.1,40.2,5.2,30.7,322.0,0.7,1.3,0.6,0.0,16.0,1.6,10.8,119.5
51,"Breida, Matt",MIA,RB,163.4,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.3,0.4,0.2,44.4,3.9,33.4,214.0,0.0,0.9,0.4,0.0,0.0,1.0,5.5,118.3
