Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
68,"Crawley, Ken",NOR,@TBB,DB,3.4,0.8,0.,0.9,0.1,0.,0.,0.,0.,0.,4.9
69,"McLeod, Rodney",PHI,@DAL,DB,3.6,1.1,0.1,0.4,0.1,0.,0.,0.,0.,0.,4.9
70,"Bradberry, James",CAR,@CLE,DB,3.6,1.,0.,0.5,0.1,0.1,0.,0.,0.,0.,4.9
71,"Conte, Chris",TBB,NOR,DB,3.7,0.8,0.,0.5,0.1,0.1,0.,0.,0.4,0.,4.9
72,"James, Derwin",LAC,CIN,DB,3.2,0.8,0.,0.7,0.3,0.,0.,0.,0.,0.6,4.9
73,"Nelson, Reggie",OAK,PIT,DB,3.7,1.5,0.,0.2,0.,0.1,0.,0.,0.,0.,4.8
74,"Parker, Ron",KCC,BAL,DB,3.9,0.7,0.,0.3,0.1,0.,0.,0.,0.,0.,4.8
75,"Jenkins, Janoris",NYG,@WAS,DB,3.,0.5,0.,1.,0.2,0.1,0.,0.,0.,0.,4.8
76,"Witherspoon, Ahkello",SFO,DEN,DB,3.4,0.5,0.,0.7,0.2,0.1,0.,0.,0.,0.,4.8
77,"Bates, Jessie",CIN,@LAC,DB,3.6,1.1,0.,0.5,0.,0.,0.,0.,0.2,0.9,4.7
78,"Clinton-Dix, Hasean",GBP,ATL,DB,3.6,0.8,0.,0.4,0.1,0.,0.,0.,0.,0.,4.7
79,"Edmunds, Terrell",PIT,@OAK,DB,3.3,1.1,0.,0.6,0.,0.1,0.,0.,0.,0.,4.7
80,"Gilmore, Stephon",NEP,@MIA,DB,3.1,0.4,0.1,1.,0.1,0.1,0.,0.,0.,0.,4.7
81,"Norman, Josh",WAS,NYG,DB,3.2,1.1,0.,0.7,0.,0.1,0.,0.,0.,0.,4.6
82,"Skrine, Buster",NYJ,@BUF,DB,3.5,0.5,0.,0.6,0.,0.1,0.1,0.,0.,0.,4.6
83,"Mathieu, Tyrann",HOU,IND,DB,3.4,0.7,0.1,0.4,0.2,0.1,0.,0.,0.,0.,4.6
84,"Jackson, Kareem",HOU,IND,DB,3.1,1.,0.,0.6,0.2,0.,0.,0.,0.,0.,4.6
85,"Rowe, Eric",NEP,@MIA,DB,3.3,0.5,0.,0.7,0.2,0.,0.,0.,0.,0.,4.6
