"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Punt Ret Yds","Kick Ret Yds","Pts"
177,"McManis, Sherrick","CHI","MIN","DB",1.,0.1,0.1,0.4,0.1,0.,0.,0.,0.,0.,1.7
178,"Johnson, Lonnie","HOU","CAR","DB",1.,0.5,0.,0.3,0.,0.,0.,0.,0.,0.,1.5
179,"Odum, George","IND","OAK","DB",1.1,0.6,0.,0.1,0.,0.,0.,0.,0.,0.,1.5
180,"Whitehead, Jermaine","CLE","@BAL","DB",1.1,0.5,0.,0.1,0.,0.,0.,0.,0.,0.,1.5
181,"Johnson, Kevin","BUF","NEP","DB",1.1,0.6,0.,0.1,0.,0.,0.,0.,0.,0.,1.5
182,"Phillips, Darius","CIN","@PIT","DB",1.1,0.,0.,0.1,0.,0.1,0.,0.,2.,0.,1.4
183,"Levine, Anthony","BAL","CLE","DB",0.9,0.1,0.1,0.4,0.,0.,0.,0.,0.,0.,1.4
184,"Gardner-Johnson, Chauncey","NOS","DAL","DB",1.,0.3,0.,0.1,0.,0.,0.,0.,0.,0.,1.3
185,"Rowe, Eric","MIA","LAC","DB",0.9,0.4,0.,0.1,0.,0.,0.,0.,0.,0.,1.3
186,"Sendejo, Andrew","PHI","@GBP","DB",1.1,0.2,0.,0.1,0.,0.,0.,0.,0.,0.,1.3
187,"Robinson, Patrick","NOS","DAL","DB",0.9,0.2,0.1,0.2,0.,0.,0.,0.,0.,0.,1.3
188,"Willis, Khari","IND","OAK","DB",0.8,0.5,0.,0.1,0.,0.,0.,0.,0.,0.,1.2
189,"Bush, Deon","CHI","MIN","DB",0.9,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,1.2
190,"Rapp, Taylor","LAR","TBB","DB",0.9,0.2,0.,0.1,0.,0.,0.,0.,0.,0.,1.1
191,"Sutton, Cameron","PIT","CIN","DB",0.8,0.1,0.,0.1,0.1,0.1,0.,0.,0.,1.,1.1
192,"Kearse, Jayron","MIN","@CHI","DB",0.9,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,1.1
193,"Jones, Colin","CAR","@HOU","DB",0.7,0.6,0.,0.1,0.1,0.,0.,0.,0.,0.,1.1
194,"Layne, Justin","PIT","CIN","DB",0.6,0.3,0.,0.2,0.,0.,0.,0.,0.,0.,1.
195,"Yiadom, Isaac","DEN","JAC","DB",0.8,0.2,0.,0.1,0.,0.,0.,0.,0.,0.,1.
196,"Murray, Eric","CLE","@BAL","DB",0.9,0.2,0.,0.,0.,0.,0.,0.,0.,0.,1.
197,"Chandler, Sean","NYG","WAS","DB",0.7,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.9
198,"Walker, Tracy","DET","KCC","DB",0.6,0.1,0.,0.1,0.1,0.,0.,0.,0.,0.,0.9
199,"Hill, Delano","SEA","@ARZ","DB",0.6,0.4,0.,0.1,0.,0.,0.,0.,0.,0.,0.9
200,"Stewart, Darian","TBB","@LAR","DB",0.7,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.9
201,"Hooker, Amani","TEN","@ATL","DB",0.5,0.4,0.,0.1,0.,0.,0.,0.,0.,0.,0.8
202,"Lewis, Jourdan","DAL","@NOS","DB",0.5,0.,0.,0.1,0.1,0.,0.,0.,0.,7.,0.8
203,"Christian, Marqui","LAR","TBB","DB",0.7,0.3,0.,0.,0.,0.,0.,0.,1.,0.,0.8
204,"Sims, LeShaun","TEN","@ATL","DB",0.7,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.8
205,"Smith, Tye","TEN","@ATL","DB",0.7,0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.8
206,"Melvin, Rashaan","DET","KCC","DB",0.6,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.8
207,"Rodgers-Cromartie, Dominique","WAS","@NYG","DB",0.6,0.2,0.,0.1,0.,0.,0.,0.,0.,0.,0.8
208,"Toliver, Kevin","CHI","MIN","DB",0.5,0.,0.,0.2,0.,0.,0.,0.,0.,0.,0.7
209,"Agnew, Jamal","DET","KCC","DB",0.6,0.,0.,0.1,0.,0.,0.,0.,9.,23.,0.7
210,"Burns, Artie","PIT","CIN","DB",0.6,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.7
211,"Gaulden, Rashaan","CAR","@HOU","DB",0.5,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.6
212,"Clark, Chuck","BAL","CLE","DB",0.4,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.5
213,"Elliott, Javien","CAR","@HOU","DB",0.5,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.5
214,"Herndon, Tre","JAC","@DEN","DB",0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4
215,"Gaines, Phillip","CLE","@BAL","DB",0.3,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.4
216,"Wreh-Wilson, Blidi","ATL","TEN","DB",0.3,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.4
217,"Crossen, Keion","HOU","CAR","DB",0.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3
