Kirk Cousins,MIN,488.0,330.5,"3,728.5",25.0,10.0,35.5,88.5,1.0,6.0,232.0
,high,520.0,348.0,"3,845.0",25.0,9.0,43.0,103.0,1.0,6.0,305.7
,low,456.0,313.0,"3,612.0",25.0,11.0,28.0,74.0,1.0,6.0,238.8
Jimmy Garoppolo,SF,475.0,314.0,"3,792.0",26.0,15.5,41.0,64.0,1.0,4.0,229.1
,high,494.0,321.0,"3,855.0",26.0,12.0,51.0,73.0,1.0,4.0,308.3
,low,456.0,307.0,"3,729.0",26.0,19.0,31.0,55.0,1.0,4.0,228.5
Drew Lock,DEN,530.0,336.5,"3,688.5",22.5,13.5,47.5,188.5,1.0,4.0,227.4
,high,538.0,344.0,"3,829.0",23.0,12.0,59.0,225.0,2.0,4.0,299.9
,low,522.0,329.0,"3,548.0",22.0,15.0,36.0,152.0,0.0,4.0,230.4
Teddy Bridgewater,CAR,563.5,359.5,"3,921.5",22.0,15.0,23.0,49.0,0.5,0.0,222.8
,high,599.0,381.0,"4,092.0",22.0,15.0,34.0,85.0,1.0,0.0,290.1
,low,528.0,338.0,"3,751.0",22.0,15.0,12.0,13.0,0.0,0.0,223.0
Philip Rivers,IND,535.5,336.5,"3,854.0",24.5,14.0,16.5,31.0,0.0,3.0,221.3
,high,543.0,353.0,"4,180.0",25.0,12.0,21.0,43.0,0.0,3.0,306.9
,low,528.0,320.0,"3,528.0",24.0,16.0,12.0,19.0,0.0,3.0,221.4
Derek Carr,LV,481.5,326.0,"3,677.5",21.5,10.5,25.0,64.0,1.5,5.0,217.5
,high,482.0,344.0,"3,796.0",23.0,10.0,26.0,65.0,2.0,5.0,270.5
,low,481.0,308.0,"3,559.0",20.0,11.0,24.0,63.0,1.0,5.0,240.1
Sam Darnold,NYJ,506.5,314.0,"3,539.5",22.0,18.0,44.5,111.5,1.5,3.0,207.7
,high,516.0,330.0,"3,597.0",22.0,14.0,47.0,117.0,2.0,3.0,279.8
,low,497.0,298.0,"3,482.0",22.0,22.0,42.0,106.0,1.0,3.0,210.5
Tyrod Taylor,LAC,417.0,266.5,"3,158.0",18.5,12.0,52.0,235.5,1.5,2.0,204.9
,high,488.0,315.0,"3,891.0",23.0,7.0,56.0,245.0,2.0,2.0,242.2
,low,346.0,218.0,"2,425.0",14.0,17.0,48.0,226.0,1.0,2.0,213.8
