,low,517.0,364.5,"4,021.2",29.9,9.0,19.9,11.2,1.0,2.6,265.8
Tom Brady,TB,569.8,364.2,"4,291.5",28.9,9.7,24.3,30.3,1.3,3.1,272.4
,high,575.7,366.0,"4,413.0",30.8,9.4,24.5,33.0,1.6,3.1,325.8
,low,564.0,362.4,"4,170.0",27.0,10.0,24.0,27.6,1.0,3.1,287.0
Carson Wentz,PHI,538.9,348.4,"3,961.6",26.4,8.1,62.2,232.0,1.9,5.3,271.5
,high,549.0,357.0,"4,118.0",26.7,7.0,70.0,251.0,2.0,5.3,347.0
,low,528.7,339.8,"3,805.3",26.0,9.1,54.3,213.1,1.7,5.3,261.8
Aaron Rodgers,GB,558.3,351.3,"4,009.0",25.7,7.3,43.4,199.9,1.1,3.4,268.5
,high,582.0,366.0,"4,130.0",26.0,6.0,44.0,205.8,1.2,3.4,335.9
,low,534.6,336.7,"3,888.0",25.4,8.6,42.7,194.0,1.0,3.4,261.3
Matthew Stafford,DET,559.4,360.0,"4,282.3",27.6,10.8,28.3,96.3,0.8,3.8,267.2
,high,581.0,377.0,"4,355.0",28.0,10.6,33.6,123.5,1.0,3.8,342.7
,low,537.8,343.0,"4,209.6",27.3,11.0,23.0,69.0,0.6,3.8,264.9
Cam Newton,NE,493.8,305.8,"3,505.1",21.3,12.1,104.4,407.6,3.7,4.2,256.0
,high,509.5,315.6,"3,570.2",22.0,12.0,122.0,438.1,4.0,4.2,321.7
,low,478.0,296.0,"3,440.0",20.5,12.1,86.7,377.0,3.5,4.2,257.0
Jared Goff,LAR,586.0,374.8,"4,372.3",23.3,13.6,34.9,69.5,1.4,4.6,247.2
,high,591.0,378.0,"4,433.0",25.0,13.2,39.0,75.0,1.8,4.6,335.2
,low,580.9,371.6,"4,311.6",21.7,14.0,30.8,63.9,1.0,4.6,240.7
Daniel Jones,NYG,536.3,336.0,"3,681.5",24.5,13.6,55.4,284.8,2.1,6.0,246.9
,high,537.6,340.1,"3,726.0",25.0,13.1,59.0,303.0,2.2,6.0,324.2
,low,535.0,332.0,"3,637.0",23.9,14.0,51.8,266.7,2.0,6.0,246.2
Ryan Tannehill,TEN,453.1,297.1,"3,538.1",23.9,11.0,53.1,208.9,2.2,4.0,241.1
,high,468.0,304.0,"3,651.0",24.0,10.9,58.3,211.0,2.3,4.0,311.7
,low,438.2,290.2,"3,425.1",23.8,11.0,48.0,206.8,2.0,4.0,237.1
Ben Roethlisberger,PIT,520.8,336.1,"3,909.6",26.2,13.1,23.1,56.1,1.0,3.5,239.3
,high,529.6,339.2,"3,940.0",27.0,12.3,27.1,73.2,1.0,3.5,314.9
,low,512.0,333.0,"3,879.1",25.3,14.0,19.0,39.0,1.0,3.5,238.1
Gardner Minshew II,JAC,526.8,323.3,"3,692.7",20.5,10.3,63.0,305.2,1.5,5.4,237.6
,high,533.0,326.5,"3,710.4",23.0,9.5,70.0,321.0,2.0,5.4,319.9
,low,520.6,320.0,"3,675.0",17.9,11.0,55.9,289.4,0.9,5.4,224.8
