"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
183,"Ross, Daniel","DAL","@PHI","DL",0.3,0.5,0.,0.,0.,0.1,0.1,0.,0.8
184,"Stewart, Grover","IND","CAR","DL",0.4,0.7,0.,0.,0.,0.,0.,0.,0.8
185,"Daniels, Mike","DET","@DEN","DL",0.5,0.3,0.,0.,0.,0.,0.,0.,0.8
186,"Alualu, Tyson","PIT","@NYJ","DL",0.6,0.4,0.,0.,0.,0.,0.,0.,0.8
187,"Stallworth, Taylor","NOS","@TEN","DL",0.5,0.1,0.1,0.,0.,0.,0.,0.,0.7
188,"Green, Rasheem","SEA","ARZ","DL",0.6,0.,0.,0.,0.,0.,0.,0.,0.7
189,"Hendrickson, Trey","NOS","@TEN","DL",0.6,0.2,0.,0.,0.,0.,0.,0.,0.7
190,"Butler, Vernon","CAR","@IND","DL",0.4,0.6,0.,0.,0.,0.,0.,0.,0.7
191,"Buggs, Isaiah","PIT","@NYJ","DL",0.4,0.2,0.,0.1,0.,0.,0.,0.,0.6
192,"Fatukasi, Foley","NYJ","PIT","DL",0.4,0.3,0.,0.,0.,0.,0.,0.,0.6
193,"Armstrong, Dorance","DAL","@PHI","DL",0.3,0.4,0.,0.,0.,0.,0.,0.,0.6
194,"Fox, Morgan","LAR","@SFO","DL",0.5,0.1,0.,0.,0.,0.,0.,0.,0.6
195,"Jernigan, Timmy","PHI","DAL","DL",0.3,0.4,0.1,0.,0.,0.,0.,0.,0.6
196,"Poe, Dontari","CAR","@IND","DL",0.4,0.4,0.,0.,0.,0.,0.,0.,0.6
197,"Jones, Dre'Mont","DEN","DET","DL",0.3,0.3,0.,0.,0.,0.,0.,0.,0.5
198,"Simmons, Jeffery","TEN","NOS","DL",0.3,0.3,0.,0.,0.,0.,0.,0.,0.5
199,"Tupou, Josh","CIN","@MIA","DL",0.3,0.3,0.,0.,0.,0.,0.,0.,0.5
200,"Kpassagnon, Tanoh","KCC","@CHI","DL",0.4,0.1,0.1,0.,0.,0.,0.,0.,0.5
201,"Brantley, Caleb","WAS","NYG","DL",0.3,0.4,0.,0.,0.,0.,0.,0.,0.5
202,"Nunez-Roches, Rakeem","TBB","HOU","DL",0.3,0.4,0.,0.,0.,0.,0.,0.,0.5
203,"Mack, Daylon","BAL","@CLE","DL",0.2,0.3,0.,0.,0.,0.,0.,0.,0.4
204,"Taylor, Jullian","SFO","LAR","DL",0.3,0.2,0.,0.,0.,0.,0.,0.,0.4
205,"Johnson, Jaleel","MIN","GBP","DL",0.2,0.3,0.,0.,0.,0.1,0.,0.,0.4
206,"Edwards, Mario","NOS","@TEN","DL",0.2,0.,0.1,0.,0.,0.,0.,0.,0.4
207,"Ward, Jihad","IND","CAR","DL",0.1,0.,0.1,0.,0.,0.,0.,0.,0.3
208,"Davison, Tyeler","ATL","JAC","DL",0.1,0.3,0.,0.,0.,0.,0.,0.,0.3
209,"Omenihu, Charles","HOU","@TBB","DL",0.2,0.1,0.,0.,0.,0.,0.,0.,0.2
210,"Niles, Scott","CIN","@MIA","DL",0.2,0.,0.,0.,0.,0.,0.,0.,0.2
211,"Holmes, Jalyn","MIN","GBP","DL",0.1,0.,0.,0.,0.,0.,0.,0.,0.2
212,"Woods, Al","SEA","ARZ","DL",0.1,0.2,0.,0.,0.,0.,0.,0.,0.2
213,"Settle, Tim","WAS","NYG","DL",0.1,0.1,0.,0.,0.,0.,0.,0.,0.1
214,"Rivers, Derek","NEP","BUF","DL",0.,0.,0.,0.,0.,0.,0.,0.,0.1
215,"Smoot, Dawuane","JAC","@ATL","DL",0.1,0.,0.,0.,0.,0.,0.,0.,0.1
216,"Covington, Christian","DAL","@PHI","DL",0.1,0.1,0.,0.,0.,0.,0.,0.,0.1
217,"Attaochu, Jeremiah","KCC","@CHI","DL",0.,0.,0.,0.,0.,0.,0.,0.,0.1
218,"McCullers, Daniel","PIT","@NYJ","DL",0.1,0.1,0.,0.,0.,0.,0.,0.,0.1
219,"Keke, Kingsley","GBP","@MIN","DL",0.,0.,0.,0.,0.,0.,0.,0.,0.
220,"Hyder, Kerry","DAL","@PHI","DL",0.,0.,0.,0.,0.,0.,0.,0.,0.
221,"Ridgeway, Hassan","PHI","DAL","DL",0.,0.,0.,0.,0.,0.,0.,0.,0.
222,"Calhoun, Shilique","NEP","BUF","DL",0.,0.,0.,0.,0.,0.,0.,0.,0.
223,"Liuget, Corey","OAK","@LAC","DL",0.,0.,0.,0.,0.,0.,0.,0.,0.
"","","","","","","","","","","","","",""
