Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
146,"Boddy-Calhoun, Briean",CLE,DB,34.7,10.2,0.,8.8,1.,0.,0.,0.,0.,0.,50.6
147,"Williams, K'Waun",SFO,DB,35.3,9.9,0.9,5.1,0.7,1.7,1.1,0.,0.,0.,50.3
148,"Allen, Ricardo",ATL,DB,35.1,17.5,0.,2.2,1.7,0.7,0.,0.,0.,0.,50.1
149,"Lawson, Nevin",DET,DB,38.9,9.8,0.,4.3,0.2,0.7,0.5,0.1,26.2,0.,49.7
150,"King, Kevin",GBP,DB,35.9,11.7,0.3,6.6,0.5,0.,0.,0.,11.2,0.,49.7
151,"Tankersley, Cordrea",MIA,DB,36.4,9.9,0.,7.2,0.,0.,0.,0.,0.,0.,48.6
152,"Haden, Joe",PIT,DB,31.9,6.5,0.2,9.4,1.5,0.,0.,0.,0.,0.,47.8
153,"Humphrey, Marlon",BAL,DB,31.1,6.4,0.8,10.2,0.8,0.5,0.,0.,1.9,0.,47.4
154,"McCain, Bobby",MIA,DB,29.4,12.9,1.,7.1,1.6,0.,0.,0.,0.,0.,47.1
155,"Butler, Malcolm",TEN,DB,32.2,4.,0.7,7.3,0.7,1.6,0.,0.,26.8,59.1,45.2
156,"Reid, Justin",HOU,DB,36.2,13.6,0.,1.4,0.,0.,0.,0.,0.,0.,44.5
157,"Robinson, Rashard",NYJ,DB,31.3,8.8,0.,4.,1.3,1.1,0.9,0.,0.,0.,44.4
158,"Tabor, Teez",DET,DB,37.7,9.5,0.,1.8,0.,0.,0.,0.,0.,0.,44.3
159,"Sims, LeShaun",TEN,DB,34.2,3.3,0.,3.9,1.5,0.7,0.5,0.,8.3,75.4,44.
160,"Harris, Chris",DEN,DB,31.1,9.7,0.2,4.1,1.2,1.,0.,0.2,0.,0.,43.7
161,"Riley, Curtis",NYG,DB,29.4,10.4,0.,5.8,1.2,0.6,0.,0.2,0.,0.,43.3
162,"Colvin, Aaron",HOU,DB,33.9,10.,0.,3.3,0.,0.,0.,0.,0.,0.,42.2
163,"Smith, Sean",OAK,DB,32.7,3.4,0.,5.2,1.2,0.,0.,0.,0.,0.,42.1
164,"Gaines, E.J.",CLE,DB,31.8,8.9,0.,4.5,0.,1.2,0.,0.,0.,0.,42.1
165,"Alexander, Jaire",GBP,DB,33.5,8.3,0.,4.4,0.,0.,0.,0.,0.,0.,42.
166,"House, Davon",GBP,DB,32.3,7.3,0.5,3.5,0.3,0.,0.,0.,0.,0.,40.6
167,"Banjo, Chris",NOR,DB,28.9,7.2,0.,6.3,0.8,0.,0.,0.,0.6,0.,40.5
168,"Webster, Kayvon",HOU,DB,30.1,4.4,0.,6.1,0.8,0.,0.,0.,0.,0.,40.
169,"Hairston, Nate",IND,DB,26.2,11.5,1.1,5.6,0.6,0.,0.,0.,0.,0.,39.9
170,"Jones, Jonathan",NEP,DB,26.7,7.1,0.2,8.,0.6,0.,0.,0.,0.,0.,39.7
171,"Parks, Will",DEN,DB,25.7,9.5,0.2,6.5,0.7,0.,0.,0.,0.,0.,38.5
172,"Davis, Carlton",TBB,DB,24.8,12.9,0.,5.9,0.,0.9,0.4,0.,0.,0.,38.5
173,"Deayon, Donte",NYG,DB,27.6,7.2,0.4,5.5,0.5,0.,0.,0.,0.,0.,38.1
174,"McDonald, Dexter",FA,DB,30.,5.1,0.,5.,0.,0.6,0.,0.,0.,0.,38.1
175,"Sherman, Richard",SFO,DB,30.4,6.5,0.5,3.9,0.,0.,0.,0.,0.,0.,38.
176,"Munnerlyn, Captain",CAR,DB,28.1,8.6,1.2,3.8,0.,0.3,0.2,0.,0.,0.,38.
177,"Lippett, Tony",FA,DB,24.6,14.3,0.,4.5,0.4,0.6,0.,0.,0.,0.,37.6
178,"Murray, Eric",KCC,DB,30.,4.5,1.1,3.5,0.,0.,0.,0.,0.,0.,36.9
