Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
78,"Bibbs, Kapri",FA,RB,24.3,119.8,0.,0.,0.,0.,0.,0.,0.,0.5,0.2,0.1,0.,12.8,194.,2.4,0.8,0.4,0.,76.9,0.,2.4,45.9
79,"Prosise, C.J.",SEA,RB,45.4,161.4,0.7,0.,0.,0.,0.,0.,0.7,0.6,0.3,0.1,0.,19.3,241.8,0.,1.,0.5,0.,6.1,0.,5.9,44.6
80,"Foreman, D'Onta",HOU,RB,71.7,292.6,0.9,0.4,0.,0.,0.4,0.,0.,1.2,0.6,0.2,0.1,9.8,84.9,0.,0.3,0.2,5.4,9.9,0.8,4.5,41.4
81,"Davis, Mike",SEA,RB,72.5,226.,0.5,0.5,0.,0.,0.,0.,0.,0.9,0.5,0.2,0.1,16.3,153.,0.,0.6,0.3,0.,0.,0.6,6.2,40.
82,"Rodgers, Jacquizz",TBB,RB,57.6,216.4,0.8,0.8,0.,0.,0.,0.,0.,0.9,0.4,0.1,0.1,14.,118.3,0.2,0.5,0.2,0.,158.7,0.,4.5,39.3
83,"Williams, Kerwynn",FA,RB,83.1,293.5,0.5,0.5,0.,0.,0.,0.,0.,1.2,0.6,0.2,0.1,6.3,52.7,0.,0.2,0.1,67.4,399.8,0.,1.1,37.8
84,"Cunningham, Benny",CHI,RB,11.6,41.1,0.,0.,0.,0.,0.,0.,0.,0.2,0.1,0.,0.,20.5,250.6,1.6,1.,0.5,0.,240.7,0.9,7.2,36.8
85,"Brown, Malcolm",LAR,RB,61.8,241.1,0.6,0.6,0.,0.,0.,0.,0.,1.,0.5,0.2,0.1,10.2,72.2,0.,0.3,0.1,0.,78.8,0.,3.9,35.
86,"Washington, DeAndre",OAK,RB,45.2,125.2,1.5,1.5,0.,0.,0.,0.,0.,0.5,0.3,0.1,0.,22.3,122.1,0.2,0.5,0.2,0.,50.8,0.2,2.6,34.4
87,"Gillislee, Mike",NOR,RB,50.3,194.6,1.5,1.4,0.,0.,0.,0.1,0.,0.8,0.4,0.1,0.,1.6,15.4,0.2,0.1,0.,0.,13.,0.5,4.8,30.4
88,"Ripkowski, Aaron",FA,RB,19.2,64.9,2.7,2.7,0.,0.,0.,0.,0.,0.3,0.1,0.,0.,7.7,61.6,0.2,0.2,0.1,0.,0.,0.9,4.7,28.4
