Aaron Rodgers,GB,549.8,347.6,"4,024.7",26.8,10.2,40.6,193.5,1.2,3.4,267.5
,high,564.9,358.6,"4,161.5",28.1,8.6,42.7,205.8,1.3,3.4,278.8
,low,534.6,336.7,"3,888.0",25.4,11.9,38.5,181.3,1.2,3.4,261.3
Matthew Stafford,DET,558.7,362.5,"4,346.4",26.3,10.2,26.6,104.4,0.6,3.8,265.4
,high,579.7,382.0,"4,483.1",27.3,9.7,33.6,123.5,0.7,3.8,270.0
,low,537.8,343.0,"4,209.6",25.3,10.6,19.7,85.3,0.6,3.8,264.9
Jared Goff,LAR,587.9,374.6,"4,283.5",24.8,13.8,32.1,98.4,1.5,4.6,253.0
,high,594.9,377.5,"4,311.6",28.0,13.2,33.5,133.0,1.8,4.6,267.5
,low,580.9,371.6,"4,255.4",21.7,14.5,30.8,63.9,1.3,4.6,240.7
Ben Roethlisberger,PIT,555.2,360.4,"4,134.4",27.5,13.0,20.2,59.9,0.8,3.5,252.9
,high,580.7,381.5,"4,389.7",29.6,12.3,27.1,73.2,1.0,3.5,272.2
,low,529.6,339.2,"3,879.1",25.3,13.7,13.3,46.7,0.6,3.5,238.1
Daniel Jones,NYG,559.1,352.1,"3,870.2",23.9,13.3,56.6,266.8,2.3,6.0,252.1
,high,580.7,364.1,"4,014.4",24.0,13.1,61.4,267.0,2.3,6.0,259.3
,low,537.6,340.1,"3,726.0",23.9,13.4,51.8,266.7,2.2,6.0,246.2
Ryan Tannehill,TEN,465.9,309.4,"3,686.1",24.2,11.8,60.7,240.6,2.5,4.0,251.4
,high,493.5,328.6,"3,947.1",24.5,10.9,63.1,274.3,2.6,4.0,266.2
,low,438.2,290.2,"3,425.1",23.8,12.6,58.3,206.8,2.3,4.0,237.1
Jimmy Garoppolo,SF,492.9,331.2,"3,816.4",26.6,12.4,40.2,103.5,1.6,4.0,246.1
,high,517.2,346.8,"3,934.9",28.5,12.1,44.8,132.8,1.7,4.0,262.1
,low,468.6,315.7,"3,697.8",24.7,12.8,35.6,74.2,1.5,4.0,230.3
Kirk Cousins,MIN,511.8,343.0,"3,904.8",23.9,9.3,32.7,108.9,1.6,4.3,244.7
,high,527.4,350.6,"4,066.2",26.6,9.2,33.1,125.6,1.8,4.3,265.1
,low,496.3,335.4,"3,743.5",21.2,9.4,32.3,92.2,1.3,4.3,227.0
Derek Carr,LV,537.4,358.1,"3,963.0",24.1,10.0,28.0,95.0,1.2,3.8,244.3
,high,557.1,371.6,"4,117.7",24.5,9.6,28.0,109.5,1.3,3.8,255.7
,low,517.7,344.6,"3,808.2",23.7,10.4,28.0,80.5,1.2,3.8,235.6
Baker Mayfield,CLE,513.7,318.7,"3,759.9",25.6,14.8,31.1,126.6,1.5,3.2,238.7
,high,558.2,344.0,"4,075.7",27.0,14.4,31.4,130.8,1.6,3.2,258.3
,low,469.3,293.5,"3,444.1",24.2,15.3,30.7,122.4,1.5,3.2,221.1
Gardner Minshew II,JAC,544.5,339.8,"3,843.6",19.5,10.6,57.4,269.0,1.4,5.4,234.9
,high,568.3,353.0,"3,976.8",21.0,9.5,58.8,289.4,1.9,5.4,248.1
,low,520.6,326.5,"3,710.4",17.9,11.7,55.9,248.5,0.9,5.4,224.8
Joe Burrow,CIN,553.0,345.2,"3,901.1",20.8,13.7,45.7,207.1,1.6,3.9,234.4
,high,574.1,359.2,"4,072.3",21.8,13.5,53.6,257.8,1.8,3.9,242.0
,low,532.0,331.2,"3,729.9",19.8,13.9,37.7,156.4,1.4,3.9,230.1
Sam Darnold,NYJ,539.4,336.8,"3,784.8",23.0,13.2,42.3,146.4,1.8,4.8,232.8
,high,544.1,344.6,"3,816.9",24.0,11.7,42.9,187.0,1.8,4.8,248.3
,low,534.8,329.1,"3,752.7",22.0,14.8,41.7,105.8,1.7,4.8,220.5
Drew Lock,DEN,523.9,335.1,"3,770.3",21.6,11.2,41.1,174.8,1.1,4.4,230.2
,high,534.8,343.3,"3,863.7",21.7,10.8,51.2,220.7,1.1,4.4,235.7
,low,513.0,326.8,"3,677.0",21.6,11.7,31.0,128.8,1.1,4.4,229.9
Philip Rivers,IND,518.7,336.8,"3,924.1",25.8,14.5,11.3,26.1,0.2,3.3,228.8
,high,532.9,346.2,"4,077.9",26.2,14.4,15.4,29.7,0.2,3.3,239.5
,low,504.5,327.5,"3,770.2",25.5,14.6,7.1,22.6,0.2,3.3,221.9
Teddy Bridgewater,CAR,537.3,345.3,"3,810.9",20.4,11.4,42.7,121.4,1.2,3.1,224.6
